Gaze point at (425.918125885191, 381.998187587374) @619604512.842894
Gaze point at (120.401377048117, 406.268755940163) @619605689.394961

Gaze point at (121.143625517358, 405.966357321468) @619605701.114682

Gaze point at (135.846559516959, 398.355232447603) @619605712.163066

Gaze point at (138.429214157784, 394.223826314584) @619605722.687068

Gaze point at (140.046714917833, 391.979495449323) @619605734.793544

Gaze point at (140.785858140831, 390.879084469914) @619605745.566208

Gaze point at (145.091778530864, 392.811322746402) @619605755.958649

Gaze point at (145.1883229319, 390.784669601198) @619605767.653177

Gaze point at (144.527739453016, 389.556375628928) @619605778.767341

Gaze point at (144.217648658283, 388.911481022838) @619605789.299742

Gaze point at (143.59948110505, 386.990450498548) @619605800.851979

Gaze point at (143.71740234361, 387.347070709149) @619605812.165818

Gaze point at (143.293450921515, 386.342802184638) @619605822.517671

Gaze point at (141.938718857642, 384.049176830129) @619605834.378285

Gaze point at (141.363405637538, 383.876473699833) @619605845.350624

Gaze point at (141.381233337451, 384.027245141004) @619605855.826107

Gaze point at (140.801286283504, 383.385903508787) @619605867.535098

Gaze point at (142.661678302278, 391.058409457237) @619605878.755632

Gaze point at (143.079437147276, 391.814696706761) @619605889.225983

Gaze point at (144.123249529768, 394.410607209808) @619605900.679782

Gaze point at (149.669332364232, 394.162838672219) @619605912.041208

Gaze point at (155.658789509944, 393.871481026865) @619605922.491499

Gaze point at (162.711112510639, 394.696488841733) @619605934.102985

Gaze point at (165.626978963842, 395.225159083407) @619605945.363173

Gaze point at (170.794700932753, 397.162257469023) @619605955.740219

Gaze point at (171.681123917395, 397.388900295902) @619605967.316249

Gaze point at (181.266486023047, 398.968372243618) @619605978.676275

Gaze point at (182.480885936657, 403.155243742095) @619605989.079446

Gaze point at (181.929148602122, 403.292788022272) @619606000.598093

Gaze point at (181.385490072014, 401.960508314033) @619606011.878808

Gaze point at (181.503783612678, 403.880701483301) @619606022.435935

Gaze point at (180.996574917963, 406.504500362636) @619606033.976042

Gaze point at (180.86210575054, 408.004476005728) @619606045.525946

Gaze point at (179.921043520556, 409.870375662371) @619606055.704249

Gaze point at (179.775290755206, 410.286357666385) @619606067.235492

Gaze point at (179.611705972377, 410.897274686627) @619606078.718682

Gaze point at (180.431249247464, 416.183081099144) @619606089.010819

Gaze point at (181.746125326807, 418.218777191594) @619606100.598979

Gaze point at (182.245176890339, 420.092311142829) @619606112.091033

Gaze point at (181.873756706652, 421.464977102927) @619606125.061524

Gaze point at (181.989346450314, 421.93792963519) @619606134.095427

Gaze point at (181.823584799572, 423.304250298622) @619606145.303831

Gaze point at (181.832336990131, 425.521905132923) @619606155.701404

Gaze point at (181.563094017672, 426.704328645591) @619606167.176196

Gaze point at (181.132373040687, 428.799021296836) @619606178.688311

Gaze point at (181.240768509198, 427.538086907363) @619606188.96132

Gaze point at (181.167758192563, 425.999344579671) @619606200.703902

Gaze point at (180.984147875149, 429.485263590965) @619606211.948228

Gaze point at (181.192159691917, 429.376802984382) @619606222.468499

Gaze point at (183.544216233064, 428.272793452313) @619606233.912034

Gaze point at (186.53777083268, 423.305566458931) @619606245.258064

Gaze point at (188.711613038662, 417.301555486281) @619606255.57586

Gaze point at (190.294959641434, 412.73856638443) @619606267.09544

Gaze point at (191.11762208266, 408.533651511869) @619606278.746581

Gaze point at (191.2145269834, 408.065871722805) @619606288.865168

Gaze point at (190.973467392656, 407.663807678176) @619606300.431868

Gaze point at (190.520131515238, 406.02029561823) @619606311.778831

Gaze point at (190.450626680066, 405.572863253921) @619606322.106891

Gaze point at (188.914625778579, 406.510211221353) @619606333.876531

Gaze point at (188.187881485519, 406.946842016989) @619606345.0868

Gaze point at (188.276976310892, 406.088626203641) @619606355.392467

Gaze point at (188.247351117343, 406.491987854094) @619606367.189166

Gaze point at (188.509190394876, 407.644012139413) @619606378.395236

Gaze point at (188.915961964918, 408.216853106643) @619606388.86139

Gaze point at (190.269847065313, 409.908109814118) @619606400.523261

Gaze point at (192.511235286504, 409.825470743871) @619606411.704139

Gaze point at (192.261902872216, 410.324561561433) @619606422.141834

Gaze point at (197.107908250274, 406.918583344234) @619606433.770582

Gaze point at (197.847091412684, 407.664801022484) @619606444.993914

Gaze point at (210.388106354844, 405.884616474398) @619606455.507187

Gaze point at (315.691867948744, 396.644352273457) @619606467.065022

Gaze point at (323.526865808815, 395.576379260943) @619606478.418983

Gaze point at (328.295161214468, 394.747314248638) @619606488.949051

Gaze point at (333.016306405571, 394.115226906141) @619606500.333336

Gaze point at (337.545205251207, 393.566494703561) @619606511.65604

