Gaze point at (382.43295847937, 119.62244702248) @619695535.473839
Gaze point at (224.259809425525, 321.645407126268) @619696656.490074

Gaze point at (224.560802128283, 322.099469928982) @619696668.171073

Gaze point at (224.644647147484, 322.218197722386) @619696678.610167

Gaze point at (225.93540732797, 322.98801205315) @619696689.79991

Gaze point at (226.35844143016, 323.963924878579) @619696701.310625

Gaze point at (227.667212461802, 324.464245855231) @619696711.760916

Gaze point at (227.863268832319, 324.762487971408) @619696723.085486

Gaze point at (229.467916428109, 326.816916040142) @619696734.537885

Gaze point at (231.012987725714, 329.36208903643) @619696745.287222

Gaze point at (230.044441872853, 329.854436249096) @619696756.304814

Gaze point at (226.748981420081, 330.913303827239) @619696767.90557

Gaze point at (219.504421140753, 330.651000355871) @619696778.659106

Gaze point at (213.675911162825, 330.89076972558) @619696789.842317

Gaze point at (210.54959017103, 330.997985761235) @619696801.227536

Gaze point at (207.779746982523, 331.21911120844) @619696811.810322

Gaze point at (202.896049093563, 331.674223325297) @619696823.029922

Gaze point at (193.365030791631, 331.566028083871) @619696834.556499

Gaze point at (178.99948286665, 332.418163057518) @619696845.024052

Gaze point at (177.589782830688, 333.123360907122) @619696856.433064

Gaze point at (177.471690340827, 333.978585357511) @619696867.767431

Gaze point at (177.281813827191, 335.889092572126) @619696878.374476

Gaze point at (177.621453568761, 336.189677504238) @619696889.762027

Gaze point at (177.958279493183, 336.646392565996) @619696901.152378

Gaze point at (177.924527373892, 336.548898260161) @619696911.688977

Gaze point at (181.864171605965, 336.63988000815) @619696922.999084

Gaze point at (232.678104827601, 334.837643246486) @619696934.589576

Gaze point at (376.424809892788, 328.626373950236) @619696945.013275

Gaze point at (642.371171532767, 321.415178943225) @619696955.65531

Gaze point at (726.626600586268, 320.838496841964) @619696967.687141

Gaze point at (887.809648846288, 320.019158181875) @619696978.343638

Gaze point at (946.075602169106, 321.707529728911) @619696989.556707

Gaze point at (962.371704559801, 322.546154512492) @619697000.969451

Gaze point at (985.814426984656, 324.466752133832) @619697011.443535

Gaze point at (1110.36580845098, 328.053778428886) @619697022.766705

Gaze point at (1165.8574502098, 332.753135137796) @619697034.60026

Gaze point at (1215.44688823764, 337.070189667121) @619697045.066413

Gaze point at (1231.95359237417, 338.285980880881) @619697056.187109

Gaze point at (1237.33401592023, 342.178922231416) @619697067.755208

Gaze point at (1239.25754713435, 343.948377176222) @619697078.546533

Gaze point at (1235.31662039709, 339.762311435786) @619697089.560859

Gaze point at (1234.96548983486, 343.514811702257) @619697100.94981

Gaze point at (1233.89798292301, 345.335918185084) @619697111.463549

Gaze point at (1233.0185882251, 345.592830325881) @619697122.770857

Gaze point at (1233.61035901918, 346.711740677137) @619697134.399139

Gaze point at (1233.57178833711, 346.757941996928) @619697144.7216

Gaze point at (1227.85276158994, 352.934378247485) @619697156.118016

Gaze point at (1229.50331231134, 351.202498101218) @619697167.658122

Gaze point at (1227.65652176182, 350.096024783966) @619697177.659611

Gaze point at (1117.32532729783, 335.765788908248) @619697189.557547

Gaze point at (824.410006623072, 295.425233218101) @619697201.005281

Gaze point at (469.8930191922, 254.11133113652) @619697211.48263

Gaze point at (404.268087842365, 248.838190643808) @619697222.870648

Gaze point at (377.489180816078, 247.289861337503) @619697234.295522

Gaze point at (351.227369796377, 245.397994134617) @619697244.919363

Gaze point at (326.8776561327, 246.3865955173) @619697256.145961

