STARTING DATA RECORDING
Gaze point at (807.381380853931, 299.880150115639) @376181.289349956
Gaze point at (827.003467649667, 302.358294141223) @376181.455795331
Gaze point at (798.432509326925, 302.698751630424) @376181.622336346
Gaze point at (795.946948966226, 298.776536719934) @376181.7889702
Gaze point at (820.720665016327, 315.649550360807) @376181.955558334
Gaze point at (747.286678044714, 262.540749454245) @376182.122055028
Gaze point at (747.45792258204, 268.540935937513) @376182.288578781
Gaze point at (744.761130406054, 263.570617962723) @376182.455067544
Gaze point at (745.270923844092, 257.93108771495) @376182.62165008
Gaze point at (742.017679697866, 255.607619645531) @376182.788540526
Gaze point at (743.417728631491, 251.258079142091) @376182.95488933
Gaze point at (568.373330228664, 278.75752058504) @376183.121400953
Gaze point at (509.680857754423, 287.096962754439) @376183.288129046
Gaze point at (442.217756816186, 176.17670907767) @376183.454455457
Gaze point at (422.71232589789, 152.699596760267) @376183.621253529
Gaze point at (427.135024450766, 160.519827956434) @376183.787504362
Gaze point at (429.127532637188, 157.629000433317) @376183.954175072
Gaze point at (682.194389798666, 500.205098271654) @376184.220797543
Gaze point at (617.686474493716, 525.190324920451) @376184.38720513
Gaze point at (614.994828575207, 536.032524589895) @376184.553913628
Gaze point at (617.362631004481, 538.465050052173) @376184.720473304
Gaze point at (798.437343410173, 429.198096202287) @376184.886921479
Gaze point at (848.79029851204, 261.963523251323) @376185.053741479
Gaze point at (845.312202745818, 264.663775792796) @376185.220216713
Gaze point at (845.047089100345, 264.465865385491) @376185.38677079
Gaze point at (545.870810206864, 207.956679575109) @376185.553105598
Gaze point at (753.453647372035, 202.008502593358) @376185.719813631
Gaze point at (995.101376222004, 4.33605576635244) @376185.886239879
Gaze point at (1008.65578720336, 7.53604978744184) @376186.052861136
Gaze point at (1008.98135082252, 5.5297963986537) @376186.219285518
Gaze point at (704.79677412467, 291.611528243728) @376186.385766817
Gaze point at (717.406290483035, 294.18986519979) @376186.552320894
Gaze point at (394.633786023995, 373.835345753836) @376186.718679496
Gaze point at (404.187044050357, 377.158664881962) @376186.885287224
Gaze point at (909.437878293189, -19.6129904483432) @376187.051825439
Gaze point at (903.457875451541, -19.7939619277973) @376187.218579658
Gaze point at (945.267409721864, -11.1684175893357) @376187.385192985
Gaze point at (943.286286093381, -19.1574849571749) @376187.55182264
Gaze point at (945.779223463669, -29.6252382675024) @376187.718214365
Gaze point at (939.440861193612, -27.6395281902837) @376187.8844568
STARTING DATA RECORDING
Gaze point at (544.397606412646, 507.289576622641) @376297.651311136
Gaze point at (617.684032344827, 531.487465772631) @376297.817387487
Gaze point at (626.973918628455, 153.742419475826) @376297.983866919
Gaze point at (631.054771624478, 176.681548026912) @376298.150904322
Gaze point at (630.063693003988, 384.025096957246) @376298.31746913
Gaze point at (760.331676499364, 437.376872962827) @376298.48380767
Gaze point at (803.867535672139, 45.0904042601664) @376298.650580084
Gaze point at (804.16697100698, 55.068678611568) @376298.81724053
Gaze point at (799.836625600808, 58.1040204995503) @376298.983614527
Gaze point at (802.453361591442, 52.5879589998952) @376299.150275906
Gaze point at (803.130121952202, 49.5739284214805) @376299.316697955
Gaze point at (779.171875742676, 126.47953633457) @376299.482621284
Gaze point at (731.182734914023, 562.119922757159) @376299.649795846
Gaze point at (599.266964310805, 573.284693052219) @376299.816330329
Gaze point at (467.338551193536, 579.717918229707) @376299.983041161
Gaze point at (485.943790120811, 570.536118330673) @376300.149555583
Gaze point at (463.53669954414, 768.892374958263) @376300.315863333
Gaze point at (480.387877851855, 755.709951132748) @376300.482290514
Gaze point at (475.637044206704, 756.800586852455) @376300.649171162
Gaze point at (895.75206446792, 759.563964774174) @376300.81514441
Gaze point at (987.980571857858, 775.542586051722) @376300.981400374
Gaze point at (921.952638457945, 758.222247581207) @376301.146393908
Gaze point at (1235.49204024451, 757.679948367853) @376301.314735263
Gaze point at (1209.12578116347, 777.406806955804) @376301.528683209
Gaze point at (862.867474439367, 764.623108912516) @376301.695917488
Gaze point at (825.301275603687, 764.436442934321) @376301.862450105
Gaze point at (925.883577346005, 765.079232073236) @376302.028963594
Gaze point at (1011.44450365507, 57.5271213218832) @376302.195596048
Gaze point at (963.761665507773, 29.8735687417698) @376302.362132864
