Gaze point at (107.47, 646.65) @ 04:04:59.924

Gaze point at (190.77, 177.26) @ 04:05:00.011

Gaze point at (120.00, 175.42) @ 04:05:00.177

Gaze point at (359.39, 177.37) @ 04:05:00.343

Gaze point at (395.30, 194.80) @ 04:05:00.511

Gaze point at (393.76, 206.55) @ 04:05:00.678

Gaze point at (399.51, 220.80) @ 04:05:00.843

Gaze point at (695.05, 404.40) @ 04:05:01.076

Gaze point at (745.05, 399.04) @ 04:05:01.244

Gaze point at (685.34, 793.23) @ 04:05:01.411

Gaze point at (687.47, 776.06) @ 04:05:01.577

Gaze point at (346.96, 239.58) @ 04:05:01.744

Gaze point at (216.81, 303.64) @ 04:05:01.910

Gaze point at (213.84, 308.63) @ 04:05:02.079

Gaze point at (266.55, 345.51) @ 04:05:02.244

Gaze point at (260.96, 351.34) @ 04:05:02.410

Gaze point at (242.15, 380.23) @ 04:05:02.576

Gaze point at (252.51, 390.96) @ 04:05:02.742

Gaze point at (645.84, 329.58) @ 04:05:02.910

Gaze point at (632.70, 333.19) @ 04:05:03.077

Gaze point at (711.77, 299.11) @ 04:05:03.243

Gaze point at (965.90, 150.94) @ 04:05:03.409

Gaze point at (723.27, 408.36) @ 04:05:03.576

Gaze point at (739.15, 390.00) @ 04:05:03.745

Gaze point at (737.38, 390.18) @ 04:05:03.910

Gaze point at (742.56, 397.07) @ 04:05:04.076

Gaze point at (745.38, 394.28) @ 04:05:04.243

Gaze point at (221.11, 538.11) @ 04:05:04.410

Gaze point at (606.80, 367.32) @ 04:05:04.576

Gaze point at (690.19, 108.46) @ 04:05:04.743

Gaze point at (687.58, 118.32) @ 04:05:04.909

Gaze point at (727.45, 11.88) @ 04:05:05.076

Gaze point at (735.89, 5.86) @ 04:05:05.242

Gaze point at (840.14, -34.27) @ 04:05:05.410

Gaze point at (838.14, -32.46) @ 04:05:05.576

Gaze point at (833.11, -32.73) @ 04:05:05.743

Gaze point at (976.44, 159.32) @ 04:05:05.909

Gaze point at (966.53, 182.03) @ 04:05:06.077

Gaze point at (960.49, 188.14) @ 04:05:06.249

Gaze point at (1051.52, 295.95) @ 04:05:06.424

Gaze point at (414.55, 292.72) @ 04:05:06.576

Gaze point at (681.69, 266.79) @ 04:05:06.741

Gaze point at (748.67, 254.53) @ 04:05:09.946

Gaze point at (303.26, 345.54) @ 04:05:10.114

Gaze point at (309.78, 351.27) @ 04:05:10.283

Gaze point at (394.02, 341.16) @ 04:05:10.450

Gaze point at (376.47, 379.62) @ 04:05:11.481

Gaze point at (360.83, 319.23) @ 04:05:11.649

Gaze point at (492.93, 521.57) @ 04:05:11.816

Gaze point at (510.70, 540.39) @ 04:05:11.983

Gaze point at (515.00, 537.11) @ 04:05:12.148

Gaze point at (513.49, 540.11) @ 04:05:12.316

Gaze point at (1037.74, 198.67) @ 04:05:15.146

Gaze point at (951.33, 279.98) @ 04:05:15.316

Gaze point at (1064.54, 295.41) @ 04:05:15.482

Gaze point at (1068.21, 310.52) @ 04:05:15.648

Gaze point at (1112.39, 248.64) @ 04:05:16.368

Gaze point at (1130.60, 247.07) @ 04:05:16.535

Gaze point at (1008.19, 289.80) @ 04:05:16.704

Gaze point at (1108.15, -14.99) @ 04:05:17.619

Gaze point at (1124.98, -69.28) @ 04:05:17.781

Gaze point at (1341.80, -30.43) @ 04:05:17.948

Gaze point at (1358.53, -44.08) @ 04:05:18.115

Gaze point at (776.12, 217.37) @ 04:05:18.282

Gaze point at (723.97, 257.21) @ 04:05:18.448

Gaze point at (983.09, 175.26) @ 04:05:18.614

Gaze point at (1397.94, -16.06) @ 04:05:18.782

Gaze point at (1366.35, -2.28) @ 04:05:18.948

Gaze point at (1319.41, 106.03) @ 04:05:19.115

Gaze point at (1271.35, 81.55) @ 04:05:19.281

Gaze point at (727.42, 215.78) @ 04:05:19.448

Gaze point at (754.09, 226.75) @ 04:05:19.614

Gaze point at (869.11, -16.71) @ 04:05:19.781

Gaze point at (808.82, -37.13) @ 04:05:19.947

Gaze point at (880.73, -15.17) @ 04:05:20.115

Gaze point at (447.17, 249.73) @ 04:05:20.281

Gaze point at (316.22, 287.65) @ 04:05:20.448

Gaze point at (323.32, 291.79) @ 04:05:20.614

Gaze point at (237.57, 291.66) @ 04:05:20.781

Gaze point at (235.28, 290.87) @ 04:05:20.947

Gaze point at (226.01, 299.33) @ 04:05:21.113

Gaze point at (230.30, 301.74) @ 04:05:21.281

Gaze point at (260.72, 311.76) @ 04:05:21.448

Gaze point at (262.16, 325.79) @ 04:05:21.614

Gaze point at (267.22, 335.00) @ 04:05:21.780

Gaze point at (263.50, 339.56) @ 04:05:21.946

Gaze point at (261.88, 343.57) @ 04:05:22.114

Gaze point at (243.37, 299.43) @ 04:05:22.280

Gaze point at (229.28, 336.18) @ 04:05:22.491

Gaze point at (222.51, 295.67) @ 04:05:22.658

Gaze point at (226.46, 300.24) @ 04:05:22.825

Gaze point at (297.40, 315.45) @ 04:05:22.992

Gaze point at (298.06, 333.75) @ 04:05:23.158

Gaze point at (299.35, 398.46) @ 04:05:23.325

Gaze point at (267.37, 431.88) @ 04:05:23.491

Gaze point at (278.89, 456.84) @ 04:05:23.658

Gaze point at (299.64, 439.12) @ 04:05:23.825

Gaze point at (308.29, 435.60) @ 04:05:23.991

Gaze point at (316.41, 438.46) @ 04:05:24.158

Gaze point at (314.89, 435.60) @ 04:05:24.325

Gaze point at (312.74, 437.96) @ 04:05:24.492

Gaze point at (311.89, 444.26) @ 04:05:24.657

Gaze point at (316.90, 443.67) @ 04:05:24.825

Gaze point at (320.30, 450.65) @ 04:05:24.992

Gaze point at (334.07, 455.98) @ 04:05:25.157

Gaze point at (342.01, 465.44) @ 04:05:25.325

Gaze point at (355.10, 474.12) @ 04:05:25.492

Gaze point at (336.44, 479.73) @ 04:05:25.658

Gaze point at (315.13, 484.15) @ 04:05:25.825

Gaze point at (1109.40, 1070.66) @ 04:05:25.991

Gaze point at (354.55, 486.81) @ 04:05:26.257

Gaze point at (352.68, 431.48) @ 04:05:26.424

Gaze point at (311.68, 424.42) @ 04:05:26.591

Gaze point at (300.02, 424.67) @ 04:05:26.757

Gaze point at (283.57, 424.06) @ 04:05:26.924

Gaze point at (426.33, 403.89) @ 04:05:27.091

Gaze point at (622.91, 349.50) @ 04:05:27.257

Gaze point at (550.78, 320.69) @ 04:05:27.424

Gaze point at (491.95, 324.32) @ 04:05:27.591

Gaze point at (682.01, 326.35) @ 04:05:27.757

Gaze point at (720.47, 326.99) @ 04:05:27.924

Gaze point at (598.67, 329.12) @ 04:05:28.095

Gaze point at (626.00, 328.17) @ 04:05:28.257

Gaze point at (646.55, 336.74) @ 04:05:28.424

Gaze point at (732.30, 321.59) @ 04:05:28.591

Gaze point at (725.77, 320.31) @ 04:05:28.758

Gaze point at (708.59, 429.41) @ 04:05:28.924

Gaze point at (740.00, 422.01) @ 04:05:29.091

Gaze point at (842.68, 79.02) @ 04:05:29.258

Gaze point at (850.78, 68.68) @ 04:05:29.424

Gaze point at (844.85, 83.73) @ 04:05:29.591

Gaze point at (857.08, 74.76) @ 04:05:29.758

Gaze point at (858.02, 78.41) @ 04:05:29.923

Gaze point at (854.54, 82.73) @ 04:05:30.090

Gaze point at (849.05, 90.51) @ 04:05:30.257

