Gaze point at (862.91, 84.27) @ 03:13:12.059

Gaze point at (876.53, 145.01) @ 03:13:12.174

Gaze point at (869.75, 150.06) @ 03:13:12.340

Gaze point at (872.68, 152.76) @ 03:13:12.506

Gaze point at (896.78, 155.61) @ 03:13:12.673

Gaze point at (847.89, 85.75) @ 03:13:12.839

Gaze point at (919.93, 60.04) @ 03:13:13.006

Gaze point at (931.28, 60.54) @ 03:13:13.172

Gaze point at (931.86, 58.67) @ 03:13:13.338

Gaze point at (1010.91, 163.09) @ 03:13:13.506

Gaze point at (1003.44, 122.35) @ 03:13:13.672

Gaze point at (983.82, 126.64) @ 03:13:13.839

Gaze point at (930.41, 130.60) @ 03:13:14.005

Gaze point at (853.62, 130.61) @ 03:13:14.171

Gaze point at (853.05, 126.83) @ 03:13:14.338

Gaze point at (817.83, 107.59) @ 03:13:14.559

Gaze point at (841.36, 85.17) @ 03:13:14.726

Gaze point at (843.85, 95.56) @ 03:13:14.893

Gaze point at (836.47, 106.87) @ 03:13:15.059

Gaze point at (853.18, 53.66) @ 03:13:15.226

Gaze point at (858.07, 39.06) @ 03:13:15.393

Gaze point at (855.78, 52.45) @ 03:13:15.559

Gaze point at (853.03, 133.92) @ 03:13:15.726

Gaze point at (854.53, 154.23) @ 03:13:15.894

Gaze point at (855.19, 155.71) @ 03:13:16.059

Gaze point at (1114.75, 128.49) @ 03:13:16.226

Gaze point at (900.64, 56.29) @ 03:13:16.392

Gaze point at (882.89, 77.23) @ 03:13:16.558

Gaze point at (1122.67, 150.18) @ 03:13:16.725

Gaze point at (763.06, 172.39) @ 03:13:16.892

Gaze point at (761.98, 156.14) @ 03:13:17.058

Gaze point at (757.08, 153.65) @ 03:13:17.224

Gaze point at (836.00, 145.08) @ 03:13:17.391

Gaze point at (858.24, 158.69) @ 03:13:17.558

Gaze point at (819.39, 152.01) @ 03:13:17.814

Gaze point at (647.39, 134.57) @ 03:13:17.981

Gaze point at (1422.86, 123.85) @ 03:13:21.199

Gaze point at (893.74, 89.60) @ 03:13:21.366

Gaze point at (906.06, 110.66) @ 03:13:21.533

Gaze point at (859.84, 121.43) @ 03:13:21.700

Gaze point at (861.84, 127.00) @ 03:13:21.866

Gaze point at (995.31, 131.55) @ 03:13:22.036

Gaze point at (1002.45, 144.11) @ 03:13:22.266

Gaze point at (1004.50, 140.89) @ 03:13:22.432

Gaze point at (1050.01, 42.83) @ 03:13:22.600

Gaze point at (1053.71, 44.12) @ 03:13:22.766

Gaze point at (1049.72, 52.08) @ 03:13:22.933

Gaze point at (1047.58, 55.46) @ 03:13:23.099

Gaze point at (1058.07, 174.61) @ 03:13:23.265

Gaze point at (1059.73, 176.72) @ 03:13:23.431

Gaze point at (1066.54, 176.64) @ 03:13:23.598

Gaze point at (1082.87, 170.89) @ 03:13:23.765

Gaze point at (1089.50, 169.93) @ 03:13:23.932

