Gaze point at (741.85, 197.32) @ 02:12:33.067

Gaze point at (738.85, 202.39) @ 02:12:33.185

Gaze point at (738.39, 200.47) @ 02:12:33.352

Gaze point at (736.43, 201.76) @ 02:12:33.519

Gaze point at (739.49, 198.02) @ 02:12:33.685

Gaze point at (685.55, 95.98) @ 02:12:33.851

Gaze point at (787.87, 53.93) @ 02:12:34.025

Gaze point at (786.18, 58.16) @ 02:12:34.186

Gaze point at (789.14, 57.47) @ 02:12:34.351

Gaze point at (790.69, 59.21) @ 02:12:34.518

Gaze point at (674.46, 124.53) @ 02:12:34.687

Gaze point at (553.62, 139.13) @ 02:12:34.851

Gaze point at (530.74, 134.72) @ 02:12:35.017

Gaze point at (1045.82, 245.00) @ 02:12:35.184

Gaze point at (1019.06, 253.36) @ 02:12:35.351

Gaze point at (630.44, 106.06) @ 02:12:35.517

Gaze point at (264.34, 213.03) @ 02:12:35.761

Gaze point at (198.87, 129.36) @ 02:12:35.927

Gaze point at (332.81, 353.63) @ 02:12:36.094

Gaze point at (329.65, 358.66) @ 02:12:36.260

Gaze point at (333.09, 366.16) @ 02:12:36.427

Gaze point at (331.85, 375.29) @ 02:12:36.594

Gaze point at (380.59, 343.89) @ 02:12:36.760

Gaze point at (409.96, 309.66) @ 02:12:36.926

Gaze point at (339.98, 289.57) @ 02:12:37.094

Gaze point at (366.82, 116.78) @ 02:12:37.259

Gaze point at (365.42, 104.07) @ 02:12:37.426

Gaze point at (367.53, 101.32) @ 02:12:37.592

Gaze point at (405.94, 94.52) @ 02:12:37.759

Gaze point at (421.63, 97.12) @ 02:12:37.926

Gaze point at (421.73, 102.95) @ 02:12:38.092

Gaze point at (420.02, 104.62) @ 02:12:38.259

Gaze point at (618.68, 557.88) @ 02:12:38.557

Gaze point at (617.04, 494.66) @ 02:12:38.721

Gaze point at (616.90, 500.79) @ 02:12:38.888

Gaze point at (613.90, 520.07) @ 02:12:39.054

Gaze point at (612.11, 537.10) @ 02:12:39.221

Gaze point at (611.28, 542.26) @ 02:12:39.387

Gaze point at (615.47, 550.87) @ 02:12:39.554

Gaze point at (623.86, 555.39) @ 02:12:39.720

Gaze point at (627.91, 562.17) @ 02:12:39.887

Gaze point at (616.94, 636.03) @ 02:12:40.053

Gaze point at (617.48, 637.86) @ 02:12:40.220

Gaze point at (578.37, 634.09) @ 02:12:40.387

Gaze point at (550.66, 631.88) @ 02:12:40.553

Gaze point at (545.28, 629.37) @ 02:12:40.720

Gaze point at (548.04, 632.07) @ 02:12:40.886

Gaze point at (557.37, 638.43) @ 02:12:41.052

Gaze point at (568.14, 659.00) @ 02:12:41.343

Gaze point at (565.53, 627.75) @ 02:12:41.510

Gaze point at (544.94, 609.71) @ 02:12:41.676

Gaze point at (541.40, 612.68) @ 02:12:41.843

Gaze point at (542.57, 623.61) @ 02:12:42.009

Gaze point at (539.93, 626.31) @ 02:12:42.176

Gaze point at (537.80, 630.03) @ 02:12:42.343

Gaze point at (539.32, 633.87) @ 02:12:42.509

Gaze point at (536.81, 635.35) @ 02:12:42.676

Gaze point at (535.34, 638.86) @ 02:12:42.842

Gaze point at (214.09, 149.84) @ 02:12:43.008

Gaze point at (178.57, 107.97) @ 02:12:43.175

Gaze point at (175.19, 103.68) @ 02:12:43.342

Gaze point at (172.91, 101.15) @ 02:12:43.508

Gaze point at (296.82, 314.20) @ 02:12:43.675

Gaze point at (293.93, 315.42) @ 02:12:43.842

Gaze point at (296.21, 315.60) @ 02:12:44.008

Gaze point at (259.09, 337.25) @ 02:12:44.174

Gaze point at (261.49, 337.71) @ 02:12:44.341

Gaze point at (395.07, 89.78) @ 02:12:44.508

Gaze point at (390.04, 101.59) @ 02:12:44.675

Gaze point at (631.24, 395.08) @ 02:12:44.841

Gaze point at (705.74, 535.20) @ 02:12:45.007

Gaze point at (716.26, 537.63) @ 02:12:45.174

Gaze point at (735.15, 545.33) @ 02:12:45.340

