Gaze point at (963.79, 40.31) @ 02:41:39.480

Gaze point at (790.29, 62.49) @ 02:41:39.624

Gaze point at (748.07, 81.72) @ 02:41:39.791

Gaze point at (551.42, 88.46) @ 02:41:39.957

Gaze point at (999.77, 49.76) @ 02:41:40.123

Gaze point at (1069.73, 38.14) @ 02:41:40.292

Gaze point at (1040.35, 25.70) @ 02:41:40.458

Gaze point at (1030.51, 26.71) @ 02:41:40.624

Gaze point at (1033.44, 14.45) @ 02:41:40.790

Gaze point at (955.30, 92.51) @ 02:41:41.001

Gaze point at (960.84, 81.37) @ 02:41:41.169

Gaze point at (977.71, 77.07) @ 02:41:41.335

Gaze point at (1097.67, 41.84) @ 02:41:41.502

Gaze point at (1069.59, 21.68) @ 02:41:41.668

Gaze point at (1061.85, 6.65) @ 02:41:41.835

Gaze point at (1059.01, 29.66) @ 02:41:42.091

Gaze point at (1056.07, 51.68) @ 02:41:42.257

Gaze point at (1002.41, 53.09) @ 02:41:42.424

Gaze point at (1066.92, 35.83) @ 02:41:42.590

Gaze point at (1059.04, 43.43) @ 02:41:42.756

Gaze point at (994.77, 77.48) @ 02:41:42.923

Gaze point at (1252.48, 68.25) @ 02:41:43.091

Gaze point at (1332.87, 117.98) @ 02:41:43.346

Gaze point at (1344.11, 45.79) @ 02:41:43.512

Gaze point at (1348.87, 5.01) @ 02:41:43.680

Gaze point at (1329.38, 0.02) @ 02:41:43.846

Gaze point at (1391.96, -14.59) @ 02:41:44.013

Gaze point at (1403.19, -28.77) @ 02:41:44.179

Gaze point at (1310.29, 30.26) @ 02:41:44.345

Gaze point at (1310.81, -19.84) @ 02:41:44.615

Gaze point at (1323.28, -11.02) @ 02:41:44.782

Gaze point at (1257.84, -8.54) @ 02:41:44.948

Gaze point at (1248.60, -3.91) @ 02:41:45.115

Gaze point at (1382.80, 3.93) @ 02:41:45.392

Gaze point at (1339.60, -34.23) @ 02:41:45.559

Gaze point at (1326.86, -36.56) @ 02:41:45.726

Gaze point at (1332.93, -30.77) @ 02:41:45.891

Gaze point at (1333.29, 7.15) @ 02:41:46.159

Gaze point at (1315.86, -11.51) @ 02:41:46.326

Gaze point at (1355.95, -20.81) @ 02:41:46.492

Gaze point at (1339.09, -25.85) @ 02:41:46.659

Gaze point at (1314.21, 3.81) @ 02:41:46.825

Gaze point at (1263.50, 22.99) @ 02:41:46.993

Gaze point at (1287.76, 18.37) @ 02:41:47.270

Gaze point at (1061.12, -2.61) @ 02:41:47.437

Gaze point at (443.77, 23.04) @ 02:41:47.603

Gaze point at (994.05, 5.28) @ 02:41:47.770

Gaze point at (1270.00, 15.24) @ 02:41:47.937

Gaze point at (1220.22, 31.04) @ 02:41:48.191

Gaze point at (1283.56, 39.39) @ 02:41:48.358

Gaze point at (1223.41, 52.62) @ 02:41:48.526

Gaze point at (683.45, 298.56) @ 02:41:48.692

Gaze point at (730.28, 88.52) @ 02:41:48.858

Gaze point at (731.58, 64.46) @ 02:41:49.025

Gaze point at (750.31, 35.20) @ 02:41:49.192

Gaze point at (749.86, 10.01) @ 02:41:49.359

Gaze point at (721.68, 14.63) @ 02:41:49.525

Gaze point at (716.35, 32.73) @ 02:41:49.692

Gaze point at (708.78, 43.21) @ 02:41:49.858

