Gaze point at (216.53, 8.50) @ 03:58:55.751

Gaze point at (249.63, 477.11) @ 03:58:55.835

Gaze point at (243.03, 83.86) @ 03:58:56.002

Gaze point at (318.55, 79.06) @ 03:58:56.168

Gaze point at (327.80, 615.06) @ 03:58:56.335

Gaze point at (318.51, 673.64) @ 03:58:56.512

Gaze point at (733.38, 215.86) @ 03:58:56.668

Gaze point at (714.94, 247.05) @ 03:58:56.834

Gaze point at (820.51, 255.77) @ 03:58:57.000

Gaze point at (974.16, 21.51) @ 03:58:57.270

Gaze point at (999.54, 33.67) @ 03:58:57.436

Gaze point at (600.77, 201.78) @ 03:58:57.969

Gaze point at (472.01, 108.58) @ 03:58:58.128

Gaze point at (288.72, 34.72) @ 03:58:58.297

Gaze point at (172.11, 294.67) @ 03:58:58.465

Gaze point at (137.10, 711.66) @ 03:58:58.788

Gaze point at (210.88, 563.83) @ 03:58:58.954

Gaze point at (628.74, 178.87) @ 03:58:59.120

Gaze point at (843.63, 59.18) @ 03:58:59.287

Gaze point at (861.07, 58.34) @ 03:58:59.456

Gaze point at (865.36, 65.89) @ 03:58:59.620

Gaze point at (824.41, 48.59) @ 03:58:59.788

Gaze point at (828.57, 55.06) @ 03:58:59.954

Gaze point at (612.85, 328.75) @ 03:59:00.131

Gaze point at (625.63, 320.09) @ 03:59:00.285

Gaze point at (620.93, 341.08) @ 03:59:00.453

Gaze point at (754.64, 479.61) @ 03:59:00.620

Gaze point at (417.08, 395.25) @ 03:59:00.786

Gaze point at (319.80, 289.71) @ 03:59:00.953

Gaze point at (477.85, 488.06) @ 03:59:01.119

Gaze point at (499.70, 529.15) @ 03:59:01.286

Gaze point at (287.34, 293.70) @ 03:59:01.453

Gaze point at (294.32, 307.82) @ 03:59:01.619

Gaze point at (303.80, 314.82) @ 03:59:01.785

Gaze point at (402.80, 529.60) @ 03:59:01.953

Gaze point at (402.02, 539.10) @ 03:59:02.124

Gaze point at (406.22, 572.63) @ 03:59:02.285

Gaze point at (218.09, 136.13) @ 03:59:02.451

Gaze point at (215.36, 138.01) @ 03:59:02.618

Gaze point at (212.00, 139.44) @ 03:59:02.786

Gaze point at (313.75, 287.57) @ 03:59:02.951

Gaze point at (287.65, 336.96) @ 03:59:03.118

Gaze point at (286.22, 352.17) @ 03:59:03.285

Gaze point at (723.95, 506.01) @ 03:59:03.450

Gaze point at (724.64, 514.49) @ 03:59:03.617

Gaze point at (770.05, 557.23) @ 03:59:03.785

Gaze point at (782.03, 573.50) @ 03:59:03.950

Gaze point at (783.43, 584.10) @ 03:59:04.117

Gaze point at (778.76, 581.01) @ 03:59:04.284

Gaze point at (305.66, 294.44) @ 03:59:04.452

Gaze point at (277.82, 283.46) @ 03:59:04.617

Gaze point at (1069.11, 303.80) @ 03:59:04.783

Gaze point at (1047.94, 306.11) @ 03:59:04.950

Gaze point at (1104.16, 353.77) @ 03:59:05.116

Gaze point at (1098.50, 356.12) @ 03:59:05.283

Gaze point at (1095.26, 351.76) @ 03:59:05.450

Gaze point at (1093.00, 354.90) @ 03:59:05.616

Gaze point at (1096.38, 352.69) @ 03:59:05.782

Gaze point at (1087.33, 352.42) @ 03:59:05.949

Gaze point at (592.80, 527.59) @ 03:59:06.116

Gaze point at (582.27, 539.64) @ 03:59:06.283

Gaze point at (572.54, 545.23) @ 03:59:06.449

Gaze point at (985.33, 339.31) @ 03:59:06.617

Gaze point at (976.68, 350.26) @ 03:59:06.782

Gaze point at (937.83, 386.43) @ 03:59:06.949

Gaze point at (940.54, 378.99) @ 03:59:07.116

Gaze point at (939.97, 378.14) @ 03:59:07.281

Gaze point at (930.07, 391.34) @ 03:59:07.449

Gaze point at (920.06, 404.23) @ 03:59:07.615

Gaze point at (920.70, 419.05) @ 03:59:07.783

Gaze point at (925.08, 419.09) @ 03:59:07.947

Gaze point at (600.03, 497.15) @ 03:59:08.114

Gaze point at (536.67, 521.82) @ 03:59:08.281

Gaze point at (478.74, 548.48) @ 03:59:08.447

Gaze point at (420.87, 563.09) @ 03:59:08.614

Gaze point at (414.20, 559.83) @ 03:59:08.781

Gaze point at (416.60, 549.33) @ 03:59:08.947

Gaze point at (205.04, 111.30) @ 03:59:09.116

Gaze point at (-80.95, 764.28) @ 03:59:09.314

Gaze point at (445.74, 513.41) @ 03:59:09.481

Gaze point at (786.04, 392.92) @ 03:59:09.647

Gaze point at (1063.03, 282.08) @ 03:59:09.815

Gaze point at (1111.18, 251.38) @ 03:59:09.980

Gaze point at (1105.90, 266.97) @ 03:59:10.146

Gaze point at (1099.39, 285.95) @ 03:59:10.313

Gaze point at (1080.80, 299.79) @ 03:59:10.480

Gaze point at (865.08, 567.51) @ 03:59:10.649

Gaze point at (869.45, 566.66) @ 03:59:10.812

Gaze point at (274.02, 80.78) @ 03:59:10.979

Gaze point at (276.86, 78.12) @ 03:59:11.146

Gaze point at (1122.91, 276.38) @ 03:59:11.313

Gaze point at (1011.26, 303.55) @ 03:59:11.478

Gaze point at (1007.95, 307.58) @ 03:59:11.645

Gaze point at (1000.39, 311.77) @ 03:59:11.811

Gaze point at (1020.02, 310.63) @ 03:59:11.978

Gaze point at (1071.31, 321.94) @ 03:59:12.145

Gaze point at (1071.64, 315.79) @ 03:59:12.312

Gaze point at (1070.73, 322.18) @ 03:59:12.478

Gaze point at (1055.29, 328.61) @ 03:59:12.645

Gaze point at (1037.16, 330.98) @ 03:59:12.812

Gaze point at (1012.91, 339.12) @ 03:59:12.977

Gaze point at (958.47, 351.35) @ 03:59:13.144

Gaze point at (459.47, 555.35) @ 03:59:13.311

Gaze point at (366.36, 556.98) @ 03:59:13.477

