Gaze point at (459.31, 116.72) @ 01:22:37.025

Gaze point at (466.75, 125.48) @ 01:22:37.161

Gaze point at (490.01, 127.32) @ 01:22:37.329

Gaze point at (640.25, 133.12) @ 01:22:37.496

Gaze point at (638.63, 142.94) @ 01:22:37.662

Gaze point at (637.02, 153.10) @ 01:22:37.828

Gaze point at (740.33, 42.57) @ 01:22:37.995

Gaze point at (785.06, 29.98) @ 01:22:38.161

Gaze point at (783.94, 26.31) @ 01:22:38.328

Gaze point at (492.32, 179.96) @ 01:22:38.494

Gaze point at (449.41, 206.98) @ 01:22:38.661

Gaze point at (448.21, 198.57) @ 01:22:38.827

Gaze point at (233.27, 103.23) @ 01:22:38.993

Gaze point at (234.64, 110.95) @ 01:22:39.161

Gaze point at (274.64, 119.99) @ 01:22:39.328

Gaze point at (289.53, 253.80) @ 01:22:39.571

Gaze point at (334.73, 185.84) @ 01:22:39.738

Gaze point at (414.12, 245.62) @ 01:22:39.905

Gaze point at (81.27, 45.74) @ 01:22:40.070

Gaze point at (75.10, 34.82) @ 01:22:40.237

Gaze point at (391.10, 107.23) @ 01:22:40.404

Gaze point at (386.28, 140.68) @ 01:22:40.570

Gaze point at (732.78, 395.57) @ 01:22:40.737

Gaze point at (729.86, 384.55) @ 01:22:40.903

Gaze point at (1280.99, 85.20) @ 01:22:41.070

Gaze point at (1328.13, 65.03) @ 01:22:41.236

Gaze point at (1333.46, 55.08) @ 01:22:41.403

Gaze point at (1327.58, 49.55) @ 01:22:41.571

Gaze point at (1325.84, 51.57) @ 01:22:41.737

Gaze point at (1359.34, 149.42) @ 01:22:41.992

Gaze point at (1277.96, 29.12) @ 01:22:42.158

Gaze point at (384.37, 157.18) @ 01:22:42.325

Gaze point at (218.87, 188.95) @ 01:22:42.491

Gaze point at (199.49, 251.62) @ 01:22:42.657

Gaze point at (460.81, 440.03) @ 01:22:43.439

Gaze point at (579.22, 503.82) @ 01:22:43.607

Gaze point at (635.63, 493.76) @ 01:22:43.773

Gaze point at (609.81, 349.04) @ 01:22:43.939

Gaze point at (361.49, 170.72) @ 01:22:44.105

Gaze point at (334.51, 356.56) @ 01:22:44.531

Gaze point at (386.54, 158.03) @ 01:22:44.697

Gaze point at (356.25, 16.90) @ 01:22:44.864

Gaze point at (355.63, 9.30) @ 01:22:45.030

Gaze point at (1446.24, -61.55) @ 01:22:45.197

Gaze point at (1377.16, -64.54) @ 01:22:45.363

Gaze point at (1372.91, -49.68) @ 01:22:45.530

Gaze point at (608.43, 180.36) @ 01:22:45.697

Gaze point at (422.48, 250.59) @ 01:22:45.863

Gaze point at (420.53, 266.04) @ 01:22:46.029

Gaze point at (982.60, 53.51) @ 01:22:46.196

Gaze point at (1005.21, 60.11) @ 01:22:46.363

Gaze point at (1032.23, 58.34) @ 01:22:46.529

Gaze point at (1025.84, 66.33) @ 01:22:46.695

