Gaze point at (738.45, 172.86) @ 03:02:17.581

Gaze point at (786.86, 110.81) @ 03:02:17.717

Gaze point at (784.97, 105.85) @ 03:02:17.883

Gaze point at (790.70, 96.29) @ 03:02:18.051

Gaze point at (789.01, 100.05) @ 03:02:18.217

Gaze point at (786.28, 105.67) @ 03:02:18.383

Gaze point at (901.61, 216.44) @ 03:02:18.551

Gaze point at (942.58, 251.17) @ 03:02:18.716

Gaze point at (938.33, 246.17) @ 03:02:18.883

Gaze point at (967.48, 184.87) @ 03:02:19.049

Gaze point at (990.70, 166.20) @ 03:02:19.217

Gaze point at (987.43, 121.02) @ 03:02:19.383

Gaze point at (984.39, 116.72) @ 03:02:19.549

Gaze point at (999.07, 135.08) @ 03:02:19.716

Gaze point at (995.26, 142.64) @ 03:02:19.885

Gaze point at (991.08, 137.73) @ 03:02:20.049

Gaze point at (1321.81, 106.11) @ 03:02:20.216

Gaze point at (1330.31, 108.04) @ 03:02:20.382

Gaze point at (1279.79, 118.05) @ 03:02:20.548

Gaze point at (1322.78, 108.88) @ 03:02:20.715

Gaze point at (1337.30, 107.79) @ 03:02:20.881

Gaze point at (1331.95, 110.14) @ 03:02:21.048

Gaze point at (1250.17, 109.71) @ 03:02:21.215

Gaze point at (1274.93, 222.07) @ 03:02:21.425

Gaze point at (1263.68, 185.35) @ 03:02:21.592

Gaze point at (1230.39, 190.02) @ 03:02:21.758

Gaze point at (1257.38, 151.95) @ 03:02:21.924

Gaze point at (1266.32, 137.29) @ 03:02:22.091

Gaze point at (1323.38, 125.38) @ 03:02:22.258

Gaze point at (1328.94, 114.53) @ 03:02:22.425

Gaze point at (1283.52, 109.90) @ 03:02:22.591

Gaze point at (1354.09, 110.72) @ 03:02:22.757

Gaze point at (1331.80, 160.43) @ 03:02:22.924

Gaze point at (1291.58, 391.29) @ 03:02:30.253

Gaze point at (1092.35, 259.20) @ 03:02:30.419

Gaze point at (1052.50, 299.51) @ 03:02:30.585

Gaze point at (1264.57, 142.71) @ 03:02:30.752

Gaze point at (1268.82, 143.30) @ 03:02:30.918

Gaze point at (1078.74, 316.23) @ 03:02:31.084

Gaze point at (1080.84, 315.38) @ 03:02:31.251

Gaze point at (1139.38, 311.13) @ 03:02:31.418

Gaze point at (1160.43, 125.08) @ 03:02:32.662

Gaze point at (1273.58, 78.72) @ 03:02:32.828

Gaze point at (1272.26, 69.72) @ 03:02:32.994

Gaze point at (1273.95, 71.65) @ 03:02:33.161

Gaze point at (1318.73, 66.81) @ 03:02:33.329

Gaze point at (1540.41, 410.86) @ 03:02:33.571

Gaze point at (1306.96, 101.82) @ 03:02:33.741

Gaze point at (1285.03, 89.83) @ 03:02:33.906

Gaze point at (1268.46, 91.55) @ 03:02:34.073

Gaze point at (1273.75, 84.86) @ 03:02:34.240

Gaze point at (1304.90, 89.23) @ 03:02:34.406

Gaze point at (1273.01, 65.30) @ 03:02:35.894

Gaze point at (1329.95, 56.67) @ 03:02:36.061

Gaze point at (1327.92, 66.37) @ 03:02:36.228

Gaze point at (600.83, 464.08) @ 03:02:37.091

Gaze point at (828.79, 268.45) @ 03:02:41.220

Gaze point at (857.37, 263.63) @ 03:02:41.553

Gaze point at (814.98, 278.42) @ 03:02:41.853

Gaze point at (1476.34, -73.47) @ 03:02:42.185

Gaze point at (821.23, 265.23) @ 03:02:42.453

Gaze point at (1468.48, 188.56) @ 03:02:44.306

Gaze point at (1284.91, 348.38) @ 03:02:45.972

Gaze point at (1122.22, 271.48) @ 03:02:46.708

Gaze point at (1154.56, 205.84) @ 03:02:46.874

Gaze point at (1288.87, 107.39) @ 03:02:47.041

Gaze point at (1286.21, 114.94) @ 03:02:47.207

Gaze point at (1247.58, 106.88) @ 03:02:47.374

Gaze point at (1308.85, 93.93) @ 03:02:47.540

Gaze point at (1338.96, 102.71) @ 03:02:47.709

Gaze point at (1295.05, 132.70) @ 03:02:47.873

Gaze point at (1269.53, 95.79) @ 03:02:48.040

Gaze point at (1272.32, 121.62) @ 03:02:48.206

Gaze point at (1447.93, -6.00) @ 03:02:48.940

Gaze point at (1264.66, 45.26) @ 03:02:49.107

Gaze point at (1297.25, 86.28) @ 03:02:49.273

Gaze point at (1202.68, 133.08) @ 03:02:49.439

Gaze point at (1250.59, 119.04) @ 03:02:49.606

Gaze point at (1265.45, 220.57) @ 03:02:49.870

Gaze point at (1217.36, 196.05) @ 03:02:50.037

Gaze point at (1222.21, 132.20) @ 03:02:50.205

Gaze point at (1248.32, 111.97) @ 03:02:50.372

Gaze point at (1262.52, 114.26) @ 03:02:50.538

Gaze point at (1281.94, 130.18) @ 03:02:50.704

Gaze point at (1291.10, 121.21) @ 03:02:50.874

Gaze point at (1288.80, 121.79) @ 03:02:51.038

Gaze point at (1334.33, 32.72) @ 03:02:51.205

Gaze point at (1347.47, 7.91) @ 03:02:51.371

Gaze point at (1352.30, 9.11) @ 03:02:51.537

Gaze point at (1327.45, 62.40) @ 03:02:51.706

Gaze point at (1318.13, 90.05) @ 03:02:51.870

Gaze point at (1293.05, 77.77) @ 03:02:52.036

Gaze point at (1293.55, 91.14) @ 03:02:52.202

Gaze point at (1270.51, 122.16) @ 03:02:52.437

Gaze point at (1276.69, 84.51) @ 03:02:52.604

Gaze point at (1298.00, 137.19) @ 03:02:52.770

Gaze point at (1314.88, 86.40) @ 03:02:52.936

Gaze point at (1249.88, -72.68) @ 03:02:53.772

Gaze point at (1334.74, 6.93) @ 03:02:53.940

Gaze point at (1260.30, -33.14) @ 03:02:54.207

Gaze point at (1318.83, -41.05) @ 03:02:54.372

Gaze point at (1343.40, -47.00) @ 03:02:54.538

Gaze point at (729.56, 31.55) @ 03:02:54.706

Gaze point at (758.99, 40.17) @ 03:02:54.874

Gaze point at (999.80, 56.38) @ 03:02:55.040

Gaze point at (988.97, 64.10) @ 03:02:55.207

Gaze point at (1012.14, 57.00) @ 03:02:55.374

