Gaze point at (434.57, 73.94) @ 05:32:21.181

Gaze point at (461.42, 123.12) @ 05:32:21.289

Gaze point at (473.43, 143.04) @ 05:32:21.455

Gaze point at (630.06, 21.95) @ 05:32:21.622

Gaze point at (626.00, 48.18) @ 05:32:21.789

Gaze point at (707.69, 24.04) @ 05:32:21.955

Gaze point at (710.78, 33.70) @ 05:32:22.122

Gaze point at (588.87, 98.80) @ 05:32:22.288

Gaze point at (636.33, 127.41) @ 05:32:22.455

Gaze point at (654.58, 194.57) @ 05:32:22.623

Gaze point at (676.09, 212.54) @ 05:32:22.790

Gaze point at (672.40, 209.23) @ 05:32:22.957

Gaze point at (676.38, 187.15) @ 05:32:23.124

Gaze point at (672.12, 163.96) @ 05:32:23.290

Gaze point at (420.76, 92.41) @ 05:32:23.457

Gaze point at (373.25, 97.63) @ 05:32:23.623

Gaze point at (358.69, 128.24) @ 05:32:23.856

Gaze point at (438.26, 248.56) @ 05:32:24.023

Gaze point at (490.37, 345.96) @ 05:32:24.189

Gaze point at (489.36, 350.55) @ 05:32:24.356

Gaze point at (274.99, 332.04) @ 05:32:24.523

Gaze point at (271.87, 331.73) @ 05:32:24.689

Gaze point at (296.12, 260.09) @ 05:32:24.855

Gaze point at (365.25, 65.18) @ 05:32:25.021

Gaze point at (365.22, 70.71) @ 05:32:25.188

Gaze point at (376.00, 68.51) @ 05:32:25.355

Gaze point at (378.53, 66.24) @ 05:32:25.523

Gaze point at (259.11, 398.46) @ 05:32:25.688

Gaze point at (315.51, 509.76) @ 05:32:25.855

Gaze point at (369.04, 525.43) @ 05:32:26.021

Gaze point at (277.01, 358.99) @ 05:32:26.188

Gaze point at (484.28, 497.21) @ 05:32:26.354

Gaze point at (637.29, 604.41) @ 05:32:26.521

Gaze point at (637.99, 603.52) @ 05:32:26.687

Gaze point at (640.29, 600.79) @ 05:32:26.854

Gaze point at (629.90, 578.06) @ 05:32:27.021

Gaze point at (628.22, 585.02) @ 05:32:27.187

Gaze point at (580.56, 658.25) @ 05:32:27.354

Gaze point at (405.69, 471.34) @ 05:32:27.520

Gaze point at (177.18, 67.05) @ 05:32:27.686

Gaze point at (173.43, 64.41) @ 05:32:27.854

Gaze point at (126.03, 60.74) @ 05:32:28.018

Gaze point at (580.31, 574.21) @ 05:32:28.273

Gaze point at (584.04, 575.58) @ 05:32:28.440

Gaze point at (667.21, 588.92) @ 05:32:28.607

Gaze point at (666.27, 589.58) @ 05:32:28.774

Gaze point at (709.79, 572.60) @ 05:32:28.940

Gaze point at (720.51, 570.07) @ 05:32:29.107

Gaze point at (512.75, 383.40) @ 05:32:29.273

Gaze point at (342.68, 55.13) @ 05:32:29.440

Gaze point at (346.22, 65.86) @ 05:32:29.607

Gaze point at (345.99, 79.61) @ 05:32:29.773

Gaze point at (358.52, 78.54) @ 05:32:29.939

Gaze point at (207.25, 63.46) @ 05:32:30.106

Gaze point at (166.91, 48.75) @ 05:32:30.275

Gaze point at (273.45, 272.70) @ 05:32:30.439

Gaze point at (305.98, 343.22) @ 05:32:30.605

Gaze point at (303.60, 351.33) @ 05:32:30.772

Gaze point at (346.59, 246.43) @ 05:32:30.939

Gaze point at (357.11, 69.84) @ 05:32:31.105

Gaze point at (363.64, 74.89) @ 05:32:31.272

Gaze point at (717.59, 483.79) @ 05:32:31.438

Gaze point at (866.51, 593.20) @ 05:32:31.606

Gaze point at (882.38, 599.71) @ 05:32:31.771

Gaze point at (879.18, 602.53) @ 05:32:31.940

Gaze point at (886.33, 608.02) @ 05:32:32.104

Gaze point at (626.65, 455.89) @ 05:32:32.271

Gaze point at (322.85, 74.10) @ 05:32:32.437

Gaze point at (316.10, 68.65) @ 05:32:32.604

Gaze point at (318.79, 82.64) @ 05:32:32.771

Gaze point at (322.78, 289.66) @ 05:32:32.937

Gaze point at (256.23, 320.76) @ 05:32:33.104

Gaze point at (258.09, 324.65) @ 05:32:33.270

Gaze point at (357.44, 101.41) @ 05:32:33.437

Gaze point at (358.77, 76.01) @ 05:32:33.603

Gaze point at (362.82, 76.68) @ 05:32:33.769

Gaze point at (737.41, 438.68) @ 05:32:33.936

Gaze point at (950.25, 581.89) @ 05:32:34.103

