Gaze point at (541.84, 237.25) @ 05:00:08.881

Gaze point at (242.70, 190.45) @ 05:00:09.025

Gaze point at (479.18, 203.75) @ 05:00:09.250

Gaze point at (640.42, 182.07) @ 05:00:09.416

Gaze point at (754.29, 78.45) @ 05:00:09.584

Gaze point at (758.26, 43.92) @ 05:00:09.749

Gaze point at (757.04, 45.09) @ 05:00:09.915

Gaze point at (606.03, 141.89) @ 05:00:10.082

Gaze point at (614.69, 140.01) @ 05:00:10.248

Gaze point at (568.58, 204.14) @ 05:00:10.414

Gaze point at (636.39, 167.27) @ 05:00:10.581

Gaze point at (642.54, 158.88) @ 05:00:10.748

Gaze point at (643.68, 143.97) @ 05:00:10.914

Gaze point at (643.27, 138.56) @ 05:00:11.081

Gaze point at (648.10, 136.68) @ 05:00:11.247

Gaze point at (859.80, 96.77) @ 05:00:11.414

Gaze point at (974.21, 116.59) @ 05:00:11.580

Gaze point at (1006.05, 132.59) @ 05:00:11.747

Gaze point at (903.87, 136.84) @ 05:00:11.913

Gaze point at (649.12, 171.25) @ 05:00:12.080

Gaze point at (652.49, 166.83) @ 05:00:12.246

Gaze point at (636.80, 134.24) @ 05:00:12.413

Gaze point at (675.31, 299.61) @ 05:00:12.644

Gaze point at (635.84, 63.06) @ 05:00:12.813

Gaze point at (614.94, 41.67) @ 05:00:12.979

Gaze point at (617.71, 26.19) @ 05:00:13.145

Gaze point at (637.21, -53.93) @ 05:00:13.309

Gaze point at (636.22, 74.58) @ 05:00:14.902

Gaze point at (646.08, 97.93) @ 05:00:15.068

Gaze point at (644.29, 85.82) @ 05:00:15.234

Gaze point at (218.46, 246.66) @ 05:00:15.434

Gaze point at (242.44, 238.36) @ 05:00:15.600

Gaze point at (634.20, 172.57) @ 05:00:15.767

Gaze point at (643.45, 207.95) @ 05:00:15.933

Gaze point at (650.87, 210.55) @ 05:00:16.101

Gaze point at (662.96, 181.28) @ 05:00:16.267

Gaze point at (806.73, 92.20) @ 05:00:16.434

Gaze point at (1038.44, 32.49) @ 05:00:16.601

Gaze point at (1063.00, 73.17) @ 05:00:16.767

Gaze point at (1062.15, 79.38) @ 05:00:16.933

Gaze point at (1101.24, 71.41) @ 05:00:17.101

Gaze point at (1091.55, 79.04) @ 05:00:17.267

Gaze point at (1065.06, 98.36) @ 05:00:17.434

