Gaze point at (619.61, 131.47) @ 04:34:01.709

Gaze point at (607.31, 156.62) @ 04:34:01.855

Gaze point at (328.15, 94.39) @ 04:34:02.021

Gaze point at (378.74, 101.25) @ 04:34:02.187

Gaze point at (301.71, 109.08) @ 04:34:02.353

Gaze point at (292.08, 106.19) @ 04:34:02.520

Gaze point at (332.72, 110.70) @ 04:34:02.687

Gaze point at (327.60, 95.46) @ 04:34:02.853

Gaze point at (320.01, 182.37) @ 04:34:03.020

Gaze point at (324.43, 181.47) @ 04:34:03.186

Gaze point at (293.97, 189.40) @ 04:34:03.353

Gaze point at (303.39, 194.54) @ 04:34:03.519

Gaze point at (298.59, 194.83) @ 04:34:03.688

Gaze point at (353.64, 212.22) @ 04:34:03.853

Gaze point at (357.62, 226.35) @ 04:34:04.019

