Gaze point at (557.75, 217.70) @ 12:55:44.027

Gaze point at (725.85, 322.67) @ 12:55:44.166

Gaze point at (742.70, 358.02) @ 12:55:44.331

Gaze point at (171.59, 183.17) @ 12:55:44.588

Gaze point at (171.92, 185.67) @ 12:55:44.754

Gaze point at (1026.44, 104.92) @ 12:55:44.920

Gaze point at (1025.74, 116.13) @ 12:55:45.086

Gaze point at (1041.77, 99.59) @ 12:55:45.256

Gaze point at (1035.32, 110.83) @ 12:55:45.420

Gaze point at (1029.02, 117.36) @ 12:55:45.587

Gaze point at (940.71, 173.06) @ 12:55:45.887

Gaze point at (946.30, 119.55) @ 12:55:46.053

Gaze point at (960.86, 101.79) @ 12:55:46.219

Gaze point at (960.14, 102.31) @ 12:55:46.388

