Gaze point at (505.89, 568.22) @ 03:07:22.272

Gaze point at (507.67, 430.86) @ 03:07:22.419

Gaze point at (434.05, 233.45) @ 03:07:22.586

Gaze point at (282.11, 153.79) @ 03:07:22.753

Gaze point at (548.57, 164.38) @ 03:07:22.953

Gaze point at (546.05, 174.11) @ 03:07:23.119

Gaze point at (670.14, 222.55) @ 03:07:23.286

Gaze point at (647.98, 172.49) @ 03:07:23.452

Gaze point at (997.34, 150.76) @ 03:07:23.619

Gaze point at (978.27, 160.19) @ 03:07:23.786

Gaze point at (861.34, 70.72) @ 03:07:23.952

Gaze point at (867.32, 60.27) @ 03:07:24.119

Gaze point at (801.97, 513.00) @ 03:07:24.285

Gaze point at (787.40, 575.15) @ 03:07:24.452

Gaze point at (672.43, 556.53) @ 03:07:24.618

Gaze point at (505.88, 552.10) @ 03:07:24.784

Gaze point at (505.26, 563.79) @ 03:07:24.952

Gaze point at (383.17, 820.08) @ 03:07:25.209

Gaze point at (518.85, 569.05) @ 03:07:25.374

Gaze point at (514.92, 565.80) @ 03:07:25.540

Gaze point at (516.74, 567.54) @ 03:07:25.707

Gaze point at (514.40, 569.63) @ 03:07:25.873

Gaze point at (514.44, 571.17) @ 03:07:26.041

Gaze point at (513.85, 567.27) @ 03:07:26.207

Gaze point at (510.39, 566.50) @ 03:07:26.373

Gaze point at (511.93, 562.98) @ 03:07:26.540

Gaze point at (511.61, 560.34) @ 03:07:26.707

Gaze point at (508.98, 563.03) @ 03:07:26.873

Gaze point at (581.15, 554.16) @ 03:07:27.040

Gaze point at (510.42, 556.98) @ 03:07:27.206

Gaze point at (777.51, 493.31) @ 03:07:27.372

Gaze point at (1102.70, 342.07) @ 03:07:27.539

Gaze point at (1278.67, 129.24) @ 03:07:27.705

Gaze point at (1274.47, 130.40) @ 03:07:27.875

Gaze point at (1252.95, 175.26) @ 03:07:28.105

Gaze point at (1600.02, 310.84) @ 03:07:28.815

Gaze point at (1001.08, 304.19) @ 03:07:31.514

Gaze point at (977.18, 307.13) @ 03:07:31.680

Gaze point at (754.94, 464.12) @ 03:07:31.846

Gaze point at (1247.60, 152.63) @ 03:07:32.013

Gaze point at (1334.91, -6.57) @ 03:07:37.066

Gaze point at (1365.24, -18.50) @ 03:07:37.233

Gaze point at (1324.15, -6.12) @ 03:07:37.399

Gaze point at (1355.93, -0.69) @ 03:07:37.566

Gaze point at (594.54, 268.84) @ 03:07:37.732

Gaze point at (450.55, 346.24) @ 03:07:37.898

Gaze point at (479.04, 358.63) @ 03:07:38.065

Gaze point at (1139.81, 213.08) @ 03:07:38.232

Gaze point at (1299.12, 117.27) @ 03:07:38.397

Gaze point at (1043.90, 87.65) @ 03:07:38.564

Gaze point at (1000.56, 70.70) @ 03:07:38.733

Gaze point at (999.52, 57.93) @ 03:07:38.898

