Gaze point at (533.99, 640.55) @ 03:20:40.820

Gaze point at (709.78, 729.22) @ 03:20:40.970

Gaze point at (705.89, 728.61) @ 03:20:41.136

Gaze point at (290.51, 174.34) @ 03:20:41.302

Gaze point at (376.50, 81.17) @ 03:20:41.469

Gaze point at (394.34, 74.79) @ 03:20:41.635

Gaze point at (822.96, 88.26) @ 03:20:41.802

Gaze point at (704.87, 640.39) @ 03:20:41.968

Gaze point at (803.42, 578.95) @ 03:20:42.135

Gaze point at (900.26, -3.85) @ 03:20:42.302

Gaze point at (848.38, 69.92) @ 03:20:42.468

Gaze point at (843.38, 73.56) @ 03:20:42.634

Gaze point at (226.42, 336.70) @ 03:20:42.924

Gaze point at (248.10, 299.90) @ 03:20:43.092

Gaze point at (823.23, 385.14) @ 03:20:43.258

Gaze point at (935.37, 412.95) @ 03:20:43.425

Gaze point at (923.97, 417.33) @ 03:20:43.591

Gaze point at (881.43, 721.81) @ 03:20:43.759

Gaze point at (881.06, 709.85) @ 03:20:43.925

Gaze point at (879.86, 658.85) @ 03:20:44.091

Gaze point at (849.05, 660.34) @ 03:20:44.258

Gaze point at (836.99, 669.37) @ 03:20:44.427

Gaze point at (839.67, 668.41) @ 03:20:44.591

Gaze point at (667.11, -21.71) @ 03:20:44.758

Gaze point at (672.10, 16.38) @ 03:20:44.924

Gaze point at (674.85, 22.17) @ 03:20:45.091

Gaze point at (669.87, 38.47) @ 03:20:45.258

Gaze point at (689.73, 32.11) @ 03:20:45.425

Gaze point at (669.15, 62.15) @ 03:20:45.591

Gaze point at (500.29, 474.12) @ 03:20:45.757

Gaze point at (615.42, 554.81) @ 03:20:45.924

Gaze point at (633.32, 594.60) @ 03:20:46.090

Gaze point at (1102.49, 438.22) @ 03:20:46.257

Gaze point at (-136.15, 961.47) @ 03:20:47.515

Gaze point at (555.32, 502.19) @ 03:20:47.681

Gaze point at (734.84, 567.41) @ 03:20:47.848

Gaze point at (576.45, 558.34) @ 03:20:48.017

Gaze point at (563.79, 565.16) @ 03:20:48.182

Gaze point at (556.62, 569.35) @ 03:20:48.347

Gaze point at (561.39, 573.94) @ 03:20:48.515

Gaze point at (558.59, 589.26) @ 03:20:48.680

