Gaze point at (1022.27, 125.43) @ 03:12:11.636

Gaze point at (933.81, 136.59) @ 03:12:11.782

Gaze point at (935.52, 133.38) @ 03:12:11.948

Gaze point at (934.33, 140.96) @ 03:12:12.269

Gaze point at (928.16, 123.23) @ 03:12:12.436

Gaze point at (893.05, 111.66) @ 03:12:12.602

Gaze point at (862.66, 121.30) @ 03:12:12.769

Gaze point at (843.15, 133.26) @ 03:12:12.936

Gaze point at (910.38, 136.54) @ 03:12:13.102

Gaze point at (995.34, 135.61) @ 03:12:13.269

Gaze point at (1033.84, 139.56) @ 03:12:13.436

Gaze point at (1031.98, 141.73) @ 03:12:13.604

Gaze point at (983.92, 183.43) @ 03:12:13.768

Gaze point at (912.24, 152.82) @ 03:12:13.935

Gaze point at (899.27, 134.71) @ 03:12:14.102

Gaze point at (846.46, 124.14) @ 03:12:14.269

Gaze point at (835.78, 120.66) @ 03:12:14.435

Gaze point at (852.99, 75.99) @ 03:12:14.601

Gaze point at (859.32, 69.84) @ 03:12:14.767

Gaze point at (873.25, 139.49) @ 03:12:14.935

Gaze point at (866.08, 146.19) @ 03:12:15.102

Gaze point at (860.47, 144.13) @ 03:12:15.268

Gaze point at (1066.28, 127.30) @ 03:12:15.434

Gaze point at (1189.99, 120.35) @ 03:12:15.601

Gaze point at (1256.39, 182.65) @ 03:12:15.767

Gaze point at (1286.41, 165.54) @ 03:12:15.933

Gaze point at (1278.14, 121.96) @ 03:12:16.166

Gaze point at (1278.44, 113.96) @ 03:12:16.334

Gaze point at (1311.93, 120.80) @ 03:12:16.500

Gaze point at (1212.50, 123.90) @ 03:12:16.667

Gaze point at (1189.46, 128.30) @ 03:12:16.833

Gaze point at (1124.63, 125.71) @ 03:12:17.000

Gaze point at (1121.55, 128.96) @ 03:12:17.166

Gaze point at (1122.38, 132.77) @ 03:12:17.334

Gaze point at (1123.50, 134.75) @ 03:12:17.500

Gaze point at (1121.06, 137.80) @ 03:12:17.666

Gaze point at (1281.68, 142.38) @ 03:12:17.832

Gaze point at (1277.79, 143.96) @ 03:12:18.000

Gaze point at (597.55, 526.74) @ 03:12:18.166

Gaze point at (493.12, 558.90) @ 03:12:18.332

Gaze point at (513.44, 568.94) @ 03:12:18.499

