Gaze point at (547.72, 195.95) @ 03:18:48.638

Gaze point at (561.10, 202.10) @ 03:18:48.782

Gaze point at (520.78, 147.77) @ 03:18:48.948

Gaze point at (733.84, 116.53) @ 03:18:49.115

Gaze point at (808.98, 110.20) @ 03:18:49.280

Gaze point at (999.09, 63.05) @ 03:18:49.447

Gaze point at (881.64, 34.49) @ 03:18:49.614

Gaze point at (867.32, 22.66) @ 03:18:49.780

Gaze point at (905.22, 24.97) @ 03:18:49.947

Gaze point at (913.51, 12.45) @ 03:18:50.114

Gaze point at (908.37, 1.18) @ 03:18:50.280

Gaze point at (904.60, 4.28) @ 03:18:50.447

Gaze point at (688.01, 500.51) @ 03:18:50.613

Gaze point at (741.49, 579.11) @ 03:18:50.780

Gaze point at (807.42, 558.23) @ 03:18:50.946

Gaze point at (888.58, -14.47) @ 03:18:51.115

Gaze point at (922.54, 4.39) @ 03:18:51.280

Gaze point at (1205.18, 237.48) @ 03:18:53.895

Gaze point at (711.43, 564.84) @ 03:18:54.266

Gaze point at (833.29, 512.36) @ 03:18:54.428

Gaze point at (962.21, 477.98) @ 03:18:54.595

Gaze point at (598.50, 658.31) @ 03:18:54.764

Gaze point at (576.17, 594.68) @ 03:18:54.930

Gaze point at (551.81, 562.64) @ 03:18:55.096

Gaze point at (1287.27, 134.33) @ 03:18:55.353

Gaze point at (1265.45, 57.32) @ 03:18:55.519

Gaze point at (1371.49, 31.21) @ 03:18:55.686

Gaze point at (1352.03, 94.50) @ 03:18:56.616

Gaze point at (1272.12, -35.28) @ 03:18:56.782

Gaze point at (1367.73, -69.82) @ 03:18:56.949

Gaze point at (1381.69, -35.62) @ 03:18:57.116

Gaze point at (1235.19, 29.17) @ 03:18:57.282

Gaze point at (1152.92, 145.02) @ 03:18:57.451

Gaze point at (1101.47, 175.87) @ 03:18:57.618

Gaze point at (1097.51, 175.67) @ 03:18:57.784

Gaze point at (1243.38, 192.74) @ 03:18:57.950

Gaze point at (1282.57, 149.70) @ 03:18:58.118

Gaze point at (1316.33, 118.83) @ 03:18:58.284

Gaze point at (1299.36, 100.01) @ 03:18:58.451

Gaze point at (1365.44, 88.74) @ 03:18:58.617

Gaze point at (1402.42, 407.28) @ 03:18:58.861

Gaze point at (1357.73, 64.99) @ 03:18:59.028

Gaze point at (1287.02, 110.17) @ 03:18:59.194

Gaze point at (1271.95, 121.25) @ 03:18:59.361

Gaze point at (1340.33, 132.30) @ 03:18:59.527

Gaze point at (1334.50, 137.62) @ 03:18:59.695

Gaze point at (1244.35, 669.93) @ 03:19:00.348

Gaze point at (1323.40, 271.06) @ 03:19:00.516

Gaze point at (1147.56, 333.05) @ 03:19:00.682

Gaze point at (1148.66, 335.71) @ 03:19:00.849

Gaze point at (789.49, 882.08) @ 03:19:04.524

Gaze point at (848.66, 520.39) @ 03:19:04.702

Gaze point at (527.92, 560.05) @ 03:19:04.868

Gaze point at (552.51, 529.29) @ 03:19:05.034

Gaze point at (544.27, 532.53) @ 03:19:05.200

Gaze point at (549.42, 539.34) @ 03:19:05.367

Gaze point at (1344.04, 861.07) @ 03:19:05.668

Gaze point at (1327.78, 835.69) @ 03:19:05.834

Gaze point at (1293.06, 743.70) @ 03:19:06.000

Gaze point at (1244.01, 740.25) @ 03:19:06.167

Gaze point at (695.19, 536.73) @ 03:19:06.334

Gaze point at (577.12, 506.12) @ 03:19:06.500

Gaze point at (545.53, 539.29) @ 03:19:06.666

Gaze point at (1279.35, 755.05) @ 03:19:06.832

Gaze point at (1207.15, 746.77) @ 03:19:07.000

Gaze point at (786.73, 1522.23) @ 03:19:07.309

Gaze point at (1168.86, 819.25) @ 03:19:07.478

Gaze point at (1177.48, 754.42) @ 03:19:07.644

Gaze point at (1171.07, 754.21) @ 03:19:07.810

Gaze point at (1163.01, 751.29) @ 03:19:07.977

Gaze point at (1160.23, 755.49) @ 03:19:08.144

Gaze point at (1165.16, 757.79) @ 03:19:08.311

Gaze point at (1167.36, 751.14) @ 03:19:08.478

Gaze point at (1173.80, 749.39) @ 03:19:08.643

Gaze point at (1165.67, 744.73) @ 03:19:08.810

Gaze point at (1167.36, 739.12) @ 03:19:08.976

Gaze point at (1161.74, 756.97) @ 03:19:09.142

Gaze point at (1155.35, 789.20) @ 03:19:09.431

Gaze point at (1168.84, 778.26) @ 03:19:09.598

Gaze point at (1167.63, 734.26) @ 03:19:09.764

Gaze point at (1164.32, 733.26) @ 03:19:09.931

Gaze point at (716.74, 480.44) @ 03:19:28.412

Gaze point at (706.30, 559.10) @ 03:19:28.581

Gaze point at (500.15, 538.02) @ 03:19:28.748

Gaze point at (536.22, 523.76) @ 03:19:28.914

Gaze point at (775.42, 541.14) @ 03:19:29.079

Gaze point at (1106.56, 304.37) @ 03:19:52.526

Gaze point at (1124.59, 291.50) @ 03:19:52.693

Gaze point at (1229.78, 183.47) @ 03:19:52.862

Gaze point at (1229.70, 135.39) @ 03:19:53.028

Gaze point at (1233.09, 129.37) @ 03:19:53.194

Gaze point at (1159.74, 124.76) @ 03:19:53.360

Gaze point at (1147.05, 126.33) @ 03:19:53.528

Gaze point at (1144.60, 124.54) @ 03:19:53.693

Gaze point at (1146.60, 127.97) @ 03:19:53.860

Gaze point at (1141.65, 127.05) @ 03:19:54.027

Gaze point at (1266.49, 122.44) @ 03:19:54.194

Gaze point at (1274.34, 147.06) @ 03:19:54.360

Gaze point at (1040.69, 318.14) @ 03:19:54.527

Gaze point at (1046.05, 314.23) @ 03:19:54.693

Gaze point at (315.18, 264.59) @ 03:19:54.859

Gaze point at (346.26, 266.20) @ 03:19:55.025

Gaze point at (341.23, 271.87) @ 03:19:55.193

Gaze point at (557.78, 688.01) @ 03:19:56.888

Gaze point at (982.45, 153.08) @ 03:20:14.437

Gaze point at (1025.27, -5.31) @ 03:20:14.604

Gaze point at (1067.94, 194.86) @ 03:20:15.174

Gaze point at (1057.22, 248.11) @ 03:20:15.340

Gaze point at (1054.43, 236.90) @ 03:20:15.508

