Gaze point at (749.71, 156.00) @ 12:51:54.671

Gaze point at (844.03, -35.32) @ 12:51:54.803

Gaze point at (854.76, -77.30) @ 12:51:54.969

Gaze point at (782.63, -81.96) @ 12:51:55.135

Gaze point at (859.47, -111.20) @ 12:51:55.304

Gaze point at (859.69, -51.53) @ 12:51:55.467

Gaze point at (913.99, -39.57) @ 12:51:55.635

Gaze point at (923.26, -22.07) @ 12:51:55.801

Gaze point at (849.40, 303.76) @ 12:51:56.007

Gaze point at (556.99, 323.28) @ 12:51:56.175

Gaze point at (463.30, 361.51) @ 12:51:56.428

Gaze point at (484.43, 382.47) @ 12:51:56.594

Gaze point at (501.69, 384.21) @ 12:51:56.766

Gaze point at (491.34, 396.19) @ 12:51:56.930

Gaze point at (499.05, 403.18) @ 12:51:57.096

Gaze point at (532.99, 456.57) @ 12:51:57.262

Gaze point at (534.28, 465.28) @ 12:51:57.428

Gaze point at (563.83, 356.55) @ 12:51:57.718

Gaze point at (556.41, 330.54) @ 12:51:57.884

Gaze point at (550.83, 308.81) @ 12:51:58.052

Gaze point at (544.55, 303.29) @ 12:51:58.218

Gaze point at (549.04, 363.87) @ 12:51:58.385

Gaze point at (546.76, 375.07) @ 12:51:58.551

Gaze point at (507.97, 509.21) @ 12:51:58.718

Gaze point at (504.72, 545.40) @ 12:51:58.885

Gaze point at (506.07, 550.22) @ 12:51:59.050

Gaze point at (551.81, 441.75) @ 12:51:59.217

Gaze point at (567.30, 390.67) @ 12:51:59.384

Gaze point at (564.58, 394.00) @ 12:51:59.550

Gaze point at (561.91, 393.19) @ 12:51:59.717

Gaze point at (560.55, 388.08) @ 12:51:59.883

Gaze point at (561.64, 386.87) @ 12:52:00.050

Gaze point at (601.49, 442.64) @ 12:52:00.216

Gaze point at (546.92, 378.35) @ 12:52:00.384

Gaze point at (536.09, 372.02) @ 12:52:00.550

Gaze point at (541.02, 374.53) @ 12:52:00.716

Gaze point at (799.76, 350.64) @ 12:52:00.883

Gaze point at (1019.99, 110.87) @ 12:52:01.049

Gaze point at (1054.09, 74.57) @ 12:52:01.216

Gaze point at (1051.34, 83.50) @ 12:52:01.382

Gaze point at (460.12, 224.31) @ 12:52:01.549

Gaze point at (957.55, 165.85) @ 12:52:01.806

Gaze point at (922.60, 157.69) @ 12:52:01.972

Gaze point at (1050.98, 154.05) @ 12:52:02.138

Gaze point at (1047.52, 156.03) @ 12:52:02.305

Gaze point at (1046.26, 160.50) @ 12:52:02.471

Gaze point at (1044.71, 167.38) @ 12:52:02.637

