Gaze point at (561.73, 297.10) @ 01:47:14.867

Gaze point at (566.01, 289.13) @ 01:47:14.985

Gaze point at (484.08, 153.33) @ 01:47:15.151

Gaze point at (750.92, 102.01) @ 01:47:15.323

Gaze point at (744.57, 114.56) @ 01:47:15.484

Gaze point at (799.02, 33.30) @ 01:47:15.652

Gaze point at (795.78, 44.52) @ 01:47:15.817

Gaze point at (794.55, 49.29) @ 01:47:15.984

Gaze point at (748.75, 123.32) @ 01:47:16.151

Gaze point at (612.04, 355.84) @ 01:47:16.317

Gaze point at (614.48, 344.82) @ 01:47:16.483

Gaze point at (459.55, 328.00) @ 01:47:16.650

Gaze point at (308.62, 311.05) @ 01:47:16.816

Gaze point at (282.88, 327.62) @ 01:47:16.983

Gaze point at (281.93, 337.71) @ 01:47:17.149

Gaze point at (296.70, 412.40) @ 01:47:17.317

Gaze point at (294.28, 408.24) @ 01:47:17.483

Gaze point at (382.72, 492.13) @ 01:47:17.649

Gaze point at (436.64, 556.83) @ 01:47:17.816

Gaze point at (247.32, 276.27) @ 01:47:17.982

Gaze point at (165.99, 101.85) @ 01:47:18.148

Gaze point at (163.52, 99.70) @ 01:47:18.316

Gaze point at (305.77, 343.65) @ 01:47:18.482

Gaze point at (312.04, 348.68) @ 01:47:18.649

Gaze point at (332.23, 342.28) @ 01:47:18.815

Gaze point at (348.41, 343.11) @ 01:47:18.982

Gaze point at (352.75, 345.45) @ 01:47:19.148

Gaze point at (364.47, 355.69) @ 01:47:19.315

Gaze point at (638.52, 537.50) @ 01:47:19.482

Gaze point at (697.08, 606.45) @ 01:47:19.648

Gaze point at (745.72, 610.84) @ 01:47:19.814

Gaze point at (769.21, 609.57) @ 01:47:19.981

Gaze point at (777.60, 612.58) @ 01:47:20.151

Gaze point at (803.55, 620.55) @ 01:47:20.314

Gaze point at (802.74, 506.79) @ 01:47:20.480

Gaze point at (778.69, 404.06) @ 01:47:20.647

Gaze point at (777.53, 392.85) @ 01:47:20.813

Gaze point at (1126.67, 357.65) @ 01:47:20.980

Gaze point at (1118.72, 364.38) @ 01:47:21.147

Gaze point at (1114.27, 364.82) @ 01:47:21.314

Gaze point at (1058.76, 316.86) @ 01:47:21.482

Gaze point at (456.24, 667.52) @ 01:47:21.647

Gaze point at (475.73, 618.30) @ 01:47:21.813

Gaze point at (465.67, 599.09) @ 01:47:21.979

Gaze point at (322.40, 343.13) @ 01:47:22.146

Gaze point at (325.89, 353.28) @ 01:47:22.312

Gaze point at (308.50, 335.50) @ 01:47:22.479

