Gaze point at (558.32, 181.84) @ 01:12:50.980

Gaze point at (556.86, 207.17) @ 01:12:51.113

Gaze point at (651.07, 133.84) @ 01:12:51.279

Gaze point at (672.53, 140.27) @ 01:12:51.445

Gaze point at (661.34, 170.84) @ 01:12:51.613

Gaze point at (688.71, 174.62) @ 01:12:51.779

Gaze point at (679.56, 200.10) @ 01:12:51.945

Gaze point at (681.19, 234.52) @ 01:12:52.170

Gaze point at (739.41, 192.88) @ 01:12:52.337

Gaze point at (744.17, 172.95) @ 01:12:52.503

Gaze point at (748.76, 160.85) @ 01:12:52.670

Gaze point at (752.05, 138.59) @ 01:12:52.836

Gaze point at (758.40, 317.64) @ 01:12:53.004

Gaze point at (758.19, 289.88) @ 01:12:53.169

Gaze point at (914.23, 311.49) @ 01:12:53.335

Gaze point at (927.54, 287.10) @ 01:12:53.502

Gaze point at (937.77, 276.36) @ 01:12:53.668

Gaze point at (931.21, 295.08) @ 01:12:53.837

Gaze point at (912.67, 310.63) @ 01:12:54.003

Gaze point at (899.10, 327.07) @ 01:12:54.169

Gaze point at (880.69, 341.81) @ 01:12:54.336

Gaze point at (851.08, 352.38) @ 01:12:54.502

Gaze point at (810.44, 364.89) @ 01:12:54.668

Gaze point at (604.68, 434.97) @ 01:12:54.835

Gaze point at (537.89, 459.31) @ 01:12:55.277

Gaze point at (617.55, 573.28) @ 01:12:55.444

Gaze point at (610.71, 580.40) @ 01:12:55.610

Gaze point at (225.14, 103.53) @ 01:12:55.776

Gaze point at (189.25, 75.14) @ 01:12:55.943

Gaze point at (188.38, 87.96) @ 01:12:56.110

Gaze point at (904.73, 400.51) @ 01:12:56.276

Gaze point at (879.77, 407.49) @ 01:12:56.442

Gaze point at (824.55, 593.18) @ 01:12:56.609

Gaze point at (808.76, 621.58) @ 01:12:56.776

Gaze point at (906.63, 326.15) @ 01:12:56.943

Gaze point at (887.88, 343.09) @ 01:12:57.110

Gaze point at (411.90, 338.21) @ 01:12:57.276

Gaze point at (959.96, 358.26) @ 01:12:57.442

Gaze point at (942.37, 358.16) @ 01:12:57.609

Gaze point at (947.06, 355.95) @ 01:12:57.775

Gaze point at (942.38, 359.44) @ 01:12:57.941

Gaze point at (942.86, 350.42) @ 01:12:58.109

Gaze point at (924.13, 468.31) @ 01:12:58.275

Gaze point at (915.92, 584.83) @ 01:12:58.441

Gaze point at (879.77, 580.07) @ 01:12:58.608

Gaze point at (875.77, 574.30) @ 01:12:58.774

Gaze point at (247.94, 100.17) @ 01:12:58.941

Gaze point at (247.28, 113.86) @ 01:12:59.108

Gaze point at (240.21, 129.33) @ 01:12:59.274

Gaze point at (929.15, 575.47) @ 01:12:59.440

Gaze point at (902.47, 575.34) @ 01:12:59.608

Gaze point at (983.61, 332.66) @ 01:12:59.774

Gaze point at (933.91, 367.37) @ 01:12:59.941

Gaze point at (915.34, 361.16) @ 01:13:00.107

Gaze point at (911.66, 360.24) @ 01:13:00.273

Gaze point at (789.42, 419.69) @ 01:13:00.561

Gaze point at (806.20, 358.02) @ 01:13:00.728

Gaze point at (809.83, 345.81) @ 01:13:00.895

Gaze point at (795.87, 354.77) @ 01:13:01.062

Gaze point at (594.22, 595.32) @ 01:13:01.228

Gaze point at (596.31, 592.91) @ 01:13:01.395

Gaze point at (585.53, 606.74) @ 01:13:01.561

Gaze point at (630.10, 574.38) @ 01:13:01.728

Gaze point at (325.75, 358.45) @ 01:13:01.894

Gaze point at (130.98, 116.76) @ 01:13:02.060

Gaze point at (135.62, 128.55) @ 01:13:02.227

Gaze point at (549.75, 224.64) @ 01:13:02.394

Gaze point at (853.59, 331.73) @ 01:13:02.561

Gaze point at (849.60, 333.60) @ 01:13:02.727

Gaze point at (815.66, 351.64) @ 01:13:02.893

Gaze point at (812.71, 351.78) @ 01:13:03.060

Gaze point at (818.19, 354.90) @ 01:13:03.349

Gaze point at (811.68, 347.69) @ 01:13:03.515

Gaze point at (676.92, 573.49) @ 01:13:03.681

