Gaze point at (520.65, 365.62) @ 03:08:51.708

Gaze point at (492.97, 306.40) @ 03:08:51.830

Gaze point at (498.48, 303.79) @ 03:08:51.997

Gaze point at (502.98, 305.36) @ 03:08:52.163

Gaze point at (565.76, 334.17) @ 03:08:52.330

Gaze point at (581.82, 376.48) @ 03:08:52.496

Gaze point at (575.84, 450.64) @ 03:08:52.665

Gaze point at (573.90, 458.77) @ 03:08:52.830

Gaze point at (631.27, 526.56) @ 03:08:52.996

Gaze point at (673.07, 547.47) @ 03:08:53.162

Gaze point at (805.67, 546.43) @ 03:08:53.328

Gaze point at (717.35, 624.26) @ 03:08:53.633

Gaze point at (585.51, 290.69) @ 03:08:53.799

Gaze point at (556.59, 245.98) @ 03:08:53.967

Gaze point at (505.17, 125.76) @ 03:08:54.134

Gaze point at (627.28, 282.97) @ 03:08:54.300

Gaze point at (952.54, 153.44) @ 03:08:54.466

Gaze point at (1001.38, 178.38) @ 03:08:54.632

Gaze point at (1005.61, 195.65) @ 03:08:54.798

Gaze point at (1017.75, 216.82) @ 03:08:55.043

Gaze point at (993.11, 135.42) @ 03:08:55.209

Gaze point at (983.15, 121.12) @ 03:08:55.375

Gaze point at (1003.02, 163.07) @ 03:08:55.542

Gaze point at (1000.51, 162.12) @ 03:08:55.708

Gaze point at (963.85, 167.66) @ 03:08:55.875

Gaze point at (1008.26, 144.56) @ 03:08:56.042

Gaze point at (986.38, 140.99) @ 03:08:56.331

Gaze point at (980.09, 128.65) @ 03:08:56.497

Gaze point at (971.04, 149.69) @ 03:08:56.664

Gaze point at (1017.20, 162.98) @ 03:08:56.831

Gaze point at (1046.61, 162.57) @ 03:08:56.998

Gaze point at (1055.49, 160.51) @ 03:08:57.164

Gaze point at (1054.38, 159.30) @ 03:08:57.331

Gaze point at (1045.49, 106.31) @ 03:08:57.497

Gaze point at (1065.61, 36.53) @ 03:08:57.664

Gaze point at (1069.94, 30.34) @ 03:08:57.830

Gaze point at (1076.11, 49.90) @ 03:08:58.063

Gaze point at (981.54, 496.18) @ 03:08:59.684

Gaze point at (780.55, 488.06) @ 03:08:59.852

Gaze point at (825.85, 556.45) @ 03:09:00.018

Gaze point at (823.27, 549.08) @ 03:09:00.184

Gaze point at (809.11, 550.37) @ 03:09:01.294

Gaze point at (810.12, 566.14) @ 03:09:01.458

Gaze point at (934.47, 178.66) @ 03:09:01.627

Gaze point at (983.17, 176.83) @ 03:09:01.794

Gaze point at (995.76, 174.26) @ 03:09:01.961

Gaze point at (875.45, 85.41) @ 03:09:02.127

Gaze point at (871.76, 61.07) @ 03:09:02.294

Gaze point at (876.08, 56.41) @ 03:09:02.461

Gaze point at (883.48, 56.07) @ 03:09:02.637

Gaze point at (410.96, 757.68) @ 03:09:05.580

Gaze point at (546.66, 607.58) @ 03:09:05.746

Gaze point at (514.77, 557.38) @ 03:09:05.911

Gaze point at (499.83, 564.76) @ 03:09:06.077

Gaze point at (500.78, 576.11) @ 03:09:06.246

Gaze point at (1341.17, 142.80) @ 03:09:06.467

Gaze point at (1323.51, 131.14) @ 03:09:06.632

Gaze point at (1320.10, 133.02) @ 03:09:06.799

Gaze point at (738.89, 531.79) @ 03:09:08.412

Gaze point at (534.53, 548.83) @ 03:09:08.578

Gaze point at (1468.39, 379.40) @ 03:09:08.744

Gaze point at (831.34, 129.84) @ 03:09:09.922

Gaze point at (964.34, 134.66) @ 03:09:10.089

Gaze point at (1287.10, 7.23) @ 03:09:10.255

Gaze point at (1357.12, -8.75) @ 03:09:10.422

Gaze point at (1339.40, -6.80) @ 03:09:10.592

Gaze point at (1345.74, -22.73) @ 03:09:10.755

Gaze point at (1340.35, -8.43) @ 03:09:10.921

Gaze point at (791.14, 474.62) @ 03:09:11.088

Gaze point at (696.31, 562.46) @ 03:09:11.255

Gaze point at (524.39, 522.53) @ 03:09:11.425

Gaze point at (1005.72, 278.76) @ 03:09:11.588

Gaze point at (1135.05, 184.72) @ 03:09:11.754

Gaze point at (677.43, 143.47) @ 03:09:11.921

Gaze point at (684.50, 148.75) @ 03:09:12.088

Gaze point at (1122.66, 127.71) @ 03:09:12.254

Gaze point at (1112.65, 125.42) @ 03:09:12.420

Gaze point at (1114.35, 123.95) @ 03:09:12.587

Gaze point at (1111.88, 127.94) @ 03:09:12.753

Gaze point at (1115.21, 121.10) @ 03:09:12.919

