Gaze point at (284.89, 199.52) @ 03:00:12.043

Gaze point at (291.26, 189.29) @ 03:00:12.189

Gaze point at (502.91, 154.73) @ 03:00:12.355

Gaze point at (491.26, 184.70) @ 03:00:12.522

Gaze point at (494.11, 193.01) @ 03:00:12.689

Gaze point at (492.57, 202.67) @ 03:00:12.856

Gaze point at (491.56, 207.92) @ 03:00:13.022

Gaze point at (496.22, 202.57) @ 03:00:13.188

Gaze point at (493.77, 203.27) @ 03:00:13.354

Gaze point at (589.89, 271.16) @ 03:00:13.521

Gaze point at (893.69, 153.28) @ 03:00:13.688

Gaze point at (1005.21, 97.23) @ 03:00:13.854

Gaze point at (982.35, 126.00) @ 03:00:14.021

Gaze point at (729.42, 111.47) @ 03:00:14.187

Gaze point at (804.42, 81.43) @ 03:00:14.354

Gaze point at (828.33, 48.15) @ 03:00:14.521

Gaze point at (865.10, 25.50) @ 03:00:14.687

Gaze point at (870.11, 18.60) @ 03:00:14.854

Gaze point at (866.59, 29.27) @ 03:00:15.020

Gaze point at (698.55, 201.03) @ 03:00:15.187

Gaze point at (632.38, 265.38) @ 03:00:15.353

Gaze point at (735.80, 269.69) @ 03:00:15.520

Gaze point at (1097.73, 282.14) @ 03:00:15.685

Gaze point at (1409.22, 113.19) @ 03:00:15.941

Gaze point at (1219.31, 205.08) @ 03:00:16.108

Gaze point at (1512.51, 455.75) @ 03:00:17.304

Gaze point at (1089.53, 326.96) @ 03:00:17.474

Gaze point at (1206.04, 199.89) @ 03:00:17.640

Gaze point at (1251.67, 140.31) @ 03:00:17.807

Gaze point at (1252.13, 108.97) @ 03:00:17.974

Gaze point at (1326.78, 136.79) @ 03:00:18.141

Gaze point at (1329.85, 90.70) @ 03:00:18.307

Gaze point at (1169.22, -39.55) @ 03:00:19.693

Gaze point at (1353.91, -42.16) @ 03:00:19.859

Gaze point at (1331.06, 53.84) @ 03:00:20.028

Gaze point at (1279.89, 161.64) @ 03:00:20.195

Gaze point at (1286.48, 152.55) @ 03:00:20.361

Gaze point at (1338.92, 140.05) @ 03:00:20.528

Gaze point at (1162.90, 166.73) @ 03:00:22.114

Gaze point at (1276.19, 90.49) @ 03:00:22.283

Gaze point at (1305.14, 79.00) @ 03:00:22.449

Gaze point at (1259.68, 73.78) @ 03:00:22.615

Gaze point at (1291.64, 68.34) @ 03:00:22.781

Gaze point at (1312.85, 46.15) @ 03:00:22.948

Gaze point at (1288.10, 82.87) @ 03:00:23.114

Gaze point at (1019.10, 279.36) @ 03:00:24.856

Gaze point at (1167.24, 128.71) @ 03:00:25.024

Gaze point at (1369.31, 104.49) @ 03:00:25.190

Gaze point at (1382.26, 123.54) @ 03:00:25.357

Gaze point at (1579.38, 265.33) @ 03:00:26.021

Gaze point at (1203.51, 113.70) @ 03:00:29.286

Gaze point at (1303.62, 128.41) @ 03:00:29.454

Gaze point at (1326.83, 154.61) @ 03:00:29.621

Gaze point at (1262.65, 166.88) @ 03:00:29.788

Gaze point at (1264.40, 170.37) @ 03:00:29.954

Gaze point at (1285.26, 153.33) @ 03:00:30.120

Gaze point at (1338.82, 139.01) @ 03:00:30.287

Gaze point at (1338.92, 152.98) @ 03:00:30.453

Gaze point at (1326.90, 167.09) @ 03:00:30.620

Gaze point at (1315.40, 170.85) @ 03:00:30.786

Gaze point at (1323.70, 153.93) @ 03:00:30.953

Gaze point at (1330.59, 138.46) @ 03:00:31.120

Gaze point at (1332.14, 134.45) @ 03:00:31.309

Gaze point at (1319.63, 134.09) @ 03:00:31.476

Gaze point at (1299.12, 90.58) @ 03:00:31.642

Gaze point at (1347.74, 76.43) @ 03:00:31.808

Gaze point at (1283.05, 72.82) @ 03:00:31.976

Gaze point at (1272.40, 77.29) @ 03:00:32.142

Gaze point at (1276.85, 111.10) @ 03:00:32.307

Gaze point at (1303.56, 50.25) @ 03:00:32.475

Gaze point at (1289.89, -6.21) @ 03:00:32.728

Gaze point at (1303.03, -20.98) @ 03:00:32.894

Gaze point at (1382.42, -16.53) @ 03:00:33.062

Gaze point at (1343.03, 39.19) @ 03:00:33.227

Gaze point at (1298.42, 83.98) @ 03:00:37.451

Gaze point at (1267.27, 77.30) @ 03:00:37.617

Gaze point at (1259.78, 96.39) @ 03:00:37.783

Gaze point at (1327.45, 215.98) @ 03:00:39.617

Gaze point at (1124.96, 213.49) @ 03:00:39.783

Gaze point at (1250.94, 152.89) @ 03:00:39.952

Gaze point at (1258.41, 139.28) @ 03:00:40.118

Gaze point at (1249.74, 141.20) @ 03:00:40.285

Gaze point at (1189.00, 183.95) @ 03:00:40.549

Gaze point at (1217.02, 184.61) @ 03:00:40.716

Gaze point at (1240.22, 188.93) @ 03:00:40.882

Gaze point at (1303.88, 183.45) @ 03:00:41.050

Gaze point at (1021.02, 180.77) @ 03:00:41.984

Gaze point at (1054.33, 153.26) @ 03:00:42.150

Gaze point at (1067.57, 151.00) @ 03:00:42.317

Gaze point at (1099.31, 247.77) @ 03:00:42.483

Gaze point at (336.50, 281.38) @ 03:00:42.650

Gaze point at (342.30, 294.77) @ 03:00:42.816

Gaze point at (685.32, 191.28) @ 03:00:42.983

Gaze point at (1413.31, -9.85) @ 03:00:43.150

Gaze point at (1365.91, -13.32) @ 03:00:43.317

Gaze point at (1364.10, -1.05) @ 03:00:43.483

Gaze point at (1115.11, 169.04) @ 03:00:43.649

Gaze point at (993.13, 264.34) @ 03:00:43.816

Gaze point at (529.21, 293.23) @ 03:00:43.983

Gaze point at (543.26, 307.89) @ 03:00:44.149

