Gaze point at (525.34, 336.11) @ 01:53:35.747

Gaze point at (531.73, 328.06) @ 01:53:35.896

Gaze point at (541.28, 318.06) @ 01:53:36.062

Gaze point at (545.28, 315.28) @ 01:53:36.229

Gaze point at (544.53, 326.80) @ 01:53:36.396

Gaze point at (547.58, 337.46) @ 01:53:36.563

Gaze point at (609.62, 358.56) @ 01:53:36.729

Gaze point at (997.11, 51.56) @ 01:53:36.895

Gaze point at (968.53, 38.72) @ 01:53:37.062

Gaze point at (837.62, 27.05) @ 01:53:37.228

Gaze point at (843.80, 21.27) @ 01:53:37.395

Gaze point at (653.85, 301.96) @ 01:53:37.563

Gaze point at (659.02, 299.75) @ 01:53:37.728

Gaze point at (1107.06, 295.96) @ 01:53:37.894

Gaze point at (1240.40, 9.26) @ 01:53:38.061

Gaze point at (1326.80, -14.23) @ 01:53:38.227

Gaze point at (1362.17, -20.42) @ 01:53:38.394

Gaze point at (1354.05, -17.26) @ 01:53:38.561

Gaze point at (1071.64, 81.45) @ 01:53:38.728

Gaze point at (858.54, 177.86) @ 01:53:38.895

Gaze point at (865.86, 172.81) @ 01:53:39.060

Gaze point at (863.10, 176.80) @ 01:53:39.226

Gaze point at (1085.74, 141.91) @ 01:53:39.393

Gaze point at (1078.66, 144.04) @ 01:53:39.561

Gaze point at (1076.27, 151.96) @ 01:53:39.727

Gaze point at (875.32, 158.90) @ 01:53:39.893

