Gaze point at (688.57, 212.35) @ 05:46:53.543

Gaze point at (673.31, 173.10) @ 05:46:53.682

Gaze point at (727.21, 159.64) @ 05:46:53.849

Gaze point at (748.72, 148.19) @ 05:46:54.016

Gaze point at (766.90, 29.22) @ 05:46:54.182

Gaze point at (766.21, 33.38) @ 05:46:54.349

Gaze point at (828.06, 24.97) @ 05:46:54.515

Gaze point at (826.90, 25.24) @ 05:46:54.682

Gaze point at (824.77, 28.67) @ 05:46:54.851

Gaze point at (661.98, 312.60) @ 05:46:55.015

Gaze point at (667.69, 305.34) @ 05:46:55.182

Gaze point at (655.82, 304.83) @ 05:46:55.348

Gaze point at (434.34, 320.72) @ 05:46:55.515

Gaze point at (439.08, 331.02) @ 05:46:55.682

Gaze point at (443.98, 335.65) @ 05:46:55.849

Gaze point at (382.88, 343.61) @ 05:46:56.126

Gaze point at (396.14, 294.00) @ 05:46:56.293

Gaze point at (284.42, 103.68) @ 05:46:56.460

Gaze point at (299.18, 106.58) @ 05:46:56.627

Gaze point at (345.12, 92.51) @ 05:46:56.793

Gaze point at (342.80, 96.88) @ 05:46:56.959

Gaze point at (258.43, 103.58) @ 05:46:57.126

Gaze point at (114.92, 104.96) @ 05:46:57.293

Gaze point at (93.32, 89.33) @ 05:46:57.460

Gaze point at (108.88, 102.27) @ 05:46:57.626

Gaze point at (119.33, 108.24) @ 05:46:57.793

Gaze point at (298.82, 90.77) @ 05:46:57.959

Gaze point at (366.50, 93.28) @ 05:46:58.126

Gaze point at (553.24, 778.49) @ 05:46:58.383

Gaze point at (408.79, 176.06) @ 05:46:58.549

Gaze point at (321.90, 278.20) @ 05:46:58.716

Gaze point at (273.74, 288.63) @ 05:46:58.883

Gaze point at (278.25, 292.37) @ 05:46:59.050

Gaze point at (275.57, 295.57) @ 05:46:59.216

Gaze point at (277.61, 295.96) @ 05:46:59.383

Gaze point at (369.42, 88.61) @ 05:46:59.549

Gaze point at (367.73, 93.87) @ 05:46:59.716

Gaze point at (386.20, 98.69) @ 05:46:59.882

