Gaze point at (618.11, 429.14) @ 03:40:55.409

Gaze point at (710.99, 343.29) @ 03:40:55.535

Gaze point at (478.79, 152.85) @ 03:40:55.704

Gaze point at (461.37, 149.48) @ 03:40:55.868

Gaze point at (481.34, 115.08) @ 03:40:56.034

Gaze point at (769.30, 87.92) @ 03:40:56.201

Gaze point at (1496.41, 46.53) @ 03:40:57.022

Gaze point at (788.45, 194.39) @ 03:40:57.189

Gaze point at (554.52, 83.58) @ 03:40:57.655

Gaze point at (736.45, 110.28) @ 03:40:57.932

Gaze point at (794.57, 17.51) @ 03:40:58.100

Gaze point at (793.28, 21.19) @ 03:40:58.265

Gaze point at (853.05, 44.53) @ 03:40:58.433

Gaze point at (633.54, 515.95) @ 03:40:58.600

Gaze point at (637.93, 508.98) @ 03:40:58.765

Gaze point at (799.92, 530.12) @ 03:40:58.932

Gaze point at (1028.89, 54.48) @ 03:40:59.203

Gaze point at (1033.39, 71.42) @ 03:40:59.366

Gaze point at (1025.74, 94.07) @ 03:40:59.533

Gaze point at (654.73, 546.66) @ 03:40:59.699

Gaze point at (799.12, 540.58) @ 03:40:59.866

Gaze point at (798.32, 554.14) @ 03:41:00.032

Gaze point at (792.57, 559.06) @ 03:41:00.198

Gaze point at (190.18, 573.09) @ 03:41:00.365

Gaze point at (68.50, 575.01) @ 03:41:00.531

Gaze point at (58.14, 478.54) @ 03:41:00.698

Gaze point at (57.20, 481.82) @ 03:41:00.864

Gaze point at (59.50, 483.99) @ 03:41:01.030

Gaze point at (20.68, 481.25) @ 03:41:01.197

Gaze point at (18.05, 479.87) @ 03:41:01.363

Gaze point at (20.00, 482.77) @ 03:41:01.530

Gaze point at (352.03, 498.42) @ 03:41:01.696

Gaze point at (356.94, 547.76) @ 03:41:01.863

Gaze point at (202.10, 739.16) @ 03:41:02.130

Gaze point at (214.61, 632.00) @ 03:41:02.296

Gaze point at (165.97, 615.00) @ 03:41:02.463

Gaze point at (162.59, 619.38) @ 03:41:02.630

Gaze point at (164.16, 632.18) @ 03:41:02.796

Gaze point at (165.16, 638.28) @ 03:41:02.962

Gaze point at (129.47, 646.05) @ 03:41:03.129

Gaze point at (199.61, 634.88) @ 03:41:03.295

Gaze point at (266.38, 624.63) @ 03:41:03.463

Gaze point at (235.16, 624.22) @ 03:41:03.629

Gaze point at (90.69, 623.81) @ 03:41:03.795

Gaze point at (74.85, 626.44) @ 03:41:03.962

Gaze point at (104.83, 634.68) @ 03:41:04.128

Gaze point at (218.32, 641.48) @ 03:41:04.294

Gaze point at (308.99, 659.49) @ 03:41:04.461

Gaze point at (323.62, 661.55) @ 03:41:04.628

Gaze point at (360.81, 594.21) @ 03:41:04.794

Gaze point at (289.90, 586.97) @ 03:41:04.961

Gaze point at (241.96, 589.53) @ 03:41:05.127

Gaze point at (212.49, 626.00) @ 03:41:05.293

Gaze point at (209.44, 603.15) @ 03:41:05.459

Gaze point at (268.03, 522.82) @ 03:41:05.627

Gaze point at (289.53, 539.93) @ 03:41:05.792

Gaze point at (226.08, 547.13) @ 03:41:05.959

Gaze point at (224.52, 542.46) @ 03:41:06.126

Gaze point at (313.44, 534.81) @ 03:41:06.292

Gaze point at (271.97, 493.77) @ 03:41:06.458

Gaze point at (228.89, 582.74) @ 03:41:06.624

Gaze point at (198.01, 562.27) @ 03:41:06.791

Gaze point at (210.63, 577.43) @ 03:41:06.970

Gaze point at (97.45, 568.16) @ 03:41:07.212

Gaze point at (63.81, 566.71) @ 03:41:07.380

Gaze point at (84.08, 580.58) @ 03:41:07.547

Gaze point at (86.18, 592.98) @ 03:41:07.713

Gaze point at (296.39, 615.28) @ 03:41:07.881

Gaze point at (415.56, 708.15) @ 03:41:08.212

Gaze point at (452.30, 695.23) @ 03:41:08.378

Gaze point at (435.03, 701.93) @ 03:41:08.545

Gaze point at (464.83, 716.53) @ 03:41:08.712

Gaze point at (444.50, 700.74) @ 03:41:08.878

Gaze point at (384.66, 698.94) @ 03:41:09.045

Gaze point at (370.85, 701.38) @ 03:41:09.212

Gaze point at (447.56, 674.07) @ 03:41:09.379

