Gaze point at (496.45, 247.93) @ 01:23:26.156

Gaze point at (483.65, 274.90) @ 01:23:26.284

Gaze point at (328.90, 194.26) @ 01:23:26.452

Gaze point at (329.04, 190.01) @ 01:23:26.618

Gaze point at (524.20, 139.65) @ 01:23:26.784

Gaze point at (691.87, 42.16) @ 01:23:26.950

Gaze point at (688.57, 47.58) @ 01:23:27.117

Gaze point at (729.91, 31.24) @ 01:23:27.284

Gaze point at (729.09, 40.18) @ 01:23:27.451

Gaze point at (554.70, 345.55) @ 01:23:27.717

Gaze point at (374.56, 346.34) @ 01:23:27.883

Gaze point at (297.21, 342.86) @ 01:23:28.050

Gaze point at (303.58, 353.97) @ 01:23:28.216

Gaze point at (253.29, 355.47) @ 01:23:28.383

Gaze point at (1093.16, 338.57) @ 01:23:28.550

Gaze point at (562.35, 332.60) @ 01:23:28.716

Gaze point at (319.51, 340.75) @ 01:23:28.883

Gaze point at (170.23, 232.05) @ 01:23:29.050

Gaze point at (105.86, 172.26) @ 01:23:29.216

Gaze point at (359.36, 91.88) @ 01:23:29.382

Gaze point at (128.33, 111.44) @ 01:23:29.550

Gaze point at (111.71, 107.81) @ 01:23:29.716

Gaze point at (106.00, 158.27) @ 01:23:29.883

Gaze point at (104.54, 155.74) @ 01:23:30.049

Gaze point at (106.07, 163.56) @ 01:23:30.216

Gaze point at (87.60, 150.22) @ 01:23:30.382

Gaze point at (29.30, 91.80) @ 01:23:30.548

Gaze point at (-24.76, 81.19) @ 01:23:30.715

Gaze point at (744.02, 208.01) @ 01:23:30.881

Gaze point at (995.96, 275.63) @ 01:23:31.049

Gaze point at (1055.05, 294.54) @ 01:23:31.215

Gaze point at (1056.12, 301.55) @ 01:23:31.382

Gaze point at (755.53, 136.05) @ 01:23:31.550

Gaze point at (762.69, 138.24) @ 01:23:31.714

Gaze point at (743.31, 140.65) @ 01:23:31.881

Gaze point at (586.38, 71.97) @ 01:23:32.048

Gaze point at (579.67, 73.82) @ 01:23:32.214

Gaze point at (579.17, 70.28) @ 01:23:32.381

Gaze point at (580.79, 62.23) @ 01:23:32.547

Gaze point at (1227.98, 127.10) @ 01:23:32.781

Gaze point at (1231.24, 22.51) @ 01:23:32.947

Gaze point at (1312.52, 31.60) @ 01:23:33.113

Gaze point at (1287.74, 53.63) @ 01:23:33.280

Gaze point at (1036.86, 117.25) @ 01:23:33.447

Gaze point at (921.48, 158.52) @ 01:23:33.613

Gaze point at (922.67, 165.17) @ 01:23:33.778

Gaze point at (971.29, 171.20) @ 01:23:33.945

Gaze point at (972.49, 153.47) @ 01:23:34.111

Gaze point at (982.43, 120.50) @ 01:23:34.278

Gaze point at (989.03, 104.84) @ 01:23:34.444

Gaze point at (640.39, 108.03) @ 01:23:54.605

Gaze point at (695.70, 50.77) @ 01:23:54.753

Gaze point at (703.99, 56.35) @ 01:23:54.919

Gaze point at (809.98, 42.85) @ 01:23:55.086

Gaze point at (772.21, 109.76) @ 01:23:55.252

Gaze point at (590.28, 370.58) @ 01:23:55.419

Gaze point at (552.44, 364.29) @ 01:23:55.586

Gaze point at (351.86, 87.84) @ 01:23:55.753

Gaze point at (341.68, 107.57) @ 01:23:55.918

Gaze point at (356.79, 370.29) @ 01:23:56.141

Gaze point at (287.63, 346.82) @ 01:23:56.308

Gaze point at (286.98, 352.57) @ 01:23:56.474

Gaze point at (1071.52, 352.84) @ 01:23:56.641

Gaze point at (1038.72, 367.32) @ 01:23:56.807

Gaze point at (414.11, 380.53) @ 01:23:56.974

Gaze point at (256.39, 352.79) @ 01:23:57.140

Gaze point at (258.70, 352.69) @ 01:23:57.307

Gaze point at (258.93, 352.24) @ 01:23:57.473

Gaze point at (275.46, 379.33) @ 01:23:57.640

Gaze point at (269.61, 377.59) @ 01:23:57.807

Gaze point at (266.23, 376.06) @ 01:23:57.973

Gaze point at (262.35, 371.01) @ 01:23:58.140

Gaze point at (248.17, 351.47) @ 01:23:58.306

Gaze point at (254.20, 353.13) @ 01:23:58.473

Gaze point at (500.06, 477.35) @ 01:23:58.639

Gaze point at (513.13, 480.31) @ 01:23:58.805

Gaze point at (542.38, 481.86) @ 01:23:58.972

Gaze point at (552.65, 482.08) @ 01:23:59.139

Gaze point at (719.50, 556.49) @ 01:23:59.305

Gaze point at (723.54, 564.09) @ 01:23:59.472

Gaze point at (766.77, 579.44) @ 01:23:59.638

Gaze point at (816.46, 594.24) @ 01:23:59.805

Gaze point at (802.77, 604.40) @ 01:23:59.972

Gaze point at (126.14, 163.69) @ 01:24:00.138

Gaze point at (138.63, 125.98) @ 01:24:00.305

Gaze point at (132.67, 123.83) @ 01:24:00.472

Gaze point at (262.94, 372.59) @ 01:24:00.638

Gaze point at (267.17, 374.71) @ 01:24:00.804

Gaze point at (251.33, 385.37) @ 01:24:00.971

Gaze point at (249.74, 382.00) @ 01:24:01.137

Gaze point at (249.11, 385.55) @ 01:24:01.304

Gaze point at (289.60, 392.09) @ 01:24:01.471

Gaze point at (304.23, 408.52) @ 01:24:01.637

Gaze point at (327.74, 602.53) @ 01:24:01.804

Gaze point at (329.69, 597.92) @ 01:24:01.971

Gaze point at (145.04, 173.09) @ 01:24:02.138

Gaze point at (141.54, 124.39) @ 01:24:02.306

Gaze point at (139.41, 124.86) @ 01:24:02.471

Gaze point at (266.28, 377.19) @ 01:24:02.637

Gaze point at (238.19, 373.66) @ 01:24:02.803

Gaze point at (227.15, 368.83) @ 01:24:02.970

Gaze point at (227.66, 368.85) @ 01:24:03.141

Gaze point at (259.63, 375.80) @ 01:24:03.302

Gaze point at (724.11, 500.95) @ 01:24:03.469

Gaze point at (812.59, 585.17) @ 01:24:03.635

Gaze point at (360.95, 321.81) @ 01:24:03.803

Gaze point at (156.18, 128.30) @ 01:24:03.969

Gaze point at (138.59, 123.60) @ 01:24:04.136

Gaze point at (278.74, 354.53) @ 01:24:04.302

Gaze point at (273.40, 355.96) @ 01:24:04.468

Gaze point at (277.26, 360.07) @ 01:24:04.634

Gaze point at (280.50, 357.35) @ 01:24:04.802

Gaze point at (232.89, 367.56) @ 01:24:04.967

Gaze point at (234.19, 362.44) @ 01:24:05.135

Gaze point at (225.85, 382.81) @ 01:24:05.301

Gaze point at (218.90, 469.54) @ 01:24:05.467

Gaze point at (218.50, 594.11) @ 01:24:05.635

Gaze point at (220.88, 606.53) @ 01:24:05.801

Gaze point at (293.48, 347.22) @ 01:24:05.968

Gaze point at (295.98, 303.84) @ 01:24:06.134

Gaze point at (294.29, 306.78) @ 01:24:06.300

Gaze point at (291.50, 374.57) @ 01:24:06.467

Gaze point at (291.19, 386.58) @ 01:24:06.634

Gaze point at (569.93, 327.44) @ 01:24:06.800

Gaze point at (509.82, 308.54) @ 01:24:06.966

Gaze point at (515.33, 318.12) @ 01:24:07.133

Gaze point at (283.53, 365.89) @ 01:24:07.300

Gaze point at (282.83, 370.00) @ 01:24:07.466

Gaze point at (269.23, 403.45) @ 01:24:07.632

Gaze point at (266.11, 416.40) @ 01:24:07.798

Gaze point at (262.40, 429.12) @ 01:24:08.121

Gaze point at (261.99, 400.45) @ 01:24:08.288

Gaze point at (259.10, 404.77) @ 01:24:08.454

Gaze point at (981.78, 364.71) @ 01:24:08.621

