Gaze point at (751.58, 156.03) @ 02:19:05.739

Gaze point at (756.12, 159.06) @ 02:19:05.856

Gaze point at (826.42, 72.03) @ 02:19:06.023

Gaze point at (863.42, 60.17) @ 02:19:06.189

Gaze point at (857.87, 74.14) @ 02:19:06.357

Gaze point at (854.62, 81.28) @ 02:19:06.523

Gaze point at (854.75, 82.98) @ 02:19:06.689

Gaze point at (855.22, 82.63) @ 02:19:06.856

Gaze point at (583.34, 194.06) @ 02:19:07.022

Gaze point at (569.61, 187.63) @ 02:19:07.188

Gaze point at (881.92, 52.14) @ 02:19:07.356

Gaze point at (712.90, 119.72) @ 02:19:07.522

Gaze point at (616.74, 141.03) @ 02:19:07.689

Gaze point at (329.86, 126.24) @ 02:19:07.855

Gaze point at (342.69, 135.42) @ 02:19:08.021

Gaze point at (381.77, 128.90) @ 02:19:08.188

Gaze point at (384.35, 130.98) @ 02:19:08.354

Gaze point at (384.43, 132.51) @ 02:19:08.521

Gaze point at (386.97, 134.04) @ 02:19:08.688

Gaze point at (387.08, 135.61) @ 02:19:08.854

Gaze point at (239.43, 137.00) @ 02:19:09.021

Gaze point at (164.43, 256.11) @ 02:19:09.254

Gaze point at (161.26, 133.18) @ 02:19:09.421

Gaze point at (131.64, 104.69) @ 02:19:09.587

Gaze point at (128.02, 113.80) @ 02:19:09.752

Gaze point at (686.54, 72.98) @ 02:19:10.008

Gaze point at (681.49, 100.24) @ 02:19:10.175

Gaze point at (420.00, 110.12) @ 02:19:10.344

Gaze point at (436.41, 141.27) @ 02:19:10.508

Gaze point at (1549.31, 4.36) @ 02:19:10.764

Gaze point at (613.20, 243.60) @ 02:19:11.057

Gaze point at (355.90, 129.14) @ 02:19:11.223

Gaze point at (368.07, 97.80) @ 02:19:11.389

Gaze point at (360.52, 79.78) @ 02:19:11.557

Gaze point at (365.95, 154.38) @ 02:19:11.811

Gaze point at (1122.82, 195.20) @ 02:19:11.977

Gaze point at (666.25, -89.68) @ 02:19:12.144

Gaze point at (1506.25, 279.72) @ 02:19:12.403

Gaze point at (1145.80, 172.17) @ 02:19:12.568

Gaze point at (1147.77, 254.12) @ 02:19:12.734

Gaze point at (1111.63, 292.78) @ 02:19:12.900

Gaze point at (306.91, 303.96) @ 02:19:13.155

Gaze point at (314.81, 282.35) @ 02:19:13.321

Gaze point at (315.86, 291.03) @ 02:19:13.488

Gaze point at (485.45, 357.84) @ 02:19:13.655

Gaze point at (768.10, 364.29) @ 02:19:13.821

Gaze point at (1023.42, 310.68) @ 02:19:13.988

Gaze point at (1019.11, 315.77) @ 02:19:14.155

Gaze point at (718.15, 573.03) @ 02:19:14.321

Gaze point at (688.67, 532.85) @ 02:19:14.487

Gaze point at (688.86, 533.27) @ 02:19:14.654

Gaze point at (689.89, 534.72) @ 02:19:14.820

Gaze point at (693.37, 539.26) @ 02:19:14.987

Gaze point at (695.54, 541.06) @ 02:19:15.153

Gaze point at (692.91, 542.41) @ 02:19:15.320

Gaze point at (668.33, 600.30) @ 02:19:15.566

Gaze point at (697.85, 532.89) @ 02:19:15.733

Gaze point at (696.23, 527.35) @ 02:19:15.900

Gaze point at (691.63, 533.50) @ 02:19:16.066

Gaze point at (693.41, 533.77) @ 02:19:16.232

Gaze point at (692.19, 530.46) @ 02:19:16.400

Gaze point at (689.48, 530.21) @ 02:19:16.566

