Gaze point at (378.68, 204.79) @ 04:54:00.199

Gaze point at (602.81, 150.82) @ 04:54:00.300

Gaze point at (632.07, 144.05) @ 04:54:00.466

Gaze point at (709.54, 127.57) @ 04:54:00.633

Gaze point at (711.61, 138.35) @ 04:54:00.800

Gaze point at (743.18, 30.88) @ 04:54:00.966

Gaze point at (752.61, 33.96) @ 04:54:01.133

Gaze point at (640.53, 119.37) @ 04:54:01.299

Gaze point at (634.19, 125.21) @ 04:54:01.466

Gaze point at (629.73, 142.29) @ 04:54:01.632

Gaze point at (622.14, 142.84) @ 04:54:01.798

Gaze point at (664.89, 109.49) @ 04:54:01.965

Gaze point at (787.66, 79.38) @ 04:54:02.131

Gaze point at (794.13, 106.08) @ 04:54:02.298

Gaze point at (589.05, 142.59) @ 04:54:02.464

Gaze point at (594.91, 152.25) @ 04:54:02.630

Gaze point at (303.63, 110.64) @ 04:54:02.797

Gaze point at (344.79, 69.52) @ 04:54:03.020

Gaze point at (341.00, 39.46) @ 04:54:03.185

Gaze point at (340.83, 21.87) @ 04:54:03.351

Gaze point at (323.14, 23.75) @ 04:54:03.519

Gaze point at (346.63, 33.66) @ 04:54:03.685

Gaze point at (366.24, 43.36) @ 04:54:03.851

Gaze point at (351.60, 1.94) @ 04:54:04.018

Gaze point at (334.32, -4.67) @ 04:54:04.184

Gaze point at (353.86, -17.71) @ 04:54:04.352

Gaze point at (358.43, -48.46) @ 04:54:04.518

Gaze point at (356.26, -63.86) @ 04:54:04.684

Gaze point at (345.43, -36.27) @ 04:54:04.851

Gaze point at (352.79, -53.80) @ 04:54:05.017

Gaze point at (350.96, -64.33) @ 04:54:05.183

Gaze point at (288.13, 84.41) @ 04:54:05.428

Gaze point at (339.19, -13.63) @ 04:54:05.594

Gaze point at (341.16, 13.63) @ 04:54:05.761

Gaze point at (345.67, 40.26) @ 04:54:05.928

Gaze point at (341.56, 53.65) @ 04:54:06.094

Gaze point at (341.36, 64.94) @ 04:54:06.260

Gaze point at (344.65, 71.87) @ 04:54:06.427

Gaze point at (943.51, -8.90) @ 04:54:06.593

Gaze point at (1272.11, 16.54) @ 04:54:06.761

Gaze point at (1330.88, 14.38) @ 04:54:06.927

Gaze point at (1317.39, 8.87) @ 04:54:07.093

Gaze point at (1323.78, 1.67) @ 04:54:07.259

Gaze point at (271.98, 222.21) @ 04:54:07.515

Gaze point at (369.23, 87.50) @ 04:54:07.681

Gaze point at (342.18, 81.44) @ 04:54:07.848

Gaze point at (580.60, 158.79) @ 04:54:08.014

Gaze point at (601.05, 175.20) @ 04:54:08.180

Gaze point at (934.18, 133.78) @ 04:54:08.347

Gaze point at (1010.21, 101.85) @ 04:54:08.513

Gaze point at (1011.97, 88.71) @ 04:54:08.681

Gaze point at (1070.19, 83.65) @ 04:54:08.846

Gaze point at (1074.18, 101.89) @ 04:54:09.013

Gaze point at (1060.85, 122.28) @ 04:54:09.179

Gaze point at (1063.68, 115.93) @ 04:54:09.346

Gaze point at (1062.98, 116.19) @ 04:54:09.513

Gaze point at (1067.10, 117.18) @ 04:54:09.679

Gaze point at (409.02, 375.18) @ 04:54:09.845

