Gaze point at (539.68, 168.71) @ 01:50:33.561

Gaze point at (532.93, 188.17) @ 01:50:33.701

Gaze point at (400.40, 259.01) @ 01:50:33.868

Gaze point at (399.05, 250.28) @ 01:50:34.036

Gaze point at (405.39, 252.36) @ 01:50:34.201

Gaze point at (576.74, 169.18) @ 01:50:34.367

Gaze point at (690.00, 166.17) @ 01:50:34.535

Gaze point at (716.55, 149.64) @ 01:50:34.701

Gaze point at (597.57, 299.84) @ 01:50:34.868

Gaze point at (601.78, 304.30) @ 01:50:35.034

Gaze point at (588.94, 306.18) @ 01:50:35.200

Gaze point at (637.56, 326.42) @ 01:50:35.367

Gaze point at (646.84, 328.59) @ 01:50:35.533

Gaze point at (649.72, 331.04) @ 01:50:35.700

Gaze point at (788.53, 275.20) @ 01:50:35.866

Gaze point at (928.47, 185.95) @ 01:50:36.034

Gaze point at (1067.95, 40.16) @ 01:50:36.200

Gaze point at (1065.24, 55.34) @ 01:50:36.367

Gaze point at (1062.10, 60.00) @ 01:50:36.533

Gaze point at (555.44, 217.29) @ 01:50:36.699

Gaze point at (428.82, 253.67) @ 01:50:36.866

Gaze point at (1133.52, 166.10) @ 01:50:37.033

Gaze point at (1107.60, 186.00) @ 01:50:37.200

Gaze point at (1103.15, 193.00) @ 01:50:37.366

Gaze point at (994.95, 204.28) @ 01:50:37.532

Gaze point at (551.34, 233.22) @ 01:50:48.211

Gaze point at (549.16, 230.05) @ 01:50:48.347

Gaze point at (551.64, 228.02) @ 01:50:48.514

