Gaze point at (312.20, 124.68) @ 04:24:45.028

Gaze point at (311.80, 121.29) @ 04:24:45.090

Gaze point at (315.22, 122.12) @ 04:24:45.256

Gaze point at (438.83, 156.94) @ 04:24:45.423

Gaze point at (437.45, 169.73) @ 04:24:45.590

Gaze point at (438.27, 168.03) @ 04:24:45.757

Gaze point at (596.54, 214.86) @ 04:24:45.923

Gaze point at (656.78, 247.75) @ 04:24:46.090

Gaze point at (846.50, 203.68) @ 04:24:46.256

Gaze point at (819.14, 251.92) @ 04:24:46.423

Gaze point at (830.16, 241.40) @ 04:24:46.589

Gaze point at (541.57, 132.84) @ 04:24:46.756

Gaze point at (492.46, 84.75) @ 04:24:46.923

Gaze point at (659.60, 61.76) @ 04:24:47.089

Gaze point at (703.27, 3.54) @ 04:24:47.256

Gaze point at (703.92, -44.46) @ 04:24:47.423

Gaze point at (740.95, -69.55) @ 04:24:47.589

Gaze point at (737.62, -75.46) @ 04:24:47.755

Gaze point at (740.21, -56.14) @ 04:24:47.923

Gaze point at (1009.39, -73.19) @ 04:24:48.088

Gaze point at (673.02, 169.76) @ 04:24:48.257

Gaze point at (815.94, 166.26) @ 04:24:48.421

Gaze point at (1005.36, 102.91) @ 04:24:48.587

Gaze point at (965.13, 160.56) @ 04:24:48.755

Gaze point at (969.97, 135.82) @ 04:24:48.921

Gaze point at (978.23, 99.63) @ 04:24:49.087

Gaze point at (972.76, 114.92) @ 04:24:49.253

Gaze point at (962.57, 181.58) @ 04:24:49.420

Gaze point at (938.53, 207.98) @ 04:24:49.586

Gaze point at (981.92, 209.00) @ 04:24:49.753

Gaze point at (911.89, 307.52) @ 04:24:49.942

Gaze point at (769.66, 342.62) @ 04:24:50.163

Gaze point at (927.97, 249.72) @ 04:24:50.331

Gaze point at (592.19, 362.64) @ 04:24:50.497

Gaze point at (593.94, 417.58) @ 04:24:50.662

Gaze point at (487.82, 83.89) @ 04:24:51.098

Gaze point at (664.13, 518.77) @ 04:24:51.265

Gaze point at (676.08, 499.80) @ 04:24:51.432

Gaze point at (305.45, 248.48) @ 04:24:51.598

Gaze point at (1013.90, 516.43) @ 04:24:51.765

Gaze point at (959.32, 501.60) @ 04:24:51.931

Gaze point at (755.14, 500.53) @ 04:24:52.098

Gaze point at (740.78, 496.91) @ 04:24:52.264

Gaze point at (730.37, 503.95) @ 04:24:52.431

Gaze point at (721.36, 522.39) @ 04:24:52.597

Gaze point at (730.88, 534.72) @ 04:24:52.764

Gaze point at (1022.12, 539.11) @ 04:24:52.931

Gaze point at (919.82, 467.97) @ 04:24:53.097

Gaze point at (918.88, 471.04) @ 04:24:53.263

Gaze point at (660.43, 502.42) @ 04:24:53.430

Gaze point at (644.17, 508.36) @ 04:24:53.596

Gaze point at (637.83, 526.33) @ 04:24:53.762

Gaze point at (674.92, 570.32) @ 04:24:53.929

Gaze point at (700.14, 594.43) @ 04:24:54.095

