Gaze point at (138.05, 51.62) @ 04:06:03.464

Gaze point at (212.09, 38.73) @ 04:06:03.506

Gaze point at (314.29, 77.42) @ 04:06:03.674

Gaze point at (388.65, 95.03) @ 04:06:03.840

Gaze point at (396.07, 112.98) @ 04:06:04.007

Gaze point at (157.41, 200.87) @ 04:06:04.173

Gaze point at (638.67, 196.41) @ 04:06:04.406

Gaze point at (622.97, 172.42) @ 04:06:04.572

Gaze point at (775.57, 93.15) @ 04:06:04.741

Gaze point at (799.09, 76.21) @ 04:06:04.916

Gaze point at (812.65, 11.17) @ 04:06:05.074

Gaze point at (812.29, 25.84) @ 04:06:05.241

Gaze point at (811.49, 36.67) @ 04:06:05.407

Gaze point at (850.10, 29.93) @ 04:06:05.575

Gaze point at (841.00, 25.50) @ 04:06:05.741

Gaze point at (976.75, 169.95) @ 04:06:05.972

Gaze point at (815.89, 15.94) @ 04:06:06.140

Gaze point at (828.08, 8.44) @ 04:06:06.307

Gaze point at (827.93, 14.20) @ 04:06:06.473

Gaze point at (589.14, 253.36) @ 04:06:06.640

Gaze point at (995.26, 130.44) @ 04:06:06.806

Gaze point at (991.76, 130.71) @ 04:06:06.974

Gaze point at (971.35, 201.86) @ 04:06:07.140

Gaze point at (779.67, 35.70) @ 04:06:07.307

Gaze point at (793.45, 54.71) @ 04:06:07.480

Gaze point at (910.25, 262.75) @ 04:06:07.640

Gaze point at (817.02, 527.31) @ 04:06:07.806

Gaze point at (796.57, 564.22) @ 04:06:07.975

Gaze point at (802.24, 548.24) @ 04:06:08.141

Gaze point at (1046.46, 247.55) @ 04:06:09.407

Gaze point at (493.83, 277.93) @ 04:06:09.573

Gaze point at (343.55, 297.71) @ 04:06:09.740

Gaze point at (351.92, 308.83) @ 04:06:09.906

Gaze point at (351.57, 319.67) @ 04:06:10.073

Gaze point at (345.89, 316.30) @ 04:06:10.240

Gaze point at (536.19, -131.50) @ 04:06:14.539

Gaze point at (737.11, 257.65) @ 04:06:19.993

Gaze point at (655.05, 315.75) @ 04:06:20.158

Gaze point at (654.83, 306.19) @ 04:06:20.326

Gaze point at (754.00, 267.86) @ 04:06:22.948

Gaze point at (755.34, 281.80) @ 04:06:23.114

Gaze point at (742.96, 764.23) @ 04:06:23.283

Gaze point at (713.94, 718.95) @ 04:06:23.447

Gaze point at (635.54, 729.03) @ 04:06:23.620

Gaze point at (583.37, 722.58) @ 04:06:23.781

Gaze point at (584.50, 729.87) @ 04:06:23.948

Gaze point at (584.84, 736.03) @ 04:06:24.114

Gaze point at (579.99, 739.53) @ 04:06:24.282

Gaze point at (580.87, 739.61) @ 04:06:24.448

Gaze point at (625.54, 730.27) @ 04:06:24.614

Gaze point at (746.68, 708.06) @ 04:06:24.781

Gaze point at (643.61, 744.23) @ 04:06:24.948

Gaze point at (646.34, 751.19) @ 04:06:25.114

Gaze point at (695.53, 747.52) @ 04:06:25.281

Gaze point at (634.03, 709.97) @ 04:06:25.454

Gaze point at (608.45, 698.36) @ 04:06:25.613

Gaze point at (612.58, 711.36) @ 04:06:25.782

Gaze point at (621.65, 751.52) @ 04:06:25.947

Gaze point at (632.48, 763.20) @ 04:06:26.113

Gaze point at (564.32, 744.99) @ 04:06:26.281

Gaze point at (454.99, 885.77) @ 04:06:27.536

Gaze point at (666.30, 604.00) @ 04:06:27.699

Gaze point at (681.55, 578.84) @ 04:06:27.866

Gaze point at (687.79, 419.01) @ 04:06:28.033

Gaze point at (714.37, 233.10) @ 04:06:28.200

Gaze point at (862.68, 299.06) @ 04:06:28.367

Gaze point at (1132.47, 281.63) @ 04:06:28.534

Gaze point at (1119.66, 288.49) @ 04:06:28.702

Gaze point at (542.55, -0.72) @ 04:06:28.988

Gaze point at (1183.27, 6.82) @ 04:06:30.853

Gaze point at (1117.36, 13.30) @ 04:06:31.019

Gaze point at (1353.32, -30.93) @ 04:06:31.186

Gaze point at (1320.98, -7.19) @ 04:06:31.353

Gaze point at (1328.75, -25.27) @ 04:06:31.519

Gaze point at (1251.71, 135.11) @ 04:06:31.686

Gaze point at (1296.26, 124.35) @ 04:06:31.852

Gaze point at (1260.09, 120.40) @ 04:06:32.020

Gaze point at (1281.30, 112.89) @ 04:06:32.186

Gaze point at (1289.47, 105.48) @ 04:06:32.352

Gaze point at (1134.29, -0.89) @ 04:06:32.520

Gaze point at (1351.17, -20.97) @ 04:06:32.687

Gaze point at (1324.13, 27.85) @ 04:06:32.854

Gaze point at (1352.03, 34.50) @ 04:06:33.019

Gaze point at (1352.30, 41.59) @ 04:06:33.207

Gaze point at (1346.58, 44.18) @ 04:06:33.375

Gaze point at (919.14, 22.22) @ 04:06:33.541

Gaze point at (573.34, 58.03) @ 04:06:33.709

Gaze point at (1325.05, 64.71) @ 04:06:34.021

Gaze point at (1284.47, -11.44) @ 04:06:34.188

Gaze point at (1339.29, -30.80) @ 04:06:34.355

Gaze point at (1341.14, -69.59) @ 04:06:34.524

Gaze point at (958.08, 157.07) @ 04:06:34.988

Gaze point at (943.21, 71.15) @ 04:06:35.155

Gaze point at (1310.62, -66.29) @ 04:06:35.423

Gaze point at (1439.58, -37.54) @ 04:06:35.591

Gaze point at (1428.83, -37.88) @ 04:06:35.756

Gaze point at (296.90, 1178.45) @ 04:06:39.294

Gaze point at (1136.09, 214.51) @ 04:06:42.411

Gaze point at (1175.17, 157.22) @ 04:06:42.577

Gaze point at (630.16, 170.06) @ 04:06:42.743

Gaze point at (880.21, 72.12) @ 04:06:42.909

Gaze point at (1045.76, 13.56) @ 04:06:43.077

Gaze point at (1079.05, 1.40) @ 04:06:43.243

Gaze point at (1074.61, 9.97) @ 04:06:43.410

