Gaze point at (545.53, 190.32) @ 04:53:26.897

Gaze point at (539.22, 191.78) @ 04:53:27.009

Gaze point at (124.86, 99.98) @ 04:53:27.175

Gaze point at (500.48, 100.72) @ 04:53:27.342

Gaze point at (982.51, 104.98) @ 04:53:27.509

Gaze point at (1008.16, 100.00) @ 04:53:27.675

Gaze point at (990.46, 78.63) @ 04:53:27.841

Gaze point at (991.60, 75.01) @ 04:53:28.008

Gaze point at (987.10, 82.37) @ 04:53:28.174

Gaze point at (978.98, 89.95) @ 04:53:28.340

Gaze point at (450.20, 106.86) @ 04:53:28.507

Gaze point at (498.01, 102.65) @ 04:53:28.674

Gaze point at (500.04, 105.11) @ 04:53:28.840

Gaze point at (433.77, 93.38) @ 04:53:29.007

Gaze point at (744.84, 21.50) @ 04:53:29.175

Gaze point at (463.07, 103.02) @ 04:53:29.339

Gaze point at (470.74, 108.24) @ 04:53:29.506

Gaze point at (476.30, 115.02) @ 04:53:29.673

Gaze point at (437.59, 120.39) @ 04:53:29.839

Gaze point at (416.82, 126.81) @ 04:53:30.006

Gaze point at (434.91, 164.06) @ 04:53:30.249

Gaze point at (454.36, 124.41) @ 04:53:30.416

Gaze point at (401.57, 120.78) @ 04:53:30.582

Gaze point at (406.26, 118.95) @ 04:53:30.749

Gaze point at (375.57, 125.16) @ 04:53:30.915

Gaze point at (374.51, 125.27) @ 04:53:31.082

Gaze point at (409.37, 114.48) @ 04:53:31.248

Gaze point at (408.07, 110.64) @ 04:53:31.415

Gaze point at (433.17, 107.33) @ 04:53:31.581

Gaze point at (1008.29, 14.08) @ 04:53:31.748

Gaze point at (1046.55, 15.57) @ 04:53:31.914

Gaze point at (564.28, 119.35) @ 04:53:32.081

Gaze point at (472.41, 139.20) @ 04:53:32.247

Gaze point at (452.49, 116.91) @ 04:53:32.414

Gaze point at (443.09, 103.77) @ 04:53:32.580

Gaze point at (387.95, 113.20) @ 04:53:32.747

Gaze point at (387.08, 120.88) @ 04:53:32.913

Gaze point at (390.54, 132.22) @ 04:53:33.080

Gaze point at (589.94, 96.71) @ 04:53:33.246

Gaze point at (805.86, 57.74) @ 04:53:33.413

Gaze point at (662.86, 64.46) @ 04:53:33.579

Gaze point at (1061.63, 6.01) @ 04:53:33.746

Gaze point at (1043.29, 14.97) @ 04:53:33.912

Gaze point at (1040.88, 11.67) @ 04:53:34.078

Gaze point at (967.57, 31.58) @ 04:53:34.245

Gaze point at (849.69, 52.32) @ 04:53:34.411

Gaze point at (968.84, 45.65) @ 04:53:34.577

Gaze point at (963.81, 40.96) @ 04:53:34.744

Gaze point at (950.90, 52.37) @ 04:53:34.911

Gaze point at (798.63, 63.21) @ 04:53:47.277

Gaze point at (841.06, 79.39) @ 04:53:47.413

Gaze point at (942.75, 70.67) @ 04:53:47.579

Gaze point at (1052.96, 79.17) @ 04:53:47.746

Gaze point at (1058.00, 90.84) @ 04:53:47.912

Gaze point at (997.67, 44.39) @ 04:53:48.080

Gaze point at (936.91, -4.84) @ 04:53:48.247

Gaze point at (768.89, 23.08) @ 04:53:48.412

Gaze point at (782.30, 19.13) @ 04:53:48.578

Gaze point at (643.59, 101.95) @ 04:53:48.745

Gaze point at (684.94, 107.54) @ 04:53:48.912

Gaze point at (626.23, 106.69) @ 04:53:49.078

Gaze point at (638.52, 115.85) @ 04:53:49.245

Gaze point at (872.65, 43.87) @ 04:53:49.411

Gaze point at (852.34, 49.34) @ 04:53:49.577

Gaze point at (616.42, 138.40) @ 04:53:49.744

Gaze point at (627.84, 120.79) @ 04:53:49.910

Gaze point at (408.61, 104.53) @ 04:53:50.076

Gaze point at (269.09, 106.81) @ 04:53:50.244

Gaze point at (285.33, 94.68) @ 04:53:50.409

Gaze point at (234.82, 99.17) @ 04:53:50.577

Gaze point at (284.55, 104.18) @ 04:53:50.745

Gaze point at (332.70, 100.62) @ 04:53:50.909

Gaze point at (1336.70, -31.72) @ 04:53:51.130

Gaze point at (1314.53, -40.22) @ 04:53:51.297

Gaze point at (1320.53, -22.44) @ 04:53:51.463

Gaze point at (328.35, 43.90) @ 04:53:51.630

Gaze point at (346.36, 20.40) @ 04:53:51.796

Gaze point at (292.55, 42.88) @ 04:53:51.963

Gaze point at (297.73, 47.20) @ 04:53:52.130

Gaze point at (305.18, 56.57) @ 04:53:52.296

Gaze point at (539.60, 93.69) @ 04:53:52.462

Gaze point at (1030.62, 72.38) @ 04:53:52.629

Gaze point at (1078.89, 114.21) @ 04:53:52.795

Gaze point at (1063.83, 117.20) @ 04:53:52.962

Gaze point at (648.61, 184.52) @ 04:53:53.129

