Gaze point at (298.66, 295.64) @ 01:05:49.831

Gaze point at (237.68, 251.97) @ 01:05:49.969

Gaze point at (414.46, 233.50) @ 01:05:50.135

Gaze point at (415.93, 230.32) @ 01:05:50.301

Gaze point at (419.70, 234.73) @ 01:05:50.469

Gaze point at (560.52, 242.41) @ 01:05:50.635

Gaze point at (588.02, 310.66) @ 01:05:50.800

Gaze point at (726.67, 323.34) @ 01:05:50.967

Gaze point at (1006.13, 93.89) @ 01:05:51.136

Gaze point at (1006.93, 96.42) @ 01:05:51.301

Gaze point at (1026.29, 88.08) @ 01:05:51.467

Gaze point at (1029.51, 86.80) @ 01:05:51.634

Gaze point at (1103.29, 242.53) @ 01:05:51.856

Gaze point at (1091.44, 216.08) @ 01:05:52.023

Gaze point at (1084.11, 213.60) @ 01:05:52.190

Gaze point at (1086.09, 212.49) @ 01:05:52.355

Gaze point at (1087.17, 214.91) @ 01:05:52.523

