Gaze point at (452.24, 337.28) @ 01:51:56.763

Gaze point at (448.84, 337.81) @ 01:51:56.896

Gaze point at (518.10, 273.98) @ 01:51:57.063

Gaze point at (577.78, 245.06) @ 01:51:57.229

Gaze point at (578.92, 249.20) @ 01:51:57.397

Gaze point at (693.77, 157.17) @ 01:51:57.566

Gaze point at (689.23, 148.28) @ 01:51:57.729

Gaze point at (747.78, 64.72) @ 01:51:57.896

Gaze point at (746.14, 81.15) @ 01:51:58.061

Gaze point at (623.86, 340.67) @ 01:51:58.349

Gaze point at (627.12, 333.13) @ 01:51:58.515

Gaze point at (626.19, 333.14) @ 01:51:58.682

Gaze point at (625.91, 332.07) @ 01:51:58.849

Gaze point at (628.32, 339.65) @ 01:51:59.016

Gaze point at (627.94, 340.04) @ 01:51:59.182

Gaze point at (676.30, 336.28) @ 01:51:59.348

Gaze point at (675.17, 330.45) @ 01:51:59.515

Gaze point at (685.02, 329.61) @ 01:51:59.681

Gaze point at (800.63, 308.55) @ 01:51:59.848

Gaze point at (1067.96, 54.16) @ 01:52:00.015

Gaze point at (1054.54, 19.93) @ 01:52:00.181

Gaze point at (1054.68, 8.93) @ 01:52:00.348

Gaze point at (737.81, 68.93) @ 01:52:00.515

Gaze point at (743.76, 88.25) @ 01:52:00.681

Gaze point at (853.60, 144.08) @ 01:52:00.847

Gaze point at (1079.43, 196.18) @ 01:52:01.014

Gaze point at (1091.66, 203.05) @ 01:52:01.181

Gaze point at (1087.22, 212.74) @ 01:52:01.347

Gaze point at (1086.33, 213.75) @ 01:52:01.513

