Gaze point at (513.14, 223.59) @ 01:46:42.403

Gaze point at (670.15, 74.85) @ 01:46:42.539

Gaze point at (726.07, -88.49) @ 01:46:42.707

Gaze point at (728.19, -47.31) @ 01:46:42.876

Gaze point at (725.27, -5.73) @ 01:46:43.041

Gaze point at (728.83, 22.89) @ 01:46:43.207

Gaze point at (743.07, 28.25) @ 01:46:43.374

Gaze point at (738.90, 43.61) @ 01:46:43.540

Gaze point at (743.77, 41.33) @ 01:46:43.708

Gaze point at (661.22, 245.44) @ 01:46:43.873

Gaze point at (620.73, 320.50) @ 01:46:44.040

Gaze point at (598.23, 326.36) @ 01:46:44.207

Gaze point at (574.38, 336.66) @ 01:46:44.373

Gaze point at (367.02, 338.22) @ 01:46:44.540

Gaze point at (336.43, 350.17) @ 01:46:44.706

Gaze point at (335.25, 350.79) @ 01:46:44.873

Gaze point at (896.91, 319.09) @ 01:46:45.042

Gaze point at (1089.94, 321.75) @ 01:46:45.206

Gaze point at (1107.75, 345.70) @ 01:46:45.372

Gaze point at (1103.46, 342.41) @ 01:46:45.539

Gaze point at (1098.06, 346.14) @ 01:46:45.705

Gaze point at (1093.49, 350.14) @ 01:46:45.872

Gaze point at (700.91, 515.89) @ 01:46:46.039

Gaze point at (635.25, 574.66) @ 01:46:46.205

Gaze point at (532.82, 607.70) @ 01:46:46.371

Gaze point at (491.16, 595.69) @ 01:46:46.538

Gaze point at (152.82, 105.67) @ 01:46:46.705

Gaze point at (156.28, 109.55) @ 01:46:46.871

Gaze point at (659.90, 227.28) @ 01:46:47.038

Gaze point at (1096.05, 321.25) @ 01:46:47.204

Gaze point at (1098.38, 330.99) @ 01:46:47.371

Gaze point at (1087.29, 336.77) @ 01:46:47.538

Gaze point at (1071.57, 340.55) @ 01:46:47.704

Gaze point at (1063.81, 332.74) @ 01:46:47.870

Gaze point at (1090.80, 330.42) @ 01:46:48.038

Gaze point at (791.13, 594.71) @ 01:46:48.204

Gaze point at (796.49, 598.50) @ 01:46:48.371

Gaze point at (793.75, 587.77) @ 01:46:48.537

Gaze point at (790.40, 587.79) @ 01:46:48.703

Gaze point at (1090.74, 304.52) @ 01:46:48.870

Gaze point at (1089.00, 312.79) @ 01:46:49.036

Gaze point at (173.48, 229.62) @ 01:46:49.225

Gaze point at (329.89, 315.88) @ 01:46:49.391

Gaze point at (338.39, 354.85) @ 01:46:49.558

Gaze point at (332.10, 338.40) @ 01:46:49.724

Gaze point at (333.07, 351.73) @ 01:46:49.891

Gaze point at (296.85, 379.63) @ 01:46:50.057

Gaze point at (295.04, 383.72) @ 01:46:50.228

Gaze point at (301.11, 386.36) @ 01:46:50.391

Gaze point at (300.96, 382.48) @ 01:46:50.557

Gaze point at (304.20, 376.31) @ 01:46:50.724

Gaze point at (303.29, 384.58) @ 01:46:50.890

Gaze point at (331.55, 362.02) @ 01:46:51.056

Gaze point at (331.98, 353.91) @ 01:46:51.222

Gaze point at (337.08, 355.09) @ 01:46:51.389

Gaze point at (340.05, 359.52) @ 01:46:51.556

Gaze point at (342.06, 355.25) @ 01:46:51.722

Gaze point at (363.89, 362.72) @ 01:46:51.889

Gaze point at (738.96, 562.33) @ 01:46:52.057

Gaze point at (737.15, 562.33) @ 01:46:52.222

Gaze point at (679.72, 386.18) @ 01:46:52.390

Gaze point at (675.41, 371.39) @ 01:46:52.558

Gaze point at (398.30, 332.42) @ 01:46:52.722

Gaze point at (292.03, 280.62) @ 01:46:52.889

Gaze point at (269.60, 146.57) @ 01:46:53.055

Gaze point at (1305.63, 66.66) @ 01:46:53.221

Gaze point at (1346.43, 21.51) @ 01:46:53.388

Gaze point at (1349.67, -15.86) @ 01:46:53.555

Gaze point at (1355.58, -34.22) @ 01:46:53.721

Gaze point at (918.51, 175.22) @ 01:46:53.887

Gaze point at (578.58, 355.80) @ 01:46:54.055

Gaze point at (589.42, 367.32) @ 01:46:54.221

Gaze point at (883.77, 187.62) @ 01:46:54.388

Gaze point at (1020.87, 103.20) @ 01:46:54.555

Gaze point at (1036.88, 93.80) @ 01:46:54.721

Gaze point at (1033.14, 114.79) @ 01:46:54.887

