Gaze point at (910.36, 71.79) @ 02:39:32.702

Gaze point at (992.62, 29.46) @ 02:39:32.849

Gaze point at (813.87, 73.72) @ 02:39:33.019

Gaze point at (816.88, 84.48) @ 02:39:33.185

Gaze point at (1078.11, 35.49) @ 02:39:33.351

Gaze point at (1041.94, 37.43) @ 02:39:33.518

Gaze point at (1028.14, 34.82) @ 02:39:33.684

Gaze point at (1016.14, 37.76) @ 02:39:33.852

Gaze point at (1019.41, 42.65) @ 02:39:34.018

Gaze point at (427.64, 393.50) @ 02:39:34.229

Gaze point at (641.00, 99.65) @ 02:39:34.395

Gaze point at (1178.68, 56.06) @ 02:39:34.563

Gaze point at (248.90, -9.60) @ 02:39:34.729

Gaze point at (74.30, 28.72) @ 02:39:34.896

Gaze point at (-9.90, 4.03) @ 02:39:35.062

Gaze point at (1.73, -4.08) @ 02:39:35.229

Gaze point at (516.97, 487.56) @ 02:39:35.416

Gaze point at (1411.26, -11.43) @ 02:39:35.618

Gaze point at (1386.70, -33.24) @ 02:39:35.784

Gaze point at (101.82, 28.33) @ 02:39:36.005

Gaze point at (57.12, -25.73) @ 02:39:36.172

Gaze point at (526.85, 1.62) @ 02:39:36.339

Gaze point at (850.14, 59.94) @ 02:39:36.506

Gaze point at (632.15, 76.03) @ 02:39:36.672

Gaze point at (758.38, 115.68) @ 02:39:36.839

Gaze point at (784.12, 117.53) @ 02:39:37.006

Gaze point at (783.21, 115.39) @ 02:39:37.173

Gaze point at (785.19, 120.93) @ 02:39:37.339

