Gaze point at (747.04, 336.52) @ 05:45:40.261

Gaze point at (700.15, 336.78) @ 05:45:40.471

Gaze point at (684.12, 278.94) @ 05:45:40.638

Gaze point at (686.98, 284.87) @ 05:45:40.804

Gaze point at (902.18, 43.64) @ 05:45:40.972

Gaze point at (883.10, 54.37) @ 05:45:41.138

Gaze point at (877.20, 58.64) @ 05:45:41.304

Gaze point at (868.57, 55.68) @ 05:45:41.471

Gaze point at (646.81, 348.50) @ 05:45:41.638

Gaze point at (648.94, 351.52) @ 05:45:41.805

Gaze point at (761.77, 355.42) @ 05:45:41.971

Gaze point at (757.58, 343.38) @ 05:45:42.139

Gaze point at (875.27, 322.52) @ 05:45:42.425

Gaze point at (869.72, -68.65) @ 05:45:42.592

Gaze point at (865.10, -22.65) @ 05:45:42.759

Gaze point at (922.58, 6.69) @ 05:45:42.925

Gaze point at (895.08, 24.95) @ 05:45:43.092

Gaze point at (873.58, 53.35) @ 05:45:43.261

Gaze point at (740.05, 302.43) @ 05:45:43.425

Gaze point at (744.29, 305.39) @ 05:45:43.591

Gaze point at (731.10, 314.70) @ 05:45:43.758

Gaze point at (493.66, 341.90) @ 05:45:43.924

Gaze point at (497.55, 346.19) @ 05:45:44.091

Gaze point at (275.99, 355.03) @ 05:45:44.258

Gaze point at (271.70, 355.01) @ 05:45:44.424

Gaze point at (270.20, 360.20) @ 05:45:44.591

Gaze point at (264.43, 356.43) @ 05:45:44.758

Gaze point at (257.34, 356.01) @ 05:45:44.924

Gaze point at (252.71, 352.16) @ 05:45:45.091

Gaze point at (377.12, 341.63) @ 05:45:45.258

Gaze point at (385.14, 347.59) @ 05:45:45.424

Gaze point at (275.91, 354.98) @ 05:45:45.591

Gaze point at (269.48, 357.52) @ 05:45:45.757

Gaze point at (274.38, 358.84) @ 05:45:45.924

Gaze point at (285.41, 365.08) @ 05:45:46.090

Gaze point at (520.19, 466.77) @ 05:45:46.257

Gaze point at (555.43, 486.29) @ 05:45:46.424

Gaze point at (701.24, 579.85) @ 05:45:46.590

Gaze point at (704.09, 582.17) @ 05:45:46.756

