Gaze point at (142.45, 145.81) @ 02:11:31.464

Gaze point at (113.82, 123.20) @ 02:11:31.591

Gaze point at (363.51, 123.78) @ 02:11:31.757

Gaze point at (357.93, 139.80) @ 02:11:31.924

Gaze point at (420.72, 150.99) @ 02:11:32.090

Gaze point at (420.34, 160.11) @ 02:11:32.257

Gaze point at (229.13, 224.80) @ 02:11:32.423

Gaze point at (440.06, 248.94) @ 02:11:32.590

Gaze point at (547.53, 323.17) @ 02:11:32.757

Gaze point at (543.85, 319.93) @ 02:11:32.924

Gaze point at (579.42, 315.93) @ 02:11:33.090

Gaze point at (647.84, 324.84) @ 02:11:33.257

Gaze point at (813.01, 131.54) @ 02:11:33.423

Gaze point at (854.49, 67.67) @ 02:11:33.589

Gaze point at (882.88, 49.09) @ 02:11:33.756

Gaze point at (878.13, 46.79) @ 02:11:33.923

Gaze point at (820.34, 83.67) @ 02:11:34.089

Gaze point at (583.60, 283.69) @ 02:11:34.255

Gaze point at (572.48, 272.16) @ 02:11:34.422

Gaze point at (1046.27, 286.92) @ 02:11:34.589

Gaze point at (1038.36, 301.91) @ 02:11:34.755

Gaze point at (958.82, 296.72) @ 02:11:34.922

Gaze point at (332.03, 307.90) @ 02:11:35.088

Gaze point at (336.23, 312.22) @ 02:11:35.255

Gaze point at (340.32, 311.43) @ 02:11:35.421

Gaze point at (314.61, 368.81) @ 02:11:35.687

Gaze point at (326.34, 330.92) @ 02:11:35.854

Gaze point at (524.93, 304.09) @ 02:11:36.021

Gaze point at (611.81, 320.90) @ 02:11:36.187

Gaze point at (686.18, 354.69) @ 02:11:36.354

Gaze point at (688.03, 342.62) @ 02:11:36.521

Gaze point at (692.99, 324.33) @ 02:11:36.687

Gaze point at (695.70, 320.14) @ 02:11:36.854

Gaze point at (692.83, 320.46) @ 02:11:37.020

Gaze point at (1158.16, 89.16) @ 02:11:37.186

Gaze point at (1249.53, 29.57) @ 02:11:37.353

Gaze point at (1323.78, -1.49) @ 02:11:37.520

Gaze point at (1310.76, 7.45) @ 02:11:37.687

Gaze point at (1318.04, -1.02) @ 02:11:37.853

Gaze point at (766.12, 125.61) @ 02:11:38.020

Gaze point at (768.21, 148.54) @ 02:11:38.187

Gaze point at (986.45, 134.46) @ 02:11:38.353

Gaze point at (1017.25, 131.65) @ 02:11:38.519

Gaze point at (1014.07, 131.25) @ 02:11:38.686

Gaze point at (1015.85, 130.48) @ 02:11:38.852

Gaze point at (544.07, 256.84) @ 02:11:39.019

Gaze point at (442.08, 267.66) @ 02:11:39.186

Gaze point at (1022.12, 81.56) @ 02:11:39.352

