Gaze point at (341.40, 188.83) @ 04:03:27.159

Gaze point at (611.43, 48.29) @ 04:03:27.243

Gaze point at (790.23, -13.97) @ 04:03:27.409

Gaze point at (807.19, -18.31) @ 04:03:27.575

Gaze point at (806.18, -16.53) @ 04:03:27.745

Gaze point at (163.63, 285.35) @ 04:03:27.908

Gaze point at (813.78, 2.74) @ 04:03:28.076

Gaze point at (820.07, 28.22) @ 04:03:28.242

Gaze point at (679.04, 619.11) @ 04:03:28.629

Gaze point at (778.25, 356.61) @ 04:03:29.064

Gaze point at (1295.17, 204.75) @ 04:03:29.232

Gaze point at (557.06, 244.06) @ 04:03:29.654

Gaze point at (484.13, 11.33) @ 04:03:29.821

Gaze point at (789.88, 114.78) @ 04:03:30.044

Gaze point at (811.90, 6.71) @ 04:03:30.209

Gaze point at (809.98, 16.04) @ 04:03:30.383

Gaze point at (814.97, 38.66) @ 04:03:30.542

Gaze point at (841.51, 25.19) @ 04:03:33.102

Gaze point at (785.45, 111.60) @ 04:03:33.107

Gaze point at (626.31, 352.53) @ 04:03:33.112

Gaze point at (630.43, 352.29) @ 04:03:33.117

Gaze point at (623.38, 347.01) @ 04:03:33.123

Gaze point at (706.02, 289.13) @ 04:03:33.128

Gaze point at (863.26, 93.49) @ 04:03:33.133

Gaze point at (838.88, 62.80) @ 04:03:33.137

Gaze point at (948.93, 88.27) @ 04:03:33.141

Gaze point at (996.03, 102.23) @ 04:03:33.146

Gaze point at (856.04, 41.98) @ 04:03:33.152

Gaze point at (873.29, 45.06) @ 04:03:33.155

Gaze point at (984.67, 46.85) @ 04:03:33.160

