Gaze point at (1096.76, 10.75) @ 02:38:33.952

Gaze point at (1071.96, -20.01) @ 02:38:34.069

Gaze point at (758.13, -1.02) @ 02:38:34.236

Gaze point at (619.07, -3.15) @ 02:38:34.402

Gaze point at (922.55, 3.56) @ 02:38:34.569

Gaze point at (1025.00, -3.53) @ 02:38:34.737

Gaze point at (1033.83, 5.68) @ 02:38:34.905

Gaze point at (1035.05, 7.93) @ 02:38:35.072

Gaze point at (1041.87, -4.31) @ 02:38:35.238

Gaze point at (1045.48, -6.54) @ 02:38:35.404

Gaze point at (1123.70, 516.40) @ 02:38:35.571

Gaze point at (1188.44, 627.92) @ 02:38:35.739

Gaze point at (1189.61, 647.62) @ 02:38:35.904

Gaze point at (1349.90, 665.00) @ 02:38:36.071

Gaze point at (801.23, 232.33) @ 02:38:36.338

Gaze point at (351.70, 29.92) @ 02:38:36.506

Gaze point at (274.09, -6.26) @ 02:38:36.672

Gaze point at (105.73, 12.25) @ 02:38:36.838

Gaze point at (4.99, 1.23) @ 02:38:37.005

Gaze point at (1.98, -20.79) @ 02:38:37.171

Gaze point at (47.08, 27.43) @ 02:38:37.337

Gaze point at (58.56, -42.65) @ 02:38:37.584

Gaze point at (46.99, -48.46) @ 02:38:37.750

Gaze point at (1306.19, -55.89) @ 02:38:37.916

Gaze point at (1317.20, -45.20) @ 02:38:38.084

Gaze point at (1399.83, -45.57) @ 02:38:38.250

Gaze point at (1411.47, -19.63) @ 02:38:38.415

Gaze point at (102.76, -35.55) @ 02:38:38.660

Gaze point at (19.11, -64.30) @ 02:38:38.827

Gaze point at (-0.83, -68.67) @ 02:38:38.994

Gaze point at (55.85, -56.87) @ 02:38:39.160

Gaze point at (-23.24, 163.75) @ 02:38:39.404

Gaze point at (49.36, -36.24) @ 02:38:39.571

Gaze point at (29.50, -81.96) @ 02:38:39.739

Gaze point at (-3.59, 537.44) @ 02:38:39.904

Gaze point at (9.23, 677.09) @ 02:38:40.072

Gaze point at (-115.63, 244.72) @ 02:38:40.349

Gaze point at (36.81, -17.83) @ 02:38:40.516

Gaze point at (29.22, 213.88) @ 02:38:40.683

Gaze point at (34.07, 702.46) @ 02:38:40.849

Gaze point at (-66.03, 346.44) @ 02:38:41.082

Gaze point at (147.33, 31.22) @ 02:38:41.250

Gaze point at (41.35, -40.73) @ 02:38:41.416

Gaze point at (17.42, -69.20) @ 02:38:41.582

Gaze point at (1266.67, -87.13) @ 02:38:41.927

Gaze point at (1277.26, -97.68) @ 02:38:42.095

Gaze point at (1261.68, -72.85) @ 02:38:42.261

Gaze point at (1202.60, -77.45) @ 02:38:42.427

Gaze point at (371.38, -68.46) @ 02:38:42.593

Gaze point at (61.72, -51.20) @ 02:38:42.760

Gaze point at (1261.95, 50.79) @ 02:38:43.038

Gaze point at (1210.44, -35.95) @ 02:38:43.205

Gaze point at (1197.94, 9.42) @ 02:38:43.371

Gaze point at (1214.89, -7.15) @ 02:38:43.538

Gaze point at (1084.88, -9.11) @ 02:38:43.705

Gaze point at (675.37, -20.50) @ 02:38:43.872

Gaze point at (616.53, -3.48) @ 02:38:44.038

Gaze point at (684.15, 13.60) @ 02:38:44.204

Gaze point at (681.00, 30.96) @ 02:38:44.371

Gaze point at (669.53, 45.03) @ 02:38:44.538

Gaze point at (677.24, 31.12) @ 02:38:44.705

Gaze point at (566.31, 515.53) @ 02:38:44.987

