Gaze point at (265.00, 618.40) @ 01:00:12.270

Gaze point at (526.76, 369.83) @ 01:00:12.385

Gaze point at (511.39, 366.07) @ 01:00:12.552

Gaze point at (312.51, 175.69) @ 01:00:12.719

Gaze point at (314.33, 180.34) @ 01:00:12.885

Gaze point at (588.35, 268.83) @ 01:00:13.052

Gaze point at (705.89, 80.71) @ 01:00:13.218

Gaze point at (712.68, 59.26) @ 01:00:13.385

Gaze point at (773.48, 66.22) @ 01:00:13.551

Gaze point at (769.27, 75.43) @ 01:00:13.718

Gaze point at (604.23, 363.15) @ 01:00:13.884

Gaze point at (701.00, 324.54) @ 01:00:14.051

Gaze point at (717.69, 325.36) @ 01:00:14.217

Gaze point at (392.91, 325.59) @ 01:00:14.384

Gaze point at (394.41, 327.00) @ 01:00:14.550

Gaze point at (380.77, 289.67) @ 01:00:14.717

Gaze point at (304.12, 264.59) @ 01:00:14.883

Gaze point at (245.32, 264.63) @ 01:00:15.050

Gaze point at (248.68, 267.61) @ 01:00:15.216

Gaze point at (246.80, 269.61) @ 01:00:15.383

Gaze point at (434.95, 258.93) @ 01:00:15.550

Gaze point at (432.03, 262.29) @ 01:00:15.716

Gaze point at (515.61, 251.30) @ 01:00:15.883

Gaze point at (526.44, 258.57) @ 01:00:16.049

Gaze point at (523.72, 263.03) @ 01:00:16.216

Gaze point at (522.14, 265.11) @ 01:00:16.382

Gaze point at (521.47, 268.06) @ 01:00:16.550

Gaze point at (518.94, 271.28) @ 01:00:16.715

Gaze point at (519.65, 270.69) @ 01:00:16.882

Gaze point at (522.85, 275.13) @ 01:00:17.048

Gaze point at (722.01, 281.11) @ 01:00:17.216

Gaze point at (716.68, 281.88) @ 01:00:17.382

Gaze point at (716.93, 267.82) @ 01:00:17.548

Gaze point at (713.23, 268.12) @ 01:00:17.715

Gaze point at (250.57, 355.56) @ 01:00:18.003

Gaze point at (270.77, 316.48) @ 01:00:18.169

Gaze point at (265.27, 260.96) @ 01:00:18.336

Gaze point at (263.24, 251.68) @ 01:00:18.503

Gaze point at (262.17, 260.09) @ 01:00:18.669

Gaze point at (260.64, 257.77) @ 01:00:18.836

Gaze point at (264.76, 262.47) @ 01:00:19.002

Gaze point at (303.81, 503.10) @ 01:00:19.169

Gaze point at (306.80, 523.53) @ 01:00:19.335

Gaze point at (327.23, 542.02) @ 01:00:19.502

Gaze point at (335.27, 558.55) @ 01:00:19.668

