Gaze point at (722.21, 111.99) @ 02:26:11.997

Gaze point at (774.40, 86.58) @ 02:26:12.090

Gaze point at (770.80, 95.25) @ 02:26:12.257

Gaze point at (770.56, 97.41) @ 02:26:12.424

Gaze point at (773.98, 102.69) @ 02:26:12.590

Gaze point at (851.43, 71.73) @ 02:26:12.757

Gaze point at (852.86, 73.44) @ 02:26:12.923

Gaze point at (857.82, 68.80) @ 02:26:13.089

Gaze point at (857.72, 62.62) @ 02:26:13.256

Gaze point at (857.74, 58.80) @ 02:26:13.422

Gaze point at (859.35, 53.40) @ 02:26:13.589

Gaze point at (556.33, 251.60) @ 02:26:13.756

Gaze point at (367.92, 286.78) @ 02:26:13.989

Gaze point at (361.53, 71.16) @ 02:26:14.156

Gaze point at (362.59, 76.63) @ 02:26:14.322

Gaze point at (363.79, 73.92) @ 02:26:14.488

Gaze point at (306.11, 319.53) @ 02:26:14.655

Gaze point at (319.74, 332.73) @ 02:26:14.822

Gaze point at (328.83, 336.38) @ 02:26:14.991

Gaze point at (527.39, 333.97) @ 02:26:15.155

Gaze point at (549.01, 433.66) @ 02:26:15.794

Gaze point at (543.69, 432.47) @ 02:26:15.960

Gaze point at (524.39, 470.56) @ 02:26:16.127

Gaze point at (505.55, 529.61) @ 02:26:16.293

Gaze point at (360.24, 382.55) @ 02:26:16.462

Gaze point at (331.72, 332.53) @ 02:26:16.626

Gaze point at (624.24, 464.64) @ 02:26:17.360

Gaze point at (578.57, 432.60) @ 02:26:17.526

Gaze point at (617.39, 342.29) @ 02:26:17.693

Gaze point at (600.98, 273.62) @ 02:26:17.859

Gaze point at (1005.38, 240.21) @ 02:26:18.026

Gaze point at (1047.13, 271.85) @ 02:26:18.192

Gaze point at (1042.21, 302.79) @ 02:26:18.359

Gaze point at (1041.71, 336.54) @ 02:26:18.525

Gaze point at (1034.28, 342.59) @ 02:26:18.692

Gaze point at (1026.92, 355.09) @ 02:26:18.859

Gaze point at (1020.62, 376.06) @ 02:26:19.025

Gaze point at (840.01, 486.29) @ 02:26:19.191

Gaze point at (838.23, 484.95) @ 02:26:19.358

Gaze point at (829.81, 498.94) @ 02:26:19.525

Gaze point at (307.99, 112.38) @ 02:26:19.691

Gaze point at (324.26, 96.32) @ 02:26:19.858

Gaze point at (325.18, 92.44) @ 02:26:20.024

Gaze point at (625.26, 288.30) @ 02:26:20.191

Gaze point at (290.80, 299.33) @ 02:26:20.357

Gaze point at (307.20, 309.18) @ 02:26:20.524

Gaze point at (309.33, 314.16) @ 02:26:20.690

Gaze point at (308.55, 317.13) @ 02:26:20.857

Gaze point at (354.43, 290.30) @ 02:26:21.024

