Gaze point at (569.66, 329.62) @ 05:50:06.555

Gaze point at (571.62, 308.18) @ 05:50:06.654

Gaze point at (568.83, 299.87) @ 05:50:06.821

Gaze point at (630.85, 31.44) @ 05:50:06.988

Gaze point at (628.87, 52.75) @ 05:50:07.154

Gaze point at (630.18, 65.73) @ 05:50:07.320

Gaze point at (650.19, 283.39) @ 05:50:07.487

Gaze point at (586.61, 239.52) @ 05:50:07.654

Gaze point at (587.05, 239.00) @ 05:50:07.820

Gaze point at (585.68, 237.10) @ 05:50:07.987

Gaze point at (775.74, 241.63) @ 05:50:08.153

Gaze point at (770.28, 244.18) @ 05:50:08.321

Gaze point at (770.27, 248.51) @ 05:50:08.487

Gaze point at (653.04, 259.93) @ 05:50:08.654

Gaze point at (531.87, 247.94) @ 05:50:08.820

Gaze point at (530.73, 249.12) @ 05:50:08.987

Gaze point at (498.06, 286.50) @ 05:50:09.154

Gaze point at (490.52, 304.71) @ 05:50:09.320

Gaze point at (491.55, 314.09) @ 05:50:09.486

Gaze point at (569.81, 405.40) @ 05:50:09.653

Gaze point at (568.66, 401.12) @ 05:50:09.820

Gaze point at (568.63, 398.74) @ 05:50:09.986

Gaze point at (569.97, 402.87) @ 05:50:10.152

Gaze point at (721.30, 287.20) @ 05:50:10.320

Gaze point at (793.31, 228.03) @ 05:50:10.488

Gaze point at (792.22, 231.22) @ 05:50:10.653

Gaze point at (793.40, 240.77) @ 05:50:10.820

Gaze point at (804.80, 251.82) @ 05:50:10.986

Gaze point at (576.66, 247.00) @ 05:50:11.153

Gaze point at (583.49, 248.21) @ 05:50:11.319

Gaze point at (581.63, 247.80) @ 05:50:11.486

Gaze point at (597.19, 242.99) @ 05:50:11.652

Gaze point at (601.70, 239.73) @ 05:50:11.819

Gaze point at (603.63, 238.87) @ 05:50:11.985

Gaze point at (606.28, 243.51) @ 05:50:12.152

Gaze point at (775.05, 253.65) @ 05:50:12.319

Gaze point at (768.80, 260.71) @ 05:50:12.485

Gaze point at (768.62, 261.79) @ 05:50:12.652

Gaze point at (677.59, 254.60) @ 05:50:12.819

Gaze point at (662.30, 249.51) @ 05:50:12.985

Gaze point at (662.82, 246.82) @ 05:50:13.152

Gaze point at (573.28, 244.38) @ 05:50:13.319

Gaze point at (559.50, 241.24) @ 05:50:13.486

Gaze point at (560.97, 245.27) @ 05:50:13.652

Gaze point at (560.94, 247.41) @ 05:50:13.818

Gaze point at (523.38, 260.81) @ 05:50:13.985

Gaze point at (771.72, 242.56) @ 05:50:14.152

Gaze point at (766.79, 254.34) @ 05:50:14.319

Gaze point at (558.97, 353.58) @ 05:50:14.484

Gaze point at (595.52, 400.75) @ 05:50:14.651

Gaze point at (596.66, 403.48) @ 05:50:14.818

Gaze point at (594.36, 404.30) @ 05:50:14.984

Gaze point at (596.40, 408.45) @ 05:50:15.151

Gaze point at (641.46, 415.27) @ 05:50:15.318

Gaze point at (710.97, 422.53) @ 05:50:15.484

Gaze point at (712.29, 423.99) @ 05:50:15.650

Gaze point at (710.67, 421.95) @ 05:50:15.817

Gaze point at (747.15, 366.96) @ 05:50:15.984

Gaze point at (756.17, 349.28) @ 05:50:16.151

Gaze point at (608.47, 509.50) @ 05:50:16.463

Gaze point at (531.09, 600.59) @ 05:50:16.629

Gaze point at (538.29, 583.60) @ 05:50:16.796

Gaze point at (626.36, 407.97) @ 05:50:16.962

Gaze point at (566.10, 231.90) @ 05:50:17.128

Gaze point at (567.93, 240.68) @ 05:50:17.296

Gaze point at (568.35, 244.51) @ 05:50:17.462

Gaze point at (1028.45, -1.36) @ 05:50:17.629

Gaze point at (1014.03, 11.83) @ 05:50:17.795

Gaze point at (1011.82, 11.86) @ 05:50:17.962

Gaze point at (1010.12, 13.12) @ 05:50:18.128

Gaze point at (1023.15, 22.82) @ 05:50:18.295

Gaze point at (909.74, 145.20) @ 05:50:18.461

Gaze point at (911.83, 137.70) @ 05:50:18.628

Gaze point at (1048.73, 105.11) @ 05:50:18.794

Gaze point at (1042.66, 105.17) @ 05:50:18.961

Gaze point at (1038.59, 112.79) @ 05:50:19.127

Gaze point at (1030.84, 39.43) @ 05:50:19.294

Gaze point at (1023.54, 21.99) @ 05:50:19.461

Gaze point at (1041.63, 65.56) @ 05:50:19.627

Gaze point at (1044.93, 97.10) @ 05:50:19.794

Gaze point at (1044.00, 99.67) @ 05:50:19.961

Gaze point at (1037.85, 109.68) @ 05:50:20.127

Gaze point at (471.45, 295.60) @ 05:50:32.947

Gaze point at (619.96, 103.90) @ 05:50:33.076

Gaze point at (642.72, 63.77) @ 05:50:33.243

Gaze point at (648.87, 77.56) @ 05:50:33.410

Gaze point at (680.51, 37.30) @ 05:50:33.577

Gaze point at (679.35, 38.38) @ 05:50:33.743

Gaze point at (605.45, 416.79) @ 05:50:33.911

Gaze point at (583.54, 349.53) @ 05:50:34.076

Gaze point at (562.40, 263.48) @ 05:50:34.243

Gaze point at (562.52, 261.31) @ 05:50:34.409

Gaze point at (598.83, 251.90) @ 05:50:34.576

Gaze point at (595.82, 250.34) @ 05:50:34.743

Gaze point at (597.00, 252.42) @ 05:50:34.909

Gaze point at (711.76, 254.04) @ 05:50:35.076

Gaze point at (728.40, 247.59) @ 05:50:35.242

Gaze point at (728.74, 248.15) @ 05:50:35.409

Gaze point at (726.95, 249.63) @ 05:50:35.576

Gaze point at (548.57, 241.85) @ 05:50:35.742

Gaze point at (553.47, 245.19) @ 05:50:35.909

Gaze point at (556.74, 244.83) @ 05:50:36.075

Gaze point at (745.44, 259.93) @ 05:50:36.242

Gaze point at (742.74, 262.49) @ 05:50:36.408

Gaze point at (743.68, 264.77) @ 05:50:36.575

Gaze point at (810.49, 257.51) @ 05:50:36.741

Gaze point at (806.79, 255.47) @ 05:50:36.908

Gaze point at (845.83, 228.12) @ 05:50:37.075

Gaze point at (1001.12, 24.40) @ 05:50:37.241

Gaze point at (997.45, 35.57) @ 05:50:37.408

Gaze point at (994.75, 42.90) @ 05:50:37.574

Gaze point at (916.59, 135.83) @ 05:50:37.864

Gaze point at (880.14, 77.89) @ 05:50:38.031

