Gaze point at (676.78, 130.38) @ 01:57:44.179

Gaze point at (833.42, 98.62) @ 01:57:44.312

Gaze point at (833.64, 94.04) @ 01:57:44.480

Gaze point at (833.63, 98.57) @ 01:57:44.646

Gaze point at (849.60, 87.22) @ 01:57:44.811

Gaze point at (864.94, -36.24) @ 01:57:44.979

Gaze point at (880.76, -46.91) @ 01:57:45.145

Gaze point at (868.81, -12.25) @ 01:57:45.311

Gaze point at (856.81, -4.05) @ 01:57:45.478

Gaze point at (687.88, 233.42) @ 01:57:45.644

Gaze point at (594.39, 374.35) @ 01:57:45.811

Gaze point at (562.76, 369.07) @ 01:57:45.977

Gaze point at (312.06, 329.77) @ 01:57:46.144

Gaze point at (245.32, 375.82) @ 01:57:46.311

Gaze point at (247.31, 367.28) @ 01:57:46.478

Gaze point at (237.80, 372.98) @ 01:57:46.644

Gaze point at (238.57, 366.13) @ 01:57:46.811

Gaze point at (371.84, 236.01) @ 01:57:46.978

Gaze point at (340.32, 373.91) @ 01:57:47.144

Gaze point at (339.51, 403.58) @ 01:57:47.310

Gaze point at (378.44, 482.58) @ 01:57:47.477

Gaze point at (428.93, 607.17) @ 01:57:47.643

Gaze point at (267.65, 351.02) @ 01:57:47.810

Gaze point at (283.27, 370.55) @ 01:57:47.976

Gaze point at (283.40, 368.79) @ 01:57:48.142

Gaze point at (286.81, 378.94) @ 01:57:48.309

Gaze point at (287.27, 391.75) @ 01:57:48.476

Gaze point at (327.09, 502.21) @ 01:57:48.643

Gaze point at (336.52, 563.08) @ 01:57:48.809

Gaze point at (296.25, 315.44) @ 01:57:48.975

Gaze point at (284.94, 290.27) @ 01:57:49.142

Gaze point at (287.11, 297.41) @ 01:57:49.308

Gaze point at (287.71, 305.89) @ 01:57:49.476

Gaze point at (263.95, 311.82) @ 01:57:49.642

Gaze point at (249.46, 313.81) @ 01:57:49.808

Gaze point at (252.54, 313.41) @ 01:57:49.974

Gaze point at (255.14, 300.27) @ 01:57:50.141

Gaze point at (700.96, 546.40) @ 01:57:50.306

Gaze point at (777.78, 531.00) @ 01:57:50.474

Gaze point at (605.08, 475.35) @ 01:57:50.641

Gaze point at (302.79, 228.31) @ 01:57:50.808

Gaze point at (288.27, 276.28) @ 01:57:50.974

Gaze point at (289.85, 334.38) @ 01:57:51.140

Gaze point at (329.12, 352.72) @ 01:57:51.307

Gaze point at (348.71, 363.44) @ 01:57:51.475

Gaze point at (268.92, 376.36) @ 01:57:51.640

Gaze point at (288.62, 415.41) @ 01:57:51.806

Gaze point at (350.88, 464.63) @ 01:57:52.017

Gaze point at (643.51, 610.68) @ 01:57:52.185

Gaze point at (788.99, 688.98) @ 01:57:52.400

Gaze point at (494.48, 498.03) @ 01:57:52.567

Gaze point at (298.28, 377.50) @ 01:57:52.733

Gaze point at (291.81, 365.12) @ 01:57:52.899

Gaze point at (287.06, 358.70) @ 01:57:53.066

Gaze point at (281.92, 351.19) @ 01:57:53.232

Gaze point at (276.69, 345.26) @ 01:57:53.399

Gaze point at (270.77, 331.14) @ 01:57:53.565

Gaze point at (295.56, 342.81) @ 01:57:53.732

Gaze point at (906.60, 662.90) @ 01:57:53.899

Gaze point at (830.73, 625.27) @ 01:57:54.065

Gaze point at (376.77, 384.56) @ 01:57:54.232

Gaze point at (324.27, 378.67) @ 01:57:54.399

Gaze point at (346.81, 410.76) @ 01:57:54.566

Gaze point at (343.90, 409.42) @ 01:57:54.732

Gaze point at (341.34, 424.60) @ 01:57:54.896

Gaze point at (304.08, 391.60) @ 01:57:55.186

Gaze point at (305.46, 390.16) @ 01:57:55.353

Gaze point at (251.47, 592.35) @ 01:57:55.519

Gaze point at (271.40, 483.32) @ 01:57:55.685

Gaze point at (273.45, 375.81) @ 01:57:55.852

Gaze point at (264.84, 376.70) @ 01:57:56.019

Gaze point at (267.12, 379.64) @ 01:57:56.186

Gaze point at (305.90, 373.27) @ 01:57:56.352

Gaze point at (310.24, 373.47) @ 01:57:56.520

Gaze point at (310.92, 377.55) @ 01:57:56.686

Gaze point at (294.70, 367.14) @ 01:57:56.852

Gaze point at (283.13, 361.32) @ 01:57:57.018

Gaze point at (278.31, 360.41) @ 01:57:57.185

Gaze point at (341.77, 358.24) @ 01:57:57.351

Gaze point at (345.52, 358.81) @ 01:57:57.518

Gaze point at (278.48, 361.93) @ 01:57:57.685

Gaze point at (268.09, 355.80) @ 01:57:57.851

Gaze point at (259.25, 358.46) @ 01:57:58.018

Gaze point at (258.18, 361.06) @ 01:57:58.184

Gaze point at (259.31, 369.32) @ 01:57:58.351

Gaze point at (266.24, 373.92) @ 01:57:58.517

Gaze point at (264.21, 376.23) @ 01:57:58.684

Gaze point at (720.34, 582.21) @ 01:57:58.850

Gaze point at (804.16, 622.10) @ 01:57:59.017

Gaze point at (678.46, 583.91) @ 01:57:59.183

Gaze point at (275.20, 410.52) @ 01:57:59.350

Gaze point at (279.83, 409.32) @ 01:57:59.516

Gaze point at (278.29, 406.53) @ 01:57:59.682

Gaze point at (283.70, 409.85) @ 01:57:59.850

Gaze point at (280.84, 414.68) @ 01:58:00.016

Gaze point at (279.64, 407.49) @ 01:58:00.183

Gaze point at (311.50, 438.37) @ 01:58:00.349

Gaze point at (314.91, 443.95) @ 01:58:00.516

Gaze point at (518.00, 728.73) @ 01:58:00.759

Gaze point at (565.50, 587.01) @ 01:58:00.927

Gaze point at (148.63, 147.34) @ 01:58:01.094

Gaze point at (145.56, 146.34) @ 01:58:01.261

Gaze point at (934.49, 327.99) @ 01:58:01.427

Gaze point at (912.69, 332.01) @ 01:58:01.592

Gaze point at (1056.84, 353.79) @ 01:58:01.760

Gaze point at (1056.57, 356.99) @ 01:58:01.927

Gaze point at (1047.99, 462.02) @ 01:58:02.170

Gaze point at (1058.77, 402.60) @ 01:58:02.338

Gaze point at (1056.07, 406.73) @ 01:58:02.504

Gaze point at (1012.35, 420.29) @ 01:58:02.670

Gaze point at (924.13, 415.36) @ 01:58:02.837

Gaze point at (923.42, 426.33) @ 01:58:03.003

Gaze point at (810.84, 657.52) @ 01:58:03.173

Gaze point at (815.75, 643.18) @ 01:58:03.337

Gaze point at (915.88, 573.80) @ 01:58:03.504

Gaze point at (939.30, 570.97) @ 01:58:03.671

Gaze point at (967.90, 555.26) @ 01:58:03.837

Gaze point at (632.91, 363.32) @ 01:58:04.006

Gaze point at (955.34, 755.65) @ 01:58:04.321

Gaze point at (969.39, 673.87) @ 01:58:04.488

Gaze point at (993.48, 687.02) @ 01:58:04.655

Gaze point at (999.60, 681.78) @ 01:58:04.821

Gaze point at (1002.08, 692.50) @ 01:58:04.988

Gaze point at (1074.13, 330.17) @ 01:58:05.158

Gaze point at (1064.11, 360.40) @ 01:58:05.323

Gaze point at (1111.92, 332.05) @ 01:58:05.491

Gaze point at (1116.34, 332.84) @ 01:58:05.656

Gaze point at (1114.80, 333.36) @ 01:58:05.823

Gaze point at (1104.84, 346.99) @ 01:58:05.990

Gaze point at (1041.90, 436.76) @ 01:58:06.156

Gaze point at (961.46, 562.29) @ 01:58:06.323

Gaze point at (967.19, 566.92) @ 01:58:06.489

Gaze point at (1114.55, 390.00) @ 01:58:06.656

Gaze point at (1107.60, 400.31) @ 01:58:06.823

Gaze point at (1107.34, 399.63) @ 01:58:06.990

Gaze point at (1105.26, 399.36) @ 01:58:07.156

Gaze point at (1103.57, 401.35) @ 01:58:07.323

Gaze point at (1091.06, 408.58) @ 01:58:07.489

Gaze point at (892.70, 517.59) @ 01:58:07.655

Gaze point at (784.54, 630.70) @ 01:58:07.822

Gaze point at (783.15, 632.80) @ 01:58:07.988

Gaze point at (732.82, 633.95) @ 01:58:08.155

Gaze point at (682.63, 659.66) @ 01:58:08.422

Gaze point at (738.28, 528.81) @ 01:58:08.588

Gaze point at (802.72, 326.08) @ 01:58:08.754

Gaze point at (977.51, 340.99) @ 01:58:08.921

Gaze point at (1092.50, 374.00) @ 01:58:09.088

Gaze point at (1055.95, 366.55) @ 01:58:09.255

Gaze point at (1054.30, 373.18) @ 01:58:09.421

Gaze point at (1032.55, 391.61) @ 01:58:09.587

Gaze point at (867.38, 342.12) @ 01:58:09.755

Gaze point at (852.03, 335.97) @ 01:58:09.921

Gaze point at (877.30, 355.93) @ 01:58:10.087

Gaze point at (633.34, 551.47) @ 01:58:10.253

Gaze point at (638.16, 546.38) @ 01:58:10.420

Gaze point at (1132.74, 369.14) @ 01:58:10.587

Gaze point at (1030.69, 370.72) @ 01:58:10.753

Gaze point at (1028.54, 371.22) @ 01:58:10.919

Gaze point at (1036.01, 363.23) @ 01:58:11.086

Gaze point at (1029.48, 360.07) @ 01:58:11.252

Gaze point at (1028.54, 362.01) @ 01:58:11.420

Gaze point at (1019.26, 367.78) @ 01:58:11.586

Gaze point at (1075.96, 372.16) @ 01:58:11.753

Gaze point at (1067.36, 370.84) @ 01:58:11.920

Gaze point at (1051.32, 375.19) @ 01:58:12.085

Gaze point at (1046.30, 376.87) @ 01:58:12.252

Gaze point at (1042.89, 379.22) @ 01:58:12.419

Gaze point at (1042.64, 381.61) @ 01:58:12.585

Gaze point at (1046.23, 377.68) @ 01:58:12.755

Gaze point at (1051.54, 379.15) @ 01:58:12.919

Gaze point at (1066.35, 372.79) @ 01:58:13.085

Gaze point at (1057.33, 371.06) @ 01:58:13.251

Gaze point at (1051.28, 373.71) @ 01:58:13.418

Gaze point at (1047.17, 376.08) @ 01:58:13.584

Gaze point at (1048.17, 375.94) @ 01:58:13.752

Gaze point at (1049.06, 371.80) @ 01:58:13.918

Gaze point at (1054.97, 377.74) @ 01:58:14.085

Gaze point at (1053.83, 378.80) @ 01:58:14.251

Gaze point at (1021.92, 363.44) @ 01:58:14.417

Gaze point at (1110.52, 389.34) @ 01:58:14.674

Gaze point at (1108.19, 368.07) @ 01:58:14.839

Gaze point at (1113.67, 362.69) @ 01:58:15.006

Gaze point at (1111.99, 373.45) @ 01:58:15.173

Gaze point at (1035.40, 382.85) @ 01:58:15.339

Gaze point at (1044.09, 382.81) @ 01:58:15.506

Gaze point at (1108.55, 553.98) @ 01:58:15.672

Gaze point at (1112.53, 589.50) @ 01:58:15.839

Gaze point at (1074.01, 335.46) @ 01:58:16.005

Gaze point at (1065.97, 344.39) @ 01:58:16.175

Gaze point at (1067.71, 351.29) @ 01:58:16.338

Gaze point at (1046.56, 322.25) @ 01:58:16.505

Gaze point at (1046.66, 320.15) @ 01:58:16.672

Gaze point at (1044.64, 323.61) @ 01:58:16.839

Gaze point at (1018.52, 338.57) @ 01:58:17.004

Gaze point at (674.99, 600.08) @ 01:58:17.171

Gaze point at (673.98, 596.55) @ 01:58:17.337

Gaze point at (645.41, 604.67) @ 01:58:17.504

Gaze point at (998.03, 386.06) @ 01:58:17.671

Gaze point at (1073.64, 334.63) @ 01:58:17.837

Gaze point at (1071.82, 331.86) @ 01:58:18.004

Gaze point at (1043.59, 367.61) @ 01:58:18.170

Gaze point at (1042.86, 370.03) @ 01:58:18.337

Gaze point at (1038.30, 370.53) @ 01:58:18.504

Gaze point at (1027.26, 368.62) @ 01:58:18.670

Gaze point at (594.43, 586.56) @ 01:58:18.837

Gaze point at (539.56, 560.56) @ 01:58:19.003

Gaze point at (259.60, 158.57) @ 01:58:19.170

Gaze point at (221.71, 111.20) @ 01:58:19.336

Gaze point at (188.29, 112.93) @ 01:58:19.502

Gaze point at (831.35, 300.88) @ 01:58:19.669

Gaze point at (825.81, 314.25) @ 01:58:19.835

Gaze point at (828.70, 371.71) @ 01:58:20.080

Gaze point at (829.70, 338.23) @ 01:58:20.246

Gaze point at (864.31, 367.50) @ 01:58:20.414

Gaze point at (864.91, 373.38) @ 01:58:20.580

Gaze point at (829.61, 524.70) @ 01:58:20.746

Gaze point at (1001.18, 213.94) @ 01:58:20.912

Gaze point at (1128.91, 184.55) @ 01:58:21.079

Gaze point at (659.62, 368.39) @ 01:58:21.333

Gaze point at (701.72, 310.07) @ 01:58:21.501

Gaze point at (627.27, 321.26) @ 01:58:21.667

Gaze point at (575.62, 340.04) @ 01:58:21.957

Gaze point at (613.80, 311.64) @ 01:58:22.126

Gaze point at (973.95, 197.05) @ 01:58:22.292

Gaze point at (1089.38, 147.67) @ 01:58:22.458

Gaze point at (1147.30, 147.34) @ 01:58:22.625

Gaze point at (1148.50, 145.38) @ 01:58:22.791

Gaze point at (1076.25, 241.68) @ 01:58:22.958

Gaze point at (861.52, 585.50) @ 01:58:23.126

Gaze point at (784.32, 635.15) @ 01:58:23.292

Gaze point at (672.92, 623.48) @ 01:58:24.429

Gaze point at (782.71, 585.96) @ 01:58:24.596

Gaze point at (818.51, 621.01) @ 01:58:24.762

Gaze point at (817.46, 631.28) @ 01:58:24.929

Gaze point at (834.53, 640.42) @ 01:58:25.095

Gaze point at (834.78, 658.38) @ 01:58:25.262

Gaze point at (854.22, 683.29) @ 01:58:25.429

Gaze point at (790.17, 605.07) @ 01:58:25.596

Gaze point at (755.56, 527.58) @ 01:58:25.762

Gaze point at (752.75, 529.39) @ 01:58:25.931

Gaze point at (815.57, 247.57) @ 01:58:26.095

Gaze point at (815.81, 258.56) @ 01:58:26.261

Gaze point at (799.95, 257.70) @ 01:58:26.427

Gaze point at (319.12, 118.64) @ 01:58:26.594

Gaze point at (754.97, 323.28) @ 01:58:26.760

Gaze point at (737.55, 337.95) @ 01:58:26.927

Gaze point at (587.99, 568.56) @ 01:58:27.094

Gaze point at (942.93, 365.79) @ 01:58:27.260

Gaze point at (1071.41, 165.93) @ 01:58:27.427

Gaze point at (1068.79, 175.03) @ 01:58:27.594

Gaze point at (1101.85, 172.09) @ 01:58:27.760

Gaze point at (892.67, 171.10) @ 01:58:27.927

Gaze point at (900.41, 178.26) @ 01:58:28.093

Gaze point at (618.07, 322.21) @ 01:58:28.260

Gaze point at (624.80, 318.29) @ 01:58:28.426

Gaze point at (595.26, 315.17) @ 01:58:28.594

Gaze point at (590.45, 319.93) @ 01:58:28.760

Gaze point at (590.70, 320.24) @ 01:58:28.926

Gaze point at (478.00, 289.56) @ 01:58:29.093

Gaze point at (1271.73, 392.70) @ 01:58:29.258

Gaze point at (1264.70, 409.05) @ 01:58:29.426

Gaze point at (1241.91, 402.13) @ 01:58:29.593

Gaze point at (1044.20, 144.40) @ 01:58:29.759

Gaze point at (927.24, 162.08) @ 01:58:29.926

Gaze point at (913.27, 167.25) @ 01:58:30.092

Gaze point at (1137.38, 186.69) @ 01:58:30.258

Gaze point at (803.33, 275.20) @ 01:58:30.426

Gaze point at (571.34, 364.80) @ 01:58:30.592

Gaze point at (578.43, 342.82) @ 01:58:30.758

Gaze point at (579.01, 343.93) @ 01:58:30.925

Gaze point at (577.12, 339.05) @ 01:58:31.091

Gaze point at (710.12, 500.00) @ 01:58:31.258

Gaze point at (762.61, 620.13) @ 01:58:31.424

Gaze point at (766.14, 616.24) @ 01:58:31.591

Gaze point at (781.71, 627.77) @ 01:58:31.757

Gaze point at (778.17, 585.79) @ 01:58:31.924

Gaze point at (773.85, 589.69) @ 01:58:32.090

Gaze point at (553.24, 241.86) @ 01:58:32.257

Gaze point at (619.73, 338.41) @ 01:58:32.423

Gaze point at (621.93, 369.85) @ 01:58:32.590

Gaze point at (583.68, 375.90) @ 01:58:32.758

Gaze point at (593.01, 378.85) @ 01:58:32.924

Gaze point at (566.56, 464.96) @ 01:58:33.090

Gaze point at (554.59, 507.86) @ 01:58:33.257

Gaze point at (520.80, 589.29) @ 01:58:33.423

Gaze point at (519.62, 544.87) @ 01:58:33.589

Gaze point at (525.14, 259.78) @ 01:58:33.756

Gaze point at (524.79, 262.19) @ 01:58:33.922

Gaze point at (574.19, 293.28) @ 01:58:34.089

Gaze point at (1127.07, 380.50) @ 01:58:34.256

Gaze point at (1204.47, 405.29) @ 01:58:34.422

Gaze point at (1046.32, 243.54) @ 01:58:34.645

Gaze point at (1033.80, 184.69) @ 01:58:34.811

Gaze point at (973.50, 175.31) @ 01:58:34.977

Gaze point at (965.79, 178.90) @ 01:58:35.144

Gaze point at (1137.70, 188.06) @ 01:58:35.311

Gaze point at (1117.54, 175.78) @ 01:58:35.477

Gaze point at (919.32, 169.93) @ 01:58:35.644

Gaze point at (913.06, 171.46) @ 01:58:35.811

Gaze point at (1126.09, 175.48) @ 01:58:35.977

Gaze point at (1127.48, 169.68) @ 01:58:36.143

Gaze point at (1113.86, 167.03) @ 01:58:36.310

Gaze point at (1105.57, 172.16) @ 01:58:36.476

Gaze point at (561.76, 618.81) @ 01:58:36.643

Gaze point at (555.91, 628.26) @ 01:58:36.810

Gaze point at (483.76, 620.48) @ 01:58:36.976

Gaze point at (493.94, 622.17) @ 01:58:37.144

Gaze point at (602.72, 562.35) @ 01:58:37.309

Gaze point at (1113.42, 167.36) @ 01:58:37.476

Gaze point at (941.41, 165.24) @ 01:58:37.643

Gaze point at (939.14, 166.11) @ 01:58:37.809

Gaze point at (1092.34, 190.47) @ 01:58:37.976

Gaze point at (1099.76, 192.80) @ 01:58:38.142

Gaze point at (607.60, 285.83) @ 01:58:38.308

Gaze point at (610.31, 291.06) @ 01:58:38.475

