Gaze point at (471.44, 168.78) @ 05:27:49.708

Gaze point at (328.75, 141.40) @ 05:27:49.861

Gaze point at (334.65, 187.61) @ 05:27:50.025

Gaze point at (412.84, 217.25) @ 05:27:50.251

Gaze point at (424.41, 219.30) @ 05:27:50.417

Gaze point at (675.78, 30.56) @ 05:27:50.584

Gaze point at (752.71, 12.97) @ 05:27:50.750

Gaze point at (745.65, 21.76) @ 05:27:50.917

Gaze point at (644.78, 86.32) @ 05:27:51.083

Gaze point at (622.83, 97.68) @ 05:27:51.250

Gaze point at (655.45, 106.34) @ 05:27:51.416

Gaze point at (651.52, 121.65) @ 05:27:51.583

Gaze point at (646.96, 129.04) @ 05:27:51.749

Gaze point at (649.77, 124.96) @ 05:27:51.916

Gaze point at (650.71, 126.48) @ 05:27:52.083

Gaze point at (651.18, 127.95) @ 05:27:52.250

Gaze point at (652.48, 134.16) @ 05:27:52.416

Gaze point at (685.02, 189.67) @ 05:27:52.582

Gaze point at (769.09, 270.44) @ 05:27:52.748

Gaze point at (691.37, 177.40) @ 05:27:52.915

Gaze point at (661.85, 137.75) @ 05:27:53.082

Gaze point at (660.38, 145.95) @ 05:27:53.248

Gaze point at (660.68, 151.30) @ 05:27:53.415

Gaze point at (665.48, 139.25) @ 05:27:53.581

Gaze point at (664.77, 137.05) @ 05:27:53.748

Gaze point at (1030.32, 70.82) @ 05:27:53.915

Gaze point at (1029.95, 63.48) @ 05:27:54.081

Gaze point at (657.67, 125.49) @ 05:27:54.248

Gaze point at (686.79, 121.10) @ 05:27:54.414

Gaze point at (930.25, 44.81) @ 05:27:54.581

Gaze point at (926.10, 59.48) @ 05:27:54.747

Gaze point at (889.80, 67.89) @ 05:27:54.913

Gaze point at (677.40, 131.07) @ 05:27:55.081

Gaze point at (677.12, 134.56) @ 05:27:55.247

Gaze point at (673.99, 131.72) @ 05:27:55.414

Gaze point at (672.30, 111.69) @ 05:27:55.580

Gaze point at (673.67, 103.65) @ 05:27:55.746

Gaze point at (674.19, 109.92) @ 05:27:55.913

Gaze point at (670.64, 109.31) @ 05:27:56.080

Gaze point at (477.28, 142.15) @ 05:27:56.246

Gaze point at (374.55, 131.03) @ 05:27:56.412

Gaze point at (366.78, 133.02) @ 05:27:56.579

Gaze point at (367.01, 131.25) @ 05:27:56.746

Gaze point at (329.62, 214.75) @ 05:27:56.967

Gaze point at (378.06, 100.74) @ 05:27:57.136

Gaze point at (378.34, 94.65) @ 05:27:57.301

Gaze point at (1217.41, 12.27) @ 05:27:57.467

Gaze point at (1322.11, 11.38) @ 05:27:57.634

Gaze point at (1319.67, 11.00) @ 05:27:57.801

Gaze point at (431.51, 52.09) @ 05:27:57.967

Gaze point at (341.93, 96.35) @ 05:27:58.133

Gaze point at (355.00, 114.63) @ 05:27:58.299

Gaze point at (1181.89, 31.56) @ 05:27:58.465

Gaze point at (1352.20, 39.71) @ 05:27:58.633

Gaze point at (1291.45, 27.15) @ 05:27:58.799

