Gaze point at (390.34, 191.11) @ 04:57:19.349

Gaze point at (621.16, 107.93) @ 04:57:19.478

Gaze point at (660.79, 76.22) @ 04:57:19.644

Gaze point at (659.61, 74.05) @ 04:57:19.811

Gaze point at (690.02, 71.27) @ 04:57:19.978

Gaze point at (796.73, 52.29) @ 04:57:20.144

Gaze point at (794.04, 65.69) @ 04:57:20.310

Gaze point at (621.81, 132.94) @ 04:57:20.477

Gaze point at (650.04, 123.40) @ 04:57:20.644

Gaze point at (647.10, 110.91) @ 04:57:20.810

Gaze point at (644.90, 111.09) @ 04:57:20.977

Gaze point at (387.04, 104.48) @ 04:57:21.143

Gaze point at (250.32, 312.72) @ 04:57:21.597

Gaze point at (367.27, 117.29) @ 04:57:21.765

Gaze point at (662.24, 67.68) @ 04:57:21.931

Gaze point at (740.43, 56.80) @ 04:57:22.098

Gaze point at (1299.10, 31.90) @ 04:57:22.265

Gaze point at (1286.01, 32.30) @ 04:57:22.431

Gaze point at (1235.30, 30.77) @ 04:57:22.598

Gaze point at (346.73, 173.46) @ 04:57:22.764

Gaze point at (371.33, 168.55) @ 04:57:22.931

Gaze point at (863.99, 66.27) @ 04:57:23.098

Gaze point at (848.30, 77.60) @ 04:57:23.264

Gaze point at (1002.52, 58.93) @ 04:57:23.430

Gaze point at (969.48, 63.02) @ 04:57:23.597

Gaze point at (961.12, 62.29) @ 04:57:23.763

Gaze point at (657.38, 107.22) @ 04:57:26.427

Gaze point at (655.55, 112.08) @ 04:57:26.573

Gaze point at (657.31, 114.12) @ 04:57:26.740

Gaze point at (878.40, 77.14) @ 04:57:26.907

Gaze point at (897.28, 72.85) @ 04:57:27.077

Gaze point at (820.83, 80.31) @ 04:57:27.239

Gaze point at (789.10, 85.94) @ 04:57:27.406

Gaze point at (611.10, 124.99) @ 04:57:27.572

Gaze point at (610.34, 125.28) @ 04:57:27.739

Gaze point at (610.59, 125.77) @ 04:57:27.905

Gaze point at (453.69, 130.83) @ 04:57:28.072

Gaze point at (364.91, 126.66) @ 04:57:28.238

Gaze point at (340.12, 135.53) @ 04:57:28.405

Gaze point at (343.40, 145.52) @ 04:57:28.572

Gaze point at (343.42, 146.19) @ 04:57:28.738

Gaze point at (346.99, 139.29) @ 04:57:28.905

Gaze point at (345.09, 133.75) @ 04:57:29.071

Gaze point at (346.69, 129.71) @ 04:57:29.238

Gaze point at (353.88, 143.30) @ 04:57:29.404

Gaze point at (354.44, 141.18) @ 04:57:29.571

