Gaze point at (675.11, 201.94) @ 01:41:06.141

Gaze point at (670.88, 133.79) @ 01:41:06.271

Gaze point at (667.14, 92.09) @ 01:41:06.437

Gaze point at (658.94, 84.05) @ 01:41:06.604

Gaze point at (687.24, 67.24) @ 01:41:06.770

Gaze point at (721.22, 66.65) @ 01:41:06.938

Gaze point at (712.74, 75.17) @ 01:41:07.103

Gaze point at (788.29, -24.70) @ 01:41:07.269

Gaze point at (639.40, 181.17) @ 01:41:07.435

Gaze point at (584.62, 294.73) @ 01:41:07.602

Gaze point at (566.87, 231.97) @ 01:41:07.770

Gaze point at (565.33, 237.50) @ 01:41:07.936

Gaze point at (564.89, 242.90) @ 01:41:08.103

Gaze point at (566.97, 240.98) @ 01:41:08.269

Gaze point at (545.89, 238.23) @ 01:41:08.436

Gaze point at (542.39, 239.25) @ 01:41:08.602

Gaze point at (789.91, 34.23) @ 01:41:08.769

Gaze point at (828.40, -3.82) @ 01:41:08.935

Gaze point at (834.65, -7.69) @ 01:41:09.102

Gaze point at (569.02, 242.65) @ 01:41:09.269

Gaze point at (574.24, 245.38) @ 01:41:09.435

Gaze point at (834.96, -8.71) @ 01:41:09.604

Gaze point at (826.42, 5.14) @ 01:41:09.768

Gaze point at (544.79, 240.03) @ 01:41:09.934

Gaze point at (567.09, 223.76) @ 01:41:10.101

Gaze point at (566.20, 227.54) @ 01:41:10.267

Gaze point at (847.57, -1.21) @ 01:41:10.435

Gaze point at (659.93, 146.11) @ 01:41:10.601

Gaze point at (651.63, 152.77) @ 01:41:10.767

Gaze point at (843.57, -0.21) @ 01:41:10.934

Gaze point at (830.35, 9.25) @ 01:41:11.101

Gaze point at (581.50, 286.90) @ 01:41:11.267

Gaze point at (580.00, 283.21) @ 01:41:11.434

Gaze point at (390.71, 250.83) @ 01:41:11.600

Gaze point at (334.96, 242.63) @ 01:41:11.766

Gaze point at (762.76, 197.71) @ 01:41:11.933

Gaze point at (1019.43, 185.68) @ 01:41:12.100

Gaze point at (1024.01, 198.66) @ 01:41:12.266

Gaze point at (1022.68, 205.19) @ 01:41:12.434

Gaze point at (1029.58, 210.13) @ 01:41:12.600

Gaze point at (1019.64, 207.96) @ 01:41:12.766

Gaze point at (1020.29, 210.42) @ 01:41:12.931

Gaze point at (1036.40, 175.66) @ 01:41:13.190

Gaze point at (1039.37, 169.47) @ 01:41:13.356

Gaze point at (1055.83, 199.86) @ 01:41:13.523

Gaze point at (1043.42, 214.49) @ 01:41:13.691

Gaze point at (1039.17, 225.31) @ 01:41:13.858

Gaze point at (1036.69, 227.91) @ 01:41:14.024

Gaze point at (1045.49, 217.61) @ 01:41:14.191

Gaze point at (1040.87, 226.28) @ 01:41:14.357

Gaze point at (1036.59, 222.45) @ 01:41:14.523

Gaze point at (1045.37, 215.39) @ 01:41:14.689

Gaze point at (1045.05, 203.84) @ 01:41:14.856

Gaze point at (630.89, 189.18) @ 01:41:15.022

Gaze point at (273.94, 201.26) @ 01:41:15.189

Gaze point at (285.13, 214.80) @ 01:41:15.356

Gaze point at (289.90, 216.49) @ 01:41:15.522

Gaze point at (291.42, 222.89) @ 01:41:15.688

Gaze point at (324.17, 236.32) @ 01:41:15.856

Gaze point at (769.10, 222.92) @ 01:41:16.022

Gaze point at (1046.79, 220.27) @ 01:41:16.188
